Source_Category_Raw,Source_Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Degreasing,SOLVENT UTILIZATION (Tier 1 - 08)_Degreasing,707.00,617.00,649.00,665.00,590.00,448.00,489.00,490.00,550.00,555.00,513.00,422.00,365.00,411.00,500.00,756.00,634.00,681.00,754.00,757.00,744.00,718.00,737.00,753.00,775.00,789.00,602.00,624.00,372.00,506.00,393.00,413.00,488.00
        open top,, , , , , , , , , , , , , , , ,28.00,28.00,28.00,29.00,29.00,18.00,25.00,26.00,26.00,27.00,24.00,8.00,8.00,4.00,8.00,5.00,6.00,6.00
        conveyorized,, , , , , , , , , , , , , , , ,5.00,5.00,5.00,5.00,4.00,5.00,6.00,6.00,6.00,6.00,5.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00
        cold cleaning,, , , , , , , , , , , , , , , ,31.00,33.00,31.00,34.00,35.00,30.00,23.00,24.00,24.00,22.00,23.00,23.00,23.00,10.00,69.00,39.00,42.00,71.00
        other,,707.00,617.00,649.00,665.00,590.00,448.00,489.00,490.00,550.00,555.00,513.00,422.00,365.00,411.00,500.00,691.00,568.00,618.00,687.00,689.00,691.00,664.00,680.00,697.00,719.00,737.00,567.00,588.00,356.00,428.00,348.00,364.00,410.00
Graphic Arts,SOLVENT UTILIZATION (Tier 1 - 08)_Graphic Arts,319.00,301.00,344.00,351.00,325.00,254.00,281.00,292.00,346.00,353.00,373.00,257.00,238.00,274.00,360.00,317.00,325.00,340.00,362.00,363.00,274.00,301.00,308.00,322.00,333.00,339.00,288.00,293.00,300.00,259.00,261.00,269.00,251.00
        letterpress,, , , , , , , , , , , , , , , ,2.00,2.00,2.00,2.00,2.00,4.00,8.00,8.00,8.00,8.00,8.00,6.00,6.00,6.00,4.00,4.00,4.00,4.00
        flexographic,, , , , , , , , , , , , , , , ,18.00,19.00,19.00,20.00,20.00,20.00,24.00,26.00,26.00,25.00,24.00,19.00,19.00,20.00,25.00,22.00,23.00,23.00
        lithographic,, , , , , , , , , , , , , , , ,4.00,4.00,4.00,4.00,4.00,13.00,17.00,18.00,21.00,22.00,20.00,12.00,12.00,13.00,16.00,16.00,17.00,11.00
        gravure,, , , , , , , , , , , , , , , ,131.00,138.00,140.00,148.00,150.00,75.00,82.00,81.00,87.00,93.00,91.00,51.00,51.00,52.00,23.00,21.00,22.00,20.00
        other,,319.00,301.00,344.00,351.00,325.00,254.00,281.00,292.00,346.00,353.00,373.00,257.00,238.00,274.00,360.00,162.00,163.00,174.00,188.00,187.00,162.00,171.00,175.00,180.00,185.00,196.00,200.00,205.00,210.00,191.00,197.00,203.00,192.00
Dry Cleaning,SOLVENT UTILIZATION (Tier 1 - 08)_Dry Cleaning,263.00,252.00,267.00,267.00,270.00,229.00,251.00,264.00,286.00,287.00,320.00,244.00,213.00,215.00,248.00,169.00,217.00,216.00,216.00,212.00,215.00,218.00,224.00,225.00,228.00,230.00,154.00,163.00,166.00,148.00,149.00,152.00,65.00
        perchloroethylene,, , , , , , , , , , , , , , , ,85.00,111.00,110.00,109.00,107.00,110.00,112.00,115.00,116.00,117.00,118.00,58.00,61.00,63.00,45.00,46.00,47.00,45.00
        petroleum solvent,, , , , , , , , , , , , , , , ,84.00,106.00,106.00,106.00,105.00,104.00,106.00,109.00,110.00,111.00,112.00,89.00,94.00,96.00,80.00,81.00,83.00,1.00
        other,,263.00,252.00,267.00,267.00,270.00,229.00,251.00,264.00,286.00,287.00,320.00,244.00,213.00,215.00,248.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,8.00,8.00,23.00,23.00,23.00,19.00
Surface Coating,SOLVENT UTILIZATION (Tier 1 - 08)_Surface Coating,3570.00,3405.00,3793.00,3826.00,3600.00,2977.00,3301.00,3403.00,3792.00,3862.00,3685.00,3005.00,2680.00,3006.00,3655.00,2549.00,2602.00,2606.00,2646.00,2635.00,2523.00,2521.00,2577.00,2632.00,2716.00,2681.00,2375.00,2456.00,2193.00,2030.00,1953.00,2058.00,2049.00
        industrial adhesives,,52.00,49.00,55.00,57.00,53.00,41.00,45.00,47.00,57.00,58.00,55.00,42.00,38.00,45.00,58.00,381.00,353.00,353.00,366.00,375.00,390.00,374.00,386.00,400.00,419.00,410.00,351.00,366.00,147.00,150.00,151.00,158.00,151.00
        fabrics,,161.00,168.00,192.00,206.00,192.00,177.00,196.00,193.00,191.00,199.00,186.00,180.00,165.00,181.00,186.00,34.00,34.00,35.00,35.00,35.00,14.00,14.00,16.00,16.00,15.00,15.00,10.00,10.00,10.00,9.00,9.00,9.00,7.00
        paper,,652.00,645.00,732.00,733.00,652.00,548.00,578.00,584.00,669.00,672.00,626.00,481.00,437.00,503.00,631.00,106.00,109.00,110.00,114.00,114.00,75.00,64.00,61.00,59.00,59.00,52.00,49.00,49.00,50.00,43.00,44.00,45.00,42.00
        large appliances,,49.00,60.00,65.00,60.00,50.00,43.00,43.00,40.00,40.00,40.00,36.00,29.00,26.00,28.00,30.00,22.00,19.00,19.00,19.00,18.00,21.00,20.00,20.00,21.00,22.00,21.00,23.00,24.00,23.00,21.00,23.00,24.00,21.00
        magnet wire,,7.00,8.00,9.00,8.00,6.00,6.00,6.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
        autos & light trucks,,165.00,183.00,196.00,203.00,204.00,204.00,229.00,237.00,225.00,207.00,165.00,118.00,100.00,119.00,138.00,85.00,86.00,88.00,87.00,87.00,92.00,90.00,93.00,92.00,96.00,96.00,94.00,100.00,102.00,91.00,96.00,102.00,92.00
        metal cans,,49.00,56.00,60.00,60.00,59.00,57.00,65.00,68.00,73.00,78.00,73.00,64.00,61.00,68.00,65.00,97.00,96.00,95.00,96.00,95.00,94.00,91.00,93.00,96.00,98.00,102.00,98.00,106.00,109.00,96.00,100.00,104.00,98.00
        metal coil,,18.00,20.00,20.00,20.00,20.00,19.00,22.00,23.00,23.00,24.00,21.00,17.00,18.00,23.00,19.00,50.00,50.00,49.00,50.00,50.00,45.00,49.00,47.00,49.00,48.00,47.00,45.00,47.00,48.00,45.00,47.00,50.00,46.00
        wood furniture,,211.00,266.00,300.00,282.00,257.00,231.00,242.00,233.00,243.00,254.00,231.00,196.00,173.00,191.00,202.00,132.00,140.00,142.00,143.00,140.00,158.00,154.00,159.00,171.00,185.00,179.00,175.00,185.00,127.00,161.00,152.00,168.00,153.00
        metal furniture,,35.00,43.00,47.00,47.00,44.00,42.00,47.00,46.00,51.00,55.00,52.00,46.00,43.00,47.00,50.00,41.00,44.00,44.00,44.00,44.00,48.00,47.00,49.00,52.00,56.00,53.00,52.00,54.00,56.00,53.00,57.00,63.00,53.00
        flatwood products,,64.00,74.00,81.00,81.00,79.00,76.00,86.00,88.00,91.00,93.00,82.00,69.00,56.00,56.00,56.00,4.00,4.00,4.00,4.00,4.00,9.00,10.00,10.00,11.00,12.00,13.00,16.00,17.00,17.00,24.00,25.00,27.00,24.00
        plastic parts,,17.00,19.00,22.00,22.00,22.00,18.00,21.00,24.00,26.00,27.00,25.00,27.00,25.00,27.00,32.00,11.00,11.00,11.00,11.00,11.00,27.00,22.00,23.00,22.00,22.00,18.00,15.00,16.00,16.00,16.00,17.00,18.00,16.00
        large ships,,21.00,24.00,26.00,24.00,22.00,20.00,21.00,20.00,21.00,22.00,20.00,17.00,15.00,17.00,18.00,15.00,16.00,15.00,16.00,15.00,15.00,14.00,15.00,15.00,15.00,13.00,17.00,18.00,18.00,13.00,10.00,11.00,13.00
        aircraft,,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,27.00,29.00,26.00,31.00,34.00,7.00,7.00,7.00,7.00,7.00,6.00,11.00,11.00,12.00,12.00,7.00,8.00,10.00
        misc. metal parts,, , , , , , , , , , , , , , , ,14.00,14.00,14.00,14.00,14.00,59.00,87.00,90.00,92.00,93.00,92.00,38.00,40.00,40.00,67.00,70.00,74.00,90.00
        steel drums,, , , , , , , , , , , , , , , , , , , , ,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00
        architectural,,442.00,440.00,432.00,411.00,441.00,407.00,411.00,403.00,430.00,461.00,477.00,429.00,411.00,457.00,489.00,473.00,502.00,503.00,504.00,500.00,495.00,500.00,505.00,510.00,515.00,522.00,480.00,485.00,487.00,456.00,392.00,409.00,456.00
        traffic markings,, , , , , , , , , , , , , , , ,100.00,106.00,106.00,107.00,106.00,105.00,106.00,107.00,108.00,109.00,111.00,93.00,94.00,94.00,74.00,62.00,65.00,74.00
        maintenance coatings,,108.00,106.00,104.00,110.00,118.00,125.00,132.00,139.00,128.00,117.00,106.00,95.00,80.00,76.00,91.00,79.00,80.00,80.00,80.00,80.00,79.00,76.00,78.00,81.00,85.00,84.00,80.00,83.00,84.00,82.00,69.00,72.00,83.00
        railroad,,5.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,9.00,9.00,8.00,7.00,8.00,9.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,3.00,3.00,6.00,7.00,7.00, 
        auto refinishing,,83.00,96.00,107.00,119.00,131.00,143.00,154.00,166.00,166.00,176.00,186.00,165.00,196.00,215.00,240.00,111.00,132.00,132.00,133.00,132.00,130.00,132.00,137.00,140.00,144.00,142.00,161.00,163.00,163.00,108.00,94.00,94.00,109.00
        machinery,,39.00,44.00,48.00,50.00,51.00,51.00,60.00,62.00,66.00,68.00,62.00,54.00,62.00,53.00,51.00,37.00,28.00,28.00,29.00,28.00,28.00,26.00,26.00,27.00,27.00,25.00,25.00,25.00,22.00,28.00,26.00,26.00,28.00
        electronic & other electrical,, , , , , , , , , , , , , , , ,79.00,79.00,79.00,80.00,79.00,78.00,75.00,77.00,80.00,85.00,85.00,78.00,82.00,82.00,67.00,71.00,77.00,67.00
        general,,79.00,82.00,80.00,74.00,68.00,61.00,66.00,65.00,65.00,62.00,52.00,38.00,33.00,32.00,36.00,146.00,147.00,148.00,158.00,154.00,121.00,127.00,129.00,133.00,140.00,138.00,100.00,105.00,106.00,83.00,87.00,92.00,87.00
        miscellaneous,,942.00,656.00,818.00,849.00,733.00,392.00,483.00,575.00,837.00,821.00,799.00,558.00,418.00,518.00,861.00,104.00,109.00,108.00,105.00,103.00,32.00,37.00,42.00,39.00,38.00,35.00,30.00,31.00,32.00,31.00,32.00,33.00,32.00
        thinning solvents,, , , , , , , , , , , , , , , ,90.00,92.00,94.00,97.00,96.00,96.00,97.00,100.00,94.00,96.00,99.00,51.00,53.00,54.00,28.00,29.00,31.00,29.00
        other,,372.00,360.00,392.00,403.00,391.00,309.00,386.00,376.00,375.00,411.00,415.00,366.00,311.00,335.00,385.00,306.00,317.00,318.00,320.00,317.00,297.00,295.00,302.00,310.00,321.00,314.00,273.00,280.00,282.00,262.00,272.00,286.00,264.00
Other Industrial,SOLVENT UTILIZATION (Tier 1 - 08)_Other Industrial,640.00,589.00,667.00,699.00,658.00,499.00,549.00,606.00,662.00,688.00,690.00,625.00,513.00,555.00,690.00,125.00,131.00,132.00,133.00,131.00,94.00,98.00,102.00,102.00,99.00,96.00,106.00,110.00,111.00,103.00,107.00,113.00,104.00
        miscellaneous,,39.00,39.00,41.00,41.00,41.00,30.00,31.00,39.00,47.00,45.00,44.00,48.00,32.00,36.00,37.00, , , , , , , , , , , , , , , , , , 
        rubber & plastics mfg,,309.00,291.00,331.00,338.00,314.00,245.00,269.00,280.00,332.00,340.00,327.00,245.00,227.00,264.00,350.00,25.00,29.00,29.00,29.00,29.00,28.00,28.00,28.00,29.00,31.00,31.00,38.00,40.00,40.00,40.00,41.00,44.00,40.00
        other,,292.00,259.00,295.00,320.00,303.00,224.00,249.00,287.00,283.00,303.00,319.00,332.00,254.00,255.00,303.00,100.00,102.00,103.00,104.00,102.00,66.00,71.00,74.00,73.00,68.00,64.00,68.00,70.00,71.00,63.00,66.00,69.00,65.00
Nonindustrial,,1674.00,1540.00,1597.00,1562.00,1414.00,1243.00,1153.00,1146.00,1092.00,1126.00,1002.00,788.00,718.00,771.00,856.00,1783.00,1717.00,1768.00,1834.00,1867.00,1900.00,1925.00,1952.00,1982.00,2011.00,2048.00,1949.00,1973.00,2004.00,1936.00,1913.00,1950.00,1731.00
        cutback asphalt,,1045.00,942.00,946.00,898.00,774.00,723.00,536.00,528.00,450.00,438.00,323.00,202.00,209.00,216.00,198.00,191.00,175.00,186.00,199.00,199.00,199.00,202.00,207.00,214.00,221.00,227.00,135.00,140.00,144.00,189.00,193.00,198.00,189.00
        other asphalt,, , , , , , , , , , , , , , , , , , , , , , , , , , ,42.00,44.00,45.00,69.00,70.00,72.00,68.00
        pesticide application,,241.00,223.00,243.00,245.00,230.00,195.00,213.00,223.00,248.00,258.00,241.00,201.00,182.00,205.00,258.00,212.00,263.00,262.00,262.00,260.00,258.00,264.00,272.00,280.00,289.00,299.00,388.00,393.00,408.00,477.00,483.00,502.00,676.00
        adhesives,, , , , , , , , , , , , , , , ,345.00,332.00,332.00,345.00,353.00,361.00,365.00,368.00,372.00,375.00,380.00,301.00,304.00,307.00,199.00,197.00,198.00,76.00
        consumer solvents,, , , , , , , , , , , , , , , ,1035.00,947.00,988.00,1030.00,1056.00,1083.00,1095.00,1105.00,1116.00,1126.00,1142.00,1076.00,1085.00,1095.00,922.00,900.00,908.00,721.00
        other,,387.00,375.00,408.00,419.00,410.00,325.00,404.00,395.00,394.00,431.00,437.00,386.00,326.00,349.00,400.00, , , , , , , , , , , ,6.00,6.00,6.00,81.00,70.00,72.00,0.00
Solvent Utilization NEC,, , , , , , , , , , , , , , , , , , , , ,0.00, , ,0.00,0.00,0.00,3.00,3.00,3.00,53.00,54.00,57.00,3.00
STORAGE & TRANSPORT (Tier 1 - 09),STORAGE & TRANSPORT (Tier 1 - 09),1954.00,2037.00,2142.00,2223.00,2163.00,2181.00,2256.00,2288.00,2331.00,2169.00,1975.00,1912.00,1819.00,1801.00,1810.00,1747.00,1673.00,1801.00,1842.00,1753.00,1490.00,1532.00,1583.00,1600.00,1629.00,1652.00,1294.00,1328.00,1327.00,1237.00,1176.00,1192.00,1205.00
Bulk Terminals & Plants,STORAGE & TRANSPORT (Tier 1 - 09)_Bulk Termi0ls & Plants,599.00,625.00,664.00,693.00,671.00,668.00,679.00,677.00,680.00,609.00,517.00,499.00,448.00,418.00,416.00,606.00,620.00,632.00,652.00,651.00,359.00,369.00,384.00,395.00,403.00,406.00,211.00,215.00,214.00,180.00,174.00,177.00,172.00
        fixed roof,,14.00,14.00,15.00,16.00,15.00,15.00,15.00,15.00,15.00,14.00,12.00,11.00,10.00,10.00,9.00,14.00,14.00,14.00,15.00,15.00,9.00,11.00,12.00,13.00,16.00,16.00,6.00,6.00,6.00,2.00,2.00,2.00,2.00
        floating roof,,45.00,47.00,50.00,52.00,50.00,50.00,51.00,51.00,51.00,46.00,39.00,37.00,33.00,31.00,31.00,46.00,47.00,48.00,50.00,50.00,26.00,29.00,30.00,34.00,29.00,19.00,11.00,11.00,11.00,6.00,6.00,6.00,5.00
        variable vapor space,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        efr with seals,, , , , , , , , , , , , , , , , , , , , ,2.00,3.00,3.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00
        ifr with seals,, , , , , , , , , , , , , , , , , , , , ,2.00,2.00,3.00,5.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
        underground tanks,, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
        area source: gasoline,,509.00,532.00,565.00,589.00,571.00,569.00,578.00,576.00,578.00,519.00,440.00,424.00,381.00,356.00,354.00,512.00,526.00,537.00,554.00,553.00,282.00,281.00,292.00,292.00,305.00,322.00,163.00,167.00,167.00,149.00,149.00,151.00,149.00
        other,,30.00,31.00,33.00,35.00,34.00,33.00,34.00,34.00,34.00,30.00,26.00,25.00,22.00,21.00,21.00,32.00,32.00,32.00,33.00,33.00,36.00,40.00,42.00,44.00,43.00,41.00,24.00,22.00,22.00,17.00,13.00,13.00,11.00
Petroleum & Petroleum Product Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Petroleum & Petroleum Product Storage,300.00,309.00,318.00,324.00,313.00,315.00,323.00,331.00,334.00,324.00,306.00,288.00,277.00,268.00,275.00,223.00,217.00,214.00,215.00,210.00,152.00,195.00,204.00,205.00,194.00,191.00,181.00,187.00,187.00,115.00,65.00,67.00,107.00
        fixed roof gasoline,,47.00,50.00,52.00,54.00,52.00,52.00,53.00,52.00,51.00,48.00,43.00,41.00,38.00,35.00,35.00,26.00,25.00,25.00,24.00,23.00,13.00,17.00,17.00,16.00,16.00,16.00,14.00,14.00,14.00,3.00,0.00,0.00,1.00
        fixed roof crude,,135.00,137.00,140.00,143.00,138.00,141.00,146.00,154.00,157.00,155.00,148.00,139.00,135.00,135.00,139.00,26.00,24.00,22.00,21.00,21.00,21.00,25.00,26.00,28.00,24.00,21.00,25.00,26.00,25.00,19.00,9.00,9.00,13.00
        floating roof gasoline,,49.00,52.00,55.00,56.00,54.00,54.00,55.00,54.00,53.00,50.00,45.00,43.00,40.00,36.00,36.00,27.00,26.00,26.00,25.00,24.00,15.00,25.00,24.00,24.00,22.00,22.00,16.00,16.00,16.00,6.00,1.00,1.00,2.00
        floating roof crude,,32.00,33.00,34.00,34.00,33.00,34.00,35.00,37.00,38.00,37.00,36.00,33.00,32.00,32.00,33.00,5.00,5.00,5.00,5.00,5.00,2.00,7.00,7.00,8.00,6.00,6.00,5.00,6.00,6.00,2.00,0.00,0.00,1.00
        efr / seal gasoline,,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,7.00,11.00,13.00,14.00,14.00,15.00,9.00,9.00,9.00,2.00,2.00,2.00,2.00
        efr / seal crude,,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,4.00,2.00,1.00,1.00,1.00
        ifr / seal gasoline,,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00
        ifr / seal crude,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
        variable vapor space gasoline,,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,5.00,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        area source: crude,, , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00, , , ,0.00,0.00,0.00, 
        other,,25.00,26.00,25.00,23.00,23.00,22.00,22.00,23.00,22.00,22.00,23.00,21.00,22.00,22.00,23.00,133.00,132.00,131.00,135.00,132.00,87.00,102.00,106.00,103.00,103.00,106.00,104.00,108.00,108.00,77.00,50.00,51.00,84.00
Petroleum & Petroleum Product Transport,STORAGE & TRANSPORT (Tier 1 - 09)_Petroleum & Petroleum Product Transport,92.00,97.00,90.00,88.00,82.00,84.00,81.00,75.00,77.00,70.00,61.00,53.00,44.00,42.00,46.00,126.00,123.00,123.00,125.00,125.00,151.00,146.00,149.00,142.00,139.00,134.00,116.00,119.00,119.00,71.00,63.00,64.00,56.00
        gasoline loading: normal / splash,,3.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,3.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00
        gasoline loading: balanced / submerged,,20.00,20.00,18.00,16.00,13.00,13.00,10.00,6.00,5.00,2.00,2.00,2.00,1.00,1.00,1.00,21.00,20.00,21.00,21.00,22.00,15.00,17.00,15.00,13.00,11.00,10.00,7.00,7.00,7.00,3.00,3.00,3.00,3.00
        gasoline loading: normal / submerged,,39.00,41.00,36.00,31.00,27.00,26.00,20.00,11.00,10.00,5.00,3.00,3.00,2.00,2.00,2.00,41.00,41.00,40.00,41.00,42.00,26.00,25.00,26.00,24.00,25.00,23.00,14.00,14.00,13.00,4.00,4.00,5.00,6.00
        gasoline loading: clean / submerged,,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
        marine vessel loading: gasoline & crude,,26.00,29.00,30.00,35.00,35.00,38.00,46.00,52.00,56.00,56.00,50.00,43.00,36.00,35.00,38.00,24.00,23.00,23.00,23.00,22.00,31.00,30.00,30.00,29.00,28.00,29.00,31.00,32.00,33.00,9.00,2.00,2.00,4.00
        other,,2.00,2.00,2.00,3.00,4.00,4.00,4.00,5.00,5.00,5.00,6.00,5.00,4.00,4.00,5.00,35.00,34.00,34.00,35.00,35.00,76.00,73.00,75.00,73.00,72.00,70.00,61.00,62.00,62.00,53.00,52.00,52.00,40.00
Service Stations: Stage I,STORAGE & TRANSPORT (Tier 1 - 09)_Service Stations: Stage I,416.00,435.00,462.00,482.00,472.00,481.00,504.00,517.00,529.00,492.00,461.00,458.00,450.00,456.00,457.00,207.00,213.00,219.00,223.00,223.00,300.00,295.00,303.00,309.00,322.00,334.00,310.00,318.00,318.00,331.00,332.00,336.00,332.00
Service Stations: Stage II,STORAGE & TRANSPORT (Tier 1 - 09)_Service Stations: Stage II,521.00,544.00,578.00,603.00,590.00,602.00,631.00,647.00,668.00,628.00,583.00,567.00,557.00,564.00,560.00,485.00,400.00,511.00,522.00,441.00,433.00,430.00,442.00,449.00,467.00,484.00,399.00,410.00,410.00,463.00,465.00,472.00,464.00
Service Stations: Breathing & Emptying,, , , , , , , , , , , , , , , ,49.00,48.00,51.00,52.00,52.00,52.00,51.00,52.00,53.00,55.00,57.00,43.00,45.00,45.00,46.00,46.00,47.00,47.00
Organic Chemical Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Organic Chemical Storage,26.00,28.00,31.00,34.00,35.00,31.00,38.00,41.00,44.00,47.00,46.00,47.00,43.00,53.00,57.00,34.00,35.00,34.00,37.00,36.00,30.00,35.00,38.00,39.00,39.00,37.00,26.00,26.00,27.00,24.00,24.00,25.00,21.00
Organic Chemical Transport,STORAGE & TRANSPORT (Tier 1 - 09)_Organic Chemical Transport, , , , , , , , , , , , , , , ,17.00,17.00,16.00,16.00,15.00,10.00,8.00,8.00,7.00,7.00,7.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00
Inorganic Chemical Storage,STORAGE & TRANSPORT (Tier 1 - 09)_Inorganic Chemical Storage, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Inorganic Chemical Transport,STORAGE & TRANSPORT (Tier 1 - 09)_Inorganic Chemical Transport, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , ,0.00,0.00,0.00,0.00
Bulk Materials Storage storage,STORAGE & TRANSPORT (Tier 1 - 09)_Bulk Materials Storage storage, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00
Bulk Materials Transport,, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WASTE DISPOSAL & RECYCLING (Tier 1 - 10),WASTE DISPOSAL & RECYCLING (Tier 1 - 10),1984.00,1568.00,1334.00,1177.00,1048.00,984.00,906.00,886.00,869.00,792.00,758.00,738.00,713.00,689.00,687.00,979.00,971.00,950.00,959.00,941.00,986.00,999.00,1010.00,1046.00,1046.00,1067.00,509.00,518.00,535.00,487.00,415.00,420.00,457.00
Incineration,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Incineration,548.00,507.00,496.00,487.00,463.00,453.00,425.00,423.00,409.00,386.00,366.00,356.00,342.00,329.00,331.00,64.00,63.00,61.00,60.00,59.00,48.00,50.00,51.00,76.00,65.00,54.00,25.00,25.00,25.00,21.00,21.00,22.00,19.00
Open Burning,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Open Burning,1424.00,1049.00,825.00,675.00,570.00,517.00,465.00,445.00,441.00,385.00,372.00,361.00,352.00,337.00,331.00,309.00,304.00,292.00,284.00,274.00,196.00,200.00,203.00,207.00,208.00,208.00,310.00,320.00,334.00,323.00,248.00,248.00,305.00
        industrial,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_        industrial, , , , , , , , , , , , , , , ,6.00,6.00,6.00,6.00,6.00,4.00,4.00,4.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        commercial/institutional,, , , , , , , , , , , , , , , ,1.00,1.00,1.00,2.00,2.00,9.00,9.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        residential,, , , , , , , , , , , , , , , ,302.00,297.00,285.00,277.00,266.00,165.00,167.00,169.00,171.00,172.00,173.00,137.00,146.00,149.00,147.00,152.00,152.00,130.00
        land clearing debris,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_        land clearing debris, , , , , , , , , , , , , , , , , , , , , , , , , , ,164.00,165.00,177.00,168.00,87.00,87.00,168.00
        other,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_        other,1424.00,1049.00,825.00,675.00,570.00,517.00,465.00,445.00,441.00,385.00,372.00,361.00,352.00,337.00,331.00, , , , , ,19.00,20.00,20.00,21.00,21.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
POTW,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_POTW, , , , , , , , , , , , , , , ,10.00,11.00,11.00,11.00,11.00,49.00,47.00,48.00,50.00,52.00,51.00,48.00,48.00,49.00,37.00,37.00,38.00,67.00
Industrial Waste Water,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Industrial Waste Water, , , , , , , , , , , , , , , ,1.00,2.00,1.00,2.00,2.00,14.00,18.00,19.00,19.00,19.00,16.00,19.00,20.00,20.00,25.00,26.00,27.00,8.00
TSDF,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_TSDF, , , , , , , , , , , , , , , ,594.00,591.00,584.00,602.00,595.00,589.00,591.00,589.00,588.00,587.00,628.00,41.00,41.00,42.00,28.00,28.00,29.00,27.00
