VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
ZCOPIER,Imputation Flag for COPIER,3,195,Numeric
DNTHEAT,Have any heating equipment  Use it or not,4,11,Numeric
EQUIPAGE,How old is equipment identified in D-2 heat system,4,12,Numeric
HEATOTH,Main heating system also heat other apartments,4,13,Numeric
EQUIPAUX,Use any other types of equipment to heat home,4,14,Numeric
REVERSE,Sec Ht Eqp Heat pump,4,15,Numeric
WARMAIR,Sec Ht Eqp Central warm-air furnace with ducts,4,16,Numeric
STEAMR,Sec Ht Eqp Steam system with radiators/convectors,4,17,Numeric
PERMELEC,Sec Ht Eqp Built-in electric units in each room,4,18,Numeric
PIPELESS,Sec Ht Eqp Built-in floor/wall pipeless furnace,4,19,Numeric
ROOMHEAT,Sec Ht Eqp Built-in room heater burning,4,20,Numeric
WOODKILN,Sec Ht Eqp Heating stove burning wood  coal  coke,4,21,Numeric
CARRYEL,Sec Ht Eqp Portable electric heaters,4,22,Numeric
CARRYKER,Sec Ht Eqp Portable kerosene heaters,4,23,Numeric
CHIMNEY,Sec Ht Eqp Fireplace,4,24,Numeric
RANGE,Sec Ht Eqp Cooking stove,4,25,Numeric
DIFEQUIP,Sec Ht Eqp Some other equipment,4,26,Numeric
DKEQUIP,Sec Ht Eqp Dont know,4,27,Numeric
ELECAUX,Secondary heating fuel - Electricity,4,28,Numeric
UGASAUX,Secondary heating fuel - Natural Gas,4,29,Numeric
LPGAUX,Secondary heating fuel - LPG,4,30,Numeric
FOILAUX,Secondary heating fuel - Fuel Oil,4,31,Numeric
KEROAUX,Secondary heating fuel - Kerosene,4,32,Numeric
WOODAUX,Secondary heating fuel - Wood,4,33,Numeric
SOLARAUX,Secondary heating fuel - Solar,4,34,Numeric
OTHERAUX,Secondary heating fuel - Other,4,35,Numeric
DKAUX,Secondary heating fuel - Dont know,4,36,Numeric
FURNFUEL,What fuel used in secondary warm air furnace,4,37,Numeric
RADFUEL,What fuel used in secondary boiler for radiator,4,38,Numeric
DIFFUEL,What fuel used in secondary other equipment,4,39,Numeric
PIPEFUEL,What fuel used in secondary pipelines furnace,4,40,Numeric
RMHTFUEL,What fuel used in secondary room heater,4,41,Numeric
HSFUEL,What fuel used in secondary heating stove,4,42,Numeric
FPFUEL,What fuel used in secondary fireplace,4,43,Numeric
NGFPFLUE,Does this fireplace have a flue to the outside,4,44,Numeric
USENGFP,During the winter how often use gas fireplace,4,45,Numeric
RNGFUEL,What fuel used in secondary cooking stove,4,46,Numeric
EQMAMT,How much heat main heating equipment provides,4,47,Numeric
THERMAIN,Have a thermostat controls main heating equipment,4,48,Numeric
NUMTHERM,How many thermostats are used,4,49,Numeric
PROTHERM,Is that thermostat programmable,4,50,Numeric
AUTOHEATNITE,Programmable thermostat lowers heat at night,4,51,Numeric
AUTOHEATDAY,Programmable therm lowers heat during the day,4,52,Numeric
TEMPHOME,Setting During the day when someone is home,4,53,Numeric
TEMPGONE,Setting During the day when no one is home,4,54,Numeric
TEMPNITE,Setting During sleeping hours,4,55,Numeric
HEATOFF,Number of rooms not heated last winter,4,56,Numeric
HEATROOM,Did you heat all rooms last winter,4,57,Numeric
HEATNOT,How many of rooms were not heated last winter,4,58,Numeric
OTHNOHT,Any other spaces were not heated last winter,4,59,Numeric
ZFUELHEAT,Imputation Flag for FUELHEAT,4,60,Numeric
ZDNTHEAT,Imputation Flag for DNTHEAT,4,61,Numeric
ZEQUIPM,Imputation Flag for EQUIPM,4,62,Numeric
ZEQUIPAGE,Imputation Flag for EQUIPAGE,4,63,Numeric
ZHEATOTH,Imputation Flag for HEATOTH,4,64,Numeric
ZEQUIPAUX,Imputation Flag for EQUIPAUX,4,65,Numeric
ZREVERSE,Imputation Flag for REVERSE,4,66,Numeric
ZWARMAIR,Imputation Flag for WARMAIR,4,67,Numeric
ZSTEAMR,Imputation Flag for STEAMR,4,68,Numeric
ZPERMELEC,Imputation Flag for PERMELEC,4,69,Numeric
ZPIPELESS,Imputation Flag for PIPELESS,4,70,Numeric
ZROOMHEAT,Imputation Flag for ROOMHEAT,4,71,Numeric
ZWOODKILN,Imputation Flag for WOODKILN,4,72,Numeric
ZCARRYEL,Imputation Flag for CARRYEL,4,73,Numeric
ZCARRYKER,Imputation Flag for CARRYKER,4,74,Numeric
ZCHIMNEY,Imputation Flag for CHIMNEY,4,75,Numeric
ZRANGE,Imputation Flag for RANGE,4,76,Numeric
ZDIFEQUIP,Imputation Flag for DIFEQUIP,4,77,Numeric
ZDKEQUIP,Imputation Flag for DKEQUIP,4,78,Numeric
ZELECAUX,Imputation Flag for ELECAUX,4,79,Numeric
ZUGASAUX,Imputation Flag for UGASAUX,4,80,Numeric
ZLPGAUX,Imputation Flag for LPGAUX,4,81,Numeric
ZFOILAUX,Imputation Flag for FOILAUX,4,82,Numeric
ZKEROAUX,Imputation Flag for KEROAUX,4,83,Numeric
ZWOODAUX,Imputation Flag for WOODAUX,4,84,Numeric
ZSOLARAUX,Imputation Flag for SOLARAUX,4,85,Numeric
ZOTHERAUX,Imputation Flag for OTHERAUX,4,86,Numeric
ZDKAUX,Imputation Flag for DKAUX,4,87,Numeric
ZFURNFUEL,Imputation Flag for FURNFUEL,4,88,Numeric
ZRADFUEL,Imputation Flag for RADFUEL,4,89,Numeric
ZDIFFUEL,Imputation Flag for DIFFUEL,4,90,Numeric
ZPIPEFUEL,Imputation Flag for PIPEFUEL,4,91,Numeric
ZRMHTFUEL,Imputation Flag for RMHTFUEL,4,92,Numeric
ZHSFUEL,Imputation Flag for HSFUEL,4,93,Numeric
ZFPFUEL,Imputation Flag for FPFUEL,4,94,Numeric
ZNGFPFLUE,Imputation Flag for NGFPFLUE,4,95,Numeric
ZUSENGFP,Imputation Flag for USENGFP,4,96,Numeric
ZRNGFUEL,Imputation Flag for RNGFUEL,4,97,Numeric
ZEQMAMT,Imputation Flag for EQMAMT,4,98,Numeric
ZTHERMAIN,Imputation Flag for THERMAIN,4,99,Numeric
ZOTHTHERM,Imputation Flag for OTHTHERM,4,100,Numeric
ZNUMTHERM,Imputation Flag for NUMTHERM,4,101,Numeric
ZPROTHERM,Imputation Flag for PROTHERM,4,102,Numeric
ZAUTOHEATNITE,Imputation Flag for AUTOHEATNITE,4,103,Numeric
ZAUTOHEATDAY,Imputation Flag for AUTOHEATDAY,4,104,Numeric
ZTEMPHOME,Imputation Flag for TEMPHOME,4,105,Numeric
ZTEMPGONE,Imputation Flag for TEMPGONE,4,106,Numeric
ZTEMPNITE,Imputation Flag for TEMPNITE,4,107,Numeric
ZHEATOFF,Imputation Flag for HEATOFF,4,108,Numeric
ZHEATROOM,Imputation Flag for HEATROOM,4,109,Numeric
ZHEATNOT,Imputation Flag for HEATNOT,4,110,Numeric
ZOTHNOHT,Imputation Flag for OTHNOHT,4,111,Numeric
FUELHEAT,Main fuel used for heating home,4,112,Numeric
EQUIPM,Type of heating equipment provides the heat,4,113,Numeric
NUMH2OHTRS,Have more than one hot water heater,5,11,Numeric
WHEATOTH,Main equipment also heat water for apartments,5,12,Numeric
WHEATSIZ,Size of households main water heater tank,5,13,Numeric
WHEATAGE,How old is your households main water heater,5,14,Numeric
WHEATSIZ2,Size of second water heater,5,15,Numeric
WHEATAGE2,Age of second waterheater,5,16,Numeric
WATERWAIT,Time you have to have shower hot water,5,17,Numeric
AIRCOND,Do you have air conditioning equipment at home,5,18,Numeric
COOLTYPE,What kind of air-conditioning equipment you have,5,19,Numeric
DUCTS,Have ducts to carry warm air for space heating,5,20,Numeric
ACHOUSE,Air-conditioning equipment cool  all the rooms,5,21,Numeric
ACROOMS,rooms cooled by air-conditioning during summer,5,22,Numeric
CENACHP,Is your central AC system a heat pump,5,23,Numeric
AGECENAC,How old is your households central AC equipment,5,24,Numeric
USECENAC,How household uses central AC during the summer,5,25,Numeric
ACOTHERS,The central AC also cool apartments  condos,5,26,Numeric
THERMAINAC,Have a thermostat for central A/C system,5,27,Numeric
PROTHERMAC,Is that thermostat programmable,5,28,Numeric
AUTOCOOLNITE,Programmable thermostat adjusts A/C at night,5,29,Numeric
AUTOCOOLDAY,Programmable therm adjusts A/C during the day,5,30,Numeric
TEMPHOMEAC,Setting During the day when someone is home,5,31,Numeric
TEMPGONEAC,Setting During the day when no one is home,5,32,Numeric
TEMPNITEAC,Setting During sleeping hours,5,33,Numeric
NUMBERAC,Number of window or wall AC units in your home,5,34,Numeric
WWACAGE,How old is households most-used window/wall unit,5,35,Numeric
ESWWAC,Is most-used wall/window unit Energy-Star,5,36,Numeric
USEWWAC,How household uses window AC during the summer,5,37,Numeric
TREESHAD,Any large trees shade home from afternoon sun,5,38,Numeric
LGT12,Lights are turned on more than 12 hours per day,5,39,Numeric
LGT12EE,Energy efficient bulbs on more than 12 hours per day,5,40,Numeric
LGT4,Lights on between 4 hours and 12 hours per day,5,41,Numeric
LGT4EE,Energy efficient bulbs on 4-12 hours per day,5,42,Numeric
LGT1,Lights on between 1 hours and 4 hours per day,5,43,Numeric
LGT1EE,Energy efficient bulbs on 1-4 hours per day,5,44,Numeric
NOUTLGTNT,Number of outdoor lights on all night,5,45,Numeric
NGASLIGHT,Number of natural gas lights on all night,5,46,Numeric
SLDDRS,Sliding glass door go from heated area to outside,5,47,Numeric
DOOR1SUM,Number of sliding glass doors,5,48,Numeric
WINDOWS,Number of windows,5,49,Numeric
TYPEGLASS,Type of window glass,5,50,Numeric
NEWGLASS,Any of the windows been replaced,5,51,Numeric
ADQINSUL,Respondent perception of home insulation,5,52,Numeric
DRAFTY,How often find your home too drafty during winter,5,53,Numeric
HIGHCEIL,Any cielings over 8 feet high,5,54,Numeric
CATHCEIL,Any cathederal cielings,5,55,Numeric
ZNUMH2OHTRS,Imputation Flag for NUMH2OHTRS,5,56,Numeric
ZFUELH2O,Imputation Flag for FUELH2O,5,57,Numeric
ZWHEATOTH,Imputation Flag for WHEATOTH,5,58,Numeric
ZWHEATSIZ,Imputation Flag for WHEATSIZ,5,59,Numeric
ZWHEATAGE,Imputation Flag for WHEATAGE,5,60,Numeric
ZFUELH2O2,Imputation Flag for FUELH2O2,5,61,Numeric
ZWHEATSIZ2,Imputation Flag for WHEATSIZ2,5,62,Numeric
ZWHEATAGE2,Imputation Flag for WHEATAGE2,5,63,Numeric
ZWATERWAIT,Imputation Flag for WATERWAIT,5,64,Numeric
ZAIRCOND,Imputation Flag for AIRCOND,5,65,Numeric
ZCOOLTYPE,Imputation Flag for COOLTYPE,5,66,Numeric
ZDUCTS,Imputation Flag for DUCTS,5,67,Numeric
ZACHOUSE,Imputation Flag for ACHOUSE,5,68,Numeric
ZACROOMS,Imputation Flag for ACROOMS,5,69,Numeric
ZCENACHP,Imputation Flag for CENACHP,5,70,Numeric
ZAGECENAC,Imputation Flag for AGECENAC,5,71,Numeric
ZUSECENAC,Imputation Flag for USECENAC,5,72,Numeric
ZACOTHERS,Imputation Flag for ACOTHERS,5,73,Numeric
ZTHERMAINAC,Imputation Flag for THERMAINAC,5,74,Numeric
ZPROTHERMAC,Imputation Flag for PROTHERMAC,5,75,Numeric
ZAUTOCOOLNITE,Imputation Flag for AUTOCOOLNITE,5,76,Numeric
ZAUTOCOOLDAY,Imputation Flag for AUTOCOOLDAY,5,77,Numeric
ZTEMPHOMEAC,Imputation Flag for TEMPHOMEAC,5,78,Numeric
ZTEMPGONEAC,Imputation Flag for TEMPGONEAC,5,79,Numeric
ZTEMPNITEAC,Imputation Flag for TEMPNITEAC,5,80,Numeric
ZNUMBERAC,Imputation Flag for NUMBERAC,5,81,Numeric
ZWWACAGE,Imputation Flag for WWACAGE,5,82,Numeric
ZESWWAC,Imputation Flag for ESWWAC,5,83,Numeric
ZUSEWWAC,Imputation Flag for USEWWAC,5,84,Numeric
ZTREESHAD,Imputation Flag for TREESHAD,5,85,Numeric
ZLGT12,Imputation Flag for LGT12,5,86,Numeric
ZLGT12EE,Imputation Flag for LGT12EE,5,87,Numeric
ZLGT4,Imputation Flag for LGT4,5,88,Numeric
ZLGT4EE,Imputation Flag for LGT4EE,5,89,Numeric
ZLGT1,Imputation Flag for LGT1,5,90,Numeric
ZLGT1EE,Imputation Flag for LGT1EE,5,91,Numeric
ZNOUTLGTNT,Imputation Flag for NOUTLGTNT,5,92,Numeric
ZNGASLIGHT,Imputation Flag for NGASLIGHT,5,93,Numeric
ZSLDDRS,Imputation Flag for SLDDRS,5,94,Numeric
ZDOOR1SUM,Imputation Flag for DOOR1SUM,5,95,Numeric
ZWINDOWS,Imputation Flag for WINDOWS,5,96,Numeric
ZTYPEGLASS,Imputation Flag for TYPEGLASS,5,97,Numeric
ZNEWGLASS,Imputation Flag for NEWGLASS,5,98,Numeric
ZADQINSUL,Imputation Flag for ADQINSUL,5,99,Numeric
ZDRAFTY,Imputation Flag for DRAFTY,5,100,Numeric
ZHIGHCEIL,Imputation Flag for HIGHCEIL,5,101,Numeric
ZCATHCEIL,Imputation Flag for CATHCEIL,5,102,Numeric
FUELH2O,Fuel used for heating water  washing or bathing,5,103,Numeric
FUELH2O2,Fuel used for second water heater,5,104,Numeric
USEEL,HH uses electricity,6,11,Numeric
USENG,HH uses utility gas,6,12,Numeric
USELP,HH uses LPG,6,13,Numeric
USEFO,HH uses Fuel oil,6,14,Numeric
USEKERO,HH uses Kerosene,6,15,Numeric
USEWOOD,HH uses Wood,6,16,Numeric
USESOLAR,HH uses solar,6,17,Numeric
USEOTH,HH uses other fuel,6,18,Numeric
ELWARM,Electricity used for heat,6,19,Numeric
ELFOOD,Electricity used to cook,6,20,Numeric
ELWATER,Electricity used for H2O,6,21,Numeric
ELCOOL,Electricity used to cool,6,22,Numeric
ELOTHER,Electricity used for other,6,23,Numeric
UGWARM,Natural gas used for heat,6,24,Numeric
UGWATER,Natural gas used for H2O,6,25,Numeric
UGCOOK,Natural gas used to cook,6,26,Numeric
UGOTH,Natural gas used for other,6,27,Numeric
LPWARM,Bottled gas used for heat,6,28,Numeric
LPWATER,Bottled gas used for H2O,6,29,Numeric
LPCOOK,Bottled gas used to cook,6,30,Numeric
LPGRILL,Bottled gas used to grill,6,31,Numeric
LPOTHER,Bottled gas used for other,6,32,Numeric
FOWARM,Fuel oil used for heat,6,33,Numeric
FOWATER,Fuel oil used for H2O,6,34,Numeric
FOOTHER,Fuel oil used for other,6,35,Numeric
KRWARM,Kerosene used for heat,6,36,Numeric
KRWATER,Kerosene used for H2O,6,37,Numeric
KROTHER,Kerosene used for other,6,38,Numeric
WDWARM,Wood used for heat,6,39,Numeric
WDWATER,Wood used for H2O,6,40,Numeric
WDOTHER,Wood used for other,6,41,Numeric
SOLWARM,Solar used for heat,6,42,Numeric
SOLWATER,Solar used for H2O,6,43,Numeric
SOLPOOL,Solar used to heat pool,6,44,Numeric
SOLOTHER,Solar used for other,6,45,Numeric
OTHCOOK,Other fuel used to cook,6,46,Numeric
USENGLPG,Both natural gas and bottled gas (LPG) used,6,47,Numeric
NGLPGFU,Do you use natural gas or bottled gas (LPG),6,48,Numeric
PELHEAT,Who pays electric for home heat,6,49,Numeric
PELHOTWA,Who pays electric for hot water,6,50,Numeric
PELCOOK,Who pays electric for cooking,6,51,Numeric
PELAC,Who pays electric for AC,6,52,Numeric
PELLIGHT,Who pays electric for light/appliances,6,53,Numeric
PGASHEAT,Who pays natural gas for heat,6,54,Numeric
PGASHTWA,Who pays natural gas for hot water,6,55,Numeric
PUGCOOK,Who pays natural gas for cooking,6,56,Numeric
PUGOTH,Who pays natural gas for appliances,6,57,Numeric
FOPAY,Who pays for fuel oil,6,58,Numeric
LPGPAY,Who pays for bottled gas,6,59,Numeric
HOWPAID,How utilities are paid,6,60,Numeric
HOWPAYEL,How electricity is paid,6,61,Numeric
HOWPAYNG,How Natural gas is paid,6,62,Numeric
HOWPAYLP,How LPG is paid,6,63,Numeric
HOWPAYFO,How fuel oil is paid,6,64,Numeric
HOWPAYKR,How kerosene is paid,6,65,Numeric
LPGDELV,Is bottled gas delivered to your home,6,66,Numeric
NDIFLPCO,How many co  delivered bottled gas past 12 mon,6,67,Numeric
NLPDELNC,How many deliveries did you get past 12 months,6,68,Numeric
QUANTFO,How many gallons did you use in past 12 months,6,69,Numeric
FODEL,Is fuel oil delivered to your home,6,70,Numeric
NDIFFOCO,How many co  delivered FO to you past 12 months,6,71,Numeric
NFODELNC,How many FO deliveries  you get past 12 months,6,72,Numeric
KERODEL,Is kerosene delivered to your home,6,73,Numeric
NDIFKRCO,How many co  delivered kerosene to your home,6,74,Numeric
KEROCASH,Do you use cash to buy KR past 12 months,6,75,Numeric
NOCRCASH,How many times did you buy KR past 12 months,6,76,Numeric
NKRGALNC,How many gallons did you buy KR and bring home,6,77,Numeric
PRICEKER,How much per gallon did you pay for kerosene,6,78,Numeric
TOTPAYKR,How much did you pay for kerosene each time,6,79,Numeric
WOODLOGS,Use Wood logs or split wood as a fuel in house,6,80,Numeric
WDSCRAP,Use Wood scraps as a fuel in house,6,81,Numeric
WDPELLET,Use Wood pellets as a fuel in house,6,82,Numeric
WOODAMT,Amount of wood burned,6,83,Numeric
CORDPLUS,Number of cords of wood burned,6,84,Numeric
CORDPLUSA,Number of cords of wood in excess of 3 burned,6,85,Numeric
CORDTEN,Summary number of cords of wood burned,6,86,Numeric
ZUSEEL,Imputation Flag for USEEL,6,87,Numeric
ZUSENG,Imputation Flag for USENG,6,88,Numeric
ZUSELP,Imputation Flag for USELP,6,89,Numeric
ZUSEFO,Imputation Flag for USEFO,6,90,Numeric
ZUSEKERO,Imputation Flag for USEKERO,6,91,Numeric
ZUSEWOOD,Imputation Flag for USEWOOD,6,92,Numeric
ZUSESOLAR,Imputation Flag for USESOLAR,6,93,Numeric
ZUSEOTH,Imputation Flag for USEOTH,6,94,Numeric
ZELWARM,Imputation Flag for ELWARM,6,95,Numeric
ZELFOOD,Imputation Flag for ELFOOD,6,96,Numeric
ZELWATER,Imputation Flag for ELWATER,6,97,Numeric
ZELCOOL,Imputation Flag for ELCOOL,6,98,Numeric
ZELOTHER,Imputation Flag for ELOTHER,6,99,Numeric
ZUGWARM,Imputation Flag for UGWARM,6,100,Numeric
ZUGWATER,Imputation Flag for UGWATER,6,101,Numeric
ZUGCOOK,Imputation Flag for UGCOOK,6,102,Numeric
ZUGOTH,Imputation Flag for UGOTH,6,103,Numeric
ZLPWARM,Imputation Flag for LPWARM,6,104,Numeric
ZLPWATER,Imputation Flag for LPWATER,6,105,Numeric
ZLPCOOK,Imputation Flag for LPCOOK,6,106,Numeric
ZLPGRILL,Imputation Flag for LPGRILL,6,107,Numeric
ZLPOTHER,Imputation Flag for LPOTHER,6,108,Numeric
ZFOWARM,Imputation Flag for FOWARM,6,109,Numeric
ZFOWATER,Imputation Flag for FOWATER,6,110,Numeric
ZFOOTHER,Imputation Flag for FOOTHER,6,111,Numeric
ZKRWARM,Imputation Flag for KRWARM,6,112,Numeric
ZKRWATER,Imputation Flag for KRWATER,6,113,Numeric
ZKROTHER,Imputation Flag for KROTHER,6,114,Numeric
ZWDWARM,Imputation Flag for WDWARM,6,115,Numeric
ZWDWATER,Imputation Flag for WDWATER,6,116,Numeric
ZWDOTHER,Imputation Flag for WDOTHER,6,117,Numeric
ZSOLWARM,Imputation Flag for SOLWARM,6,118,Numeric
ZSOLWATER,Imputation Flag for SOLWATER,6,119,Numeric
ZSOLPOOL,Imputation Flag for SOLPOOL,6,120,Numeric
ZSOLOTHER,Imputation Flag for SOLOTHER,6,121,Numeric
ZOTHCOOK,Imputation Flag for OTHCOOK,6,122,Numeric
ZUSENGLPG,Imputation Flag for USENGLPG,6,123,Numeric
ZNGLPGFU,Imputation Flag for NGLPGFU,6,124,Numeric
ZPELHEAT,Imputation Flag for PELHEAT,6,125,Numeric
ZPELHOTWA,Imputation Flag for PELHOTWA,6,126,Numeric
ZPELCOOK,Imputation Flag for PELCOOK,6,127,Numeric
ZPELAC,Imputation Flag for PELAC,6,128,Numeric
ZPELLIGHT,Imputation Flag for PELLIGHT,6,129,Numeric
ZPGASHEAT,Imputation Flag for PGASHEAT,6,130,Numeric
ZPGASHTWA,Imputation Flag for PGASHTWA,6,131,Numeric
ZPUGCOOK,Imputation Flag for PUGCOOK,6,132,Numeric
ZPUGOTH,Imputation Flag for PUGOTH,6,133,Numeric
SIGNFORM,Authorization form signed,7,11,Numeric
KFUELOT,Household fuel bills cover non-households uses,7,12,Numeric
FARM,Bills include farm/machine use,7,13,Numeric
TENANT,Bills cover fuel of other HH,7,14,Numeric
BUSINESS,Bills cover business/office,7,15,Numeric
OTHERUSE,Bills cover fuel for other use,7,16,Numeric
BILLUG,Natural gas used for other purposes,7,17,Numeric
BLPUSE,LPG used for other purposes,7,18,Numeric
BILLFOIL,Fuel oil used for other purposes,7,19,Numeric
BILLKER,Kerosene used for other purposes,7,20,Numeric
BILLEL,Electricity used for other purposes,7,21,Numeric
BILLUGP,Amount of Natural gas used for other purposes,7,22,Numeric
BILLLGP,Amount of LPG used for other purposes,7,23,Numeric
BILLFOP,Amonunt of fuel oil used for other purposes,7,24,Numeric
BILLKERP,Amount of kerosene used for other purposes,7,25,Numeric
BILLELP,Amount of electricity used for other purposes,7,26,Numeric
ZFOPAY,Imputation Flag for FOPAY,7,27,Numeric
ZLPGPAY,Imputation Flag for LPGPAY,7,28,Numeric
ZOTHERWAYEL,Imputation Flag for OTHERWAYEL,7,29,Numeric
ZOTHERWAYNG,Imputation Flag for OTHERWAYNG,7,30,Numeric
ZOTHERWAYFO,Imputation Flag for OTHERWAYFO,7,31,Numeric
ZOTHERWAYLPG,Imputation Flag for OTHERWAYLPG,7,32,Numeric
ZLPGDELV,Imputation Flag for LPGDELV,7,33,Numeric
ZNDIFLPCO,Imputation Flag for NDIFLPCO,7,34,Numeric
ZNLPDELNC,Imputation Flag for NLPDELNC,7,35,Numeric
ZQUANTFO,Imputation Flag for QUANTFO,7,36,Numeric
ZFODEL,Imputation Flag for FODEL,7,37,Numeric
ZNDIFFOCO,Imputation Flag for NDIFFOCO,7,38,Numeric
ZNFODELNC,Imputation Flag for NFODELNC,7,39,Numeric
ZKERODEL,Imputation Flag for KERODEL,7,40,Numeric
ZNDIFKRCO,Imputation Flag for NDIFKRCO,7,41,Numeric
ZKEROCASH,Imputation Flag for KEROCASH,7,42,Numeric
ZNOCRCASH,Imputation Flag for NOCRCASH,7,43,Numeric
ZNKRGALNC,Imputation Flag for NKRGALNC,7,44,Numeric
ZPRICEKER,Imputation Flag for PRICEKER,7,45,Numeric
ZTOTPAYKR,Imputation Flag for TOTPAYKR,7,46,Numeric
ZWOODLOGS,Imputation Flag for WOODLOGS,7,47,Numeric
ZWDSCRAP,Imputation Flag for WDSCRAP,7,48,Numeric
ZWDPELLET,Imputation Flag for WDPELLET,7,49,Numeric
ZWOODAMT,Imputation Flag for WOODAMT,7,50,Numeric
ZCORDPLUS,Imputation Flag for CORDPLUS,7,51,Numeric
ZCORDPLUSA,Imputation Flag for CORDPLUSA,7,52,Numeric
ZSIGNFORM,Imputation Flag for SIGNFORM,7,53,Numeric
ZKFUELOT,Imputation Flag for KFUELOT,7,54,Numeric
ZFARM,Imputation Flag for FARM,7,55,Numeric
ZTENANT,Imputation Flag for TENANT,7,56,Numeric
ZBUSINESS,Imputation Flag for BUSINESS,7,57,Numeric
ZOTHERUSE,Imputation Flag for OTHERUSE,7,58,Numeric
ZBILLUG,Imputation Flag for BILLUG,7,59,Numeric
ZBILLFOIL,Imputation Flag for BILLFOIL,7,60,Numeric
ZBILLKER,Imputation Flag for BILLKER,7,61,Numeric
ZBILLEL,Imputation Flag for BILLEL,7,62,Numeric
ZBILLUGP,Imputation Flag for BILLUGP,7,63,Numeric
ZBILLLGP,Imputation Flag for BILLLGP,7,64,Numeric
ZBILLKERP,Imputation Flag for BILLKERP,7,65,Numeric
ZBILLELP,Imputation Flag for BILLELP,7,66,Numeric
HBUSNESS,Do you operate a home-based business or service,8,11,Numeric
OTHWORK,Any other kind of activity use a lot more energy,8,12,Numeric
ATHOME,Is someone at home all day on a typical weekday,8,13,Numeric
HHINTRO,Are you a householder,8,14,Numeric
HHSEX,Are you/is the householder a male or a female,8,15,Numeric
HHAGE,How old are you/is the householder,8,16,Numeric
EMPLOYHH,How would you describe employment status,8,17,Numeric
SPOUSE,Household living with a spouse/partner,8,18,Numeric
SDESCENT,Householder Hispanic or Latino,8,19,Numeric
ORIGIN1,First mention describe the householders race,8,20,Numeric
ORIGIN2,Second mention describe the householders race,8,21,Numeric
ORIGIN3,Third mention describe the householders race,8,22,Numeric
NHSLDMEM,How many people normally live in this household,8,23,Numeric
AGEHHMEM1,Age of the householder,8,24,Numeric
AGEHHMEM2,Age of the next oldest household member,8,25,Numeric
AGEHHMEM3,Age of the next oldest household member,8,26,Numeric
AGEHHMEM4,Age of the next oldest household member,8,27,Numeric
AGEHHMEM5,Age of the next oldest household member,8,28,Numeric
AGEHHMEM6,Age of the next oldest household member,8,29,Numeric
AGEHHMEM7,Age of the next oldest household member,8,30,Numeric
AGEHHMEM8,Age of the next oldest household member,8,31,Numeric
AGEHHMEM9,Age of the next oldest household member,8,32,Numeric
AGEHHMEM10,Age of the next oldest household member,8,33,Numeric
AGEHHMEM11,Age of the next oldest household member,8,34,Numeric
AGEHHMEM12,Age of the next oldest household member,8,35,Numeric
AGEHHMEMY,Age of the yountest household member,8,36,Numeric
WORKPAY,Employment income from wages and salaries,8,37,Numeric
RETIREPY,Retirement income from social security or pension,8,38,Numeric
CASHBEN,Cash benefits from temporary assistance,8,39,Numeric
NCASHBEN,Non-cash benefits from food stamps,8,40,Numeric
MONEYPY,Total combined income in the past 12 months,8,41,Numeric
HHINCOME,Mid-point of MONEYPY range ,8,42,Numeric
POOR100,Below 100 percent of poverty,8,43,Numeric
POOR125,Below 125 percent of poverty,8,44,Numeric
POOR150,Below 150 percent of poverty,8,45,Numeric
LIHEAP,LIHEAP eligibility flag,8,46,Numeric
ZOTHWORK,Imputation Flag for OTHWORK,8,47,Numeric
ZATHOME,Imputation Flag for ATHOME,8,48,Numeric
ZHHINTRO,Imputation Flag for HHINTRO,8,49,Numeric
ZHHSEX,Imputation Flag for HHSEX,8,50,Numeric
ZHHAGE,Imputation Flag for HHAGE,8,51,Numeric
ZEMPLOYHH,Imputation Flag for EMPLOYHH,8,52,Numeric
ZSPOUSE,Imputation Flag for SPOUSE,8,53,Numeric
ZSDESCENT,Imputation Flag for SDESCENT,8,54,Numeric
ZORIGIN1,Imputation Flag for ORIGIN1,8,55,Numeric
ZORIGIN2,Imputation Flag for ORIGIN2,8,56,Numeric
ZORIGIN3,Imputation Flag for ORIGIN3,8,57,Numeric
ZNHSLDMEM,Imputation Flag for NHSLDMEM,8,58,Numeric
ZAGEHHMEM1,Imputation Flag for AGEHHMEM1,8,59,Numeric
ZAGEHHMEM2,Imputation Flag for AGEHHMEM2,8,60,Numeric
ZAGEHHMEM3,Imputation Flag for AGEHHMEM3,8,61,Numeric
ZAGEHHMEM4,Imputation Flag for AGEHHMEM4,8,62,Numeric
ZAGEHHMEM5,Imputation Flag for AGEHHMEM5,8,63,Numeric
ZAGEHHMEM6,Imputation Flag for AGEHHMEM6,8,64,Numeric
ZAGEHHMEM7,Imputation Flag for AGEHHMEM7,8,65,Numeric
ZAGEHHMEM8,Imputation Flag for AGEHHMEM8,8,66,Numeric
ZAGEHHMEM9,Imputation Flag for AGEHHMEM9,8,67,Numeric
ZAGEHHMEM10,Imputation Flag for AGEHHMEM10,8,68,Numeric
ZAGEHHMEM11,Imputation Flag for AGEHHMEM11,8,69,Numeric
ZAGEHHMEM12,Imputation Flag for AGEHHMEM12,8,70,Numeric
ZAGEHHMEMY,Imputation Flag for AGEHHMEMY,8,71,Numeric
ZWORKPAY,Imputation Flag for WORKPAY,8,72,Numeric
