INPUT_TABLE
Variable ID
AgTech

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight
India,MiscCrop,MiscCropAEZ05,MiscCropAEZ05,share-weight,2005,9999,fixed,CO2,1
USA,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Canada,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Western Europe,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Japan,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
China,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Middle East,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Africa,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Latin America,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Korea,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
India,OilCrop,OilCropAEZ05,OilCropAEZ05,share-weight,2005,9999,fixed,CO2,1
USA,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Canada,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Western Europe,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Japan,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
China,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Middle East,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Africa,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Latin America,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
Korea,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
India,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,share-weight,2005,9999,fixed,CO2,1
USA,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Canada,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Western Europe,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Japan,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
China,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Middle East,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Africa,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Latin America,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
Korea,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
India,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,share-weight,2005,9999,fixed,CO2,1
USA,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Canada,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Western Europe,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Japan,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
China,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Middle East,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Africa,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Latin America,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
Korea,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
India,Pasture,PastureAEZ05,PastureAEZ05,share-weight,2005,9999,fixed,CO2,1
USA,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Canada,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Western Europe,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Japan,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
China,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Middle East,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Africa,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Latin America,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
Korea,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
India,Rice,RiceAEZ05,RiceAEZ05,share-weight,2005,9999,fixed,CO2,1
USA,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Canada,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Western Europe,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Japan,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
China,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Middle East,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Africa,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Latin America,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
Korea,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
India,Root_Tuber,Root_TuberAEZ05,Root_TuberAEZ05,share-weight,2005,9999,fixed,CO2,1
USA,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Canada,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Western Europe,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Japan,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
China,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Middle East,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Africa,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Latin America,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
Korea,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
India,SugarCrop,SugarCropAEZ05,SugarCropAEZ05,share-weight,2005,9999,fixed,CO2,1
USA,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Canada,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Western Europe,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Japan,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
China,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Middle East,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Africa,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Latin America,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
Korea,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
India,Wheat,WheatAEZ05,WheatAEZ05,share-weight,2005,9999,fixed,CO2,1
USA,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
China,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
Africa,biomass,eucalyptusAEZ06,eucalyptusAEZ06,share-weight,2005,9999,fixed,CO2,1
Latin America,biomass,eucalyptusAEZ06,eucalyptusAEZ06,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
Korea,biomass,biomassAEZ06,biomassAEZ06,share-weight,2005,9999,fixed,CO2,1
India,biomassOil,JatrophaAEZ06,JatrophaAEZ06,share-weight,2005,9999,fixed,CO2,1
USA,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
China,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Africa,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Latin America,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
Korea,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
India,Corn,CornAEZ06,CornAEZ06,share-weight,2005,9999,fixed,CO2,1
USA,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
China,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Africa,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Latin America,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Korea,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
India,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,share-weight,2005,9999,fixed,CO2,1
USA,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
China,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Africa,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Latin America,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
Korea,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
India,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,share-weight,2005,9999,fixed,CO2,1
USA,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
China,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Africa,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Latin America,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
Korea,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
India,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,share-weight,2005,9999,fixed,CO2,1
USA,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
China,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Africa,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Latin America,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
Korea,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
India,Forest,ForestAEZ06,ForestAEZ06,share-weight,2005,9999,fixed,CO2,1
USA,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
China,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Africa,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Latin America,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Korea,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
India,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,share-weight,2005,9999,fixed,CO2,1
USA,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
China,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Africa,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Latin America,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
Korea,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
India,OilCrop,OilCropAEZ06,OilCropAEZ06,share-weight,2005,9999,fixed,CO2,1
USA,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
China,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Africa,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Latin America,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
Korea,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
India,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,share-weight,2005,9999,fixed,CO2,1
USA,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
China,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Africa,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Latin America,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
Korea,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
India,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,share-weight,2005,9999,fixed,CO2,1
USA,Pasture,PastureAEZ06,PastureAEZ06,share-weight,2005,9999,fixed,CO2,1
Canada,Pasture,PastureAEZ06,PastureAEZ06,share-weight,2005,9999,fixed,CO2,1
Western Europe,Pasture,PastureAEZ06,PastureAEZ06,share-weight,2005,9999,fixed,CO2,1
Japan,Pasture,PastureAEZ06,PastureAEZ06,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Pasture,PastureAEZ06,PastureAEZ06,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Pasture,PastureAEZ06,PastureAEZ06,share-weight,2005,9999,fixed,CO2,1
China,Pasture,PastureAEZ06,PastureAEZ06,share-weight,2005,9999,fixed,CO2,1
Middle East,Pasture,PastureAEZ06,PastureAEZ06,share-weight,2005,9999,fixed,CO2,1
