INPUT_TABLE
Variable ID
LN3_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,UnmanagedLandLeaf3,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,0,0,0,0,0,0,0,Shrubland,AEZ03,Shrubland
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,0,0,0,0,0,0,0,Shrubland,AEZ03,Shrubland
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,0,0,0,0,0,0,0,Shrubland,AEZ03,Shrubland
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,4.4,6.9,4.4,6.9,31,0,0,Shrubland,AEZ03,Shrubland
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,0,0,0,0,0,0,0,Shrubland,AEZ03,Shrubland
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,0,0,0,0,0,0,0,Shrubland,AEZ03,Shrubland
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,3.7,6.9,3.7,6.9,39,0,0,Shrubland,AEZ03,Shrubland
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,4.9,6.9,4.9,6.9,25,0,0,Shrubland,AEZ03,Shrubland
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,5.5,6.9,5.5,6.9,18,0,0,Shrubland,AEZ03,Shrubland
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,5.5,6.9,5.5,6.9,18,0,0,Shrubland,AEZ03,Shrubland
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,0,0,0,0,0,0,0,Shrubland,AEZ03,Shrubland
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,0,0,0,0,0,0,0,Shrubland,AEZ03,Shrubland
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,GrassShrubLandAEZ03,ShrublandAEZ03,4.6,6.9,4.6,6.9,28,0,0,Shrubland,AEZ03,Shrubland
USA,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,0,0,0,0,0,0,0,UnmanagedForest,AEZ03,Forest
Canada,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,0,0,0,0,0,0,0,UnmanagedForest,AEZ03,Forest
Western Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,0,0,0,0,0,0,0,UnmanagedForest,AEZ03,Forest
Japan,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,0,0,0,0,0,0,0,UnmanagedForest,AEZ03,Forest
Australia_NZ,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,20,9.8,20,9.8,40,0,0,UnmanagedForest,AEZ03,Forest
Former Soviet Union,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,0,0,0,0,0,0,0,UnmanagedForest,AEZ03,Forest
China,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,0,0,0,0,0,0,0,UnmanagedForest,AEZ03,Forest
Middle East,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,0,0,0,0,0,0,0,UnmanagedForest,AEZ03,Forest
Africa,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,14.7,9.8,14.7,9.8,36,0,0,UnmanagedForest,AEZ03,Forest
Latin America,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,15.7,10,15.7,10,39,0,0,UnmanagedForest,AEZ03,Forest
Southeast Asia,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,17.1,10,17.1,10,41,0,0,UnmanagedForest,AEZ03,Forest
Eastern Europe,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,0,0,0,0,0,0,0,UnmanagedForest,AEZ03,Forest
Korea,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,0,0,0,0,0,0,0,UnmanagedForest,AEZ03,Forest
India,root,AgroForestLandAEZ03,AgroForest_NonPastureAEZ03,AllForestLandAEZ03,UnmanagedForestAEZ03,14.2,9.8,14.2,9.8,35,0,0,UnmanagedForest,AEZ03,Forest
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,0,0,0,0,0,0,0,Grassland,AEZ04,Grassland
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,0,0,0,0,0,0,0,Grassland,AEZ04,Grassland
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ04,Grassland
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,0,0,0,0,0,0,0,Grassland,AEZ04,Grassland
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ04,Grassland
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,0,0,0,0,0,0,0,Grassland,AEZ04,Grassland
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ04,Grassland
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,0,0,0,0,0,0,0,Grassland,AEZ04,Grassland
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ04,Grassland
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,2.4,9.6,2.4,9.6,28,0,0,Grassland,AEZ04,Grassland
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,2.4,9.5,2.4,9.5,28,0,0,Grassland,AEZ04,Grassland
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,0,0,0,0,0,0,0,Grassland,AEZ04,Grassland
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,0,0,0,0,0,0,0,Grassland,AEZ04,Grassland
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,GrasslandAEZ04,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ04,Grassland
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,OtherArableLandAEZ04,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ04,Cropland
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,0,0,0,0,0,0,0,Shrubland,AEZ04,Shrubland
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,0,0,0,0,0,0,0,Shrubland,AEZ04,Shrubland
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,5.5,6.9,5.5,6.9,18,0,0,Shrubland,AEZ04,Shrubland
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,0,0,0,0,0,0,0,Shrubland,AEZ04,Shrubland
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,5.5,6.9,5.5,6.9,18,0,0,Shrubland,AEZ04,Shrubland
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,0,0,0,0,0,0,0,Shrubland,AEZ04,Shrubland
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,5.2,6.9,5.2,6.9,22,0,0,Shrubland,AEZ04,Shrubland
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,0,0,0,0,0,0,0,Shrubland,AEZ04,Shrubland
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,4.3,6.9,4.3,6.9,32,0,0,Shrubland,AEZ04,Shrubland
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,5.5,6.9,5.5,6.9,18,0,0,Shrubland,AEZ04,Shrubland
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,5,6.9,5,6.9,24,0,0,Shrubland,AEZ04,Shrubland
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,0,0,0,0,0,0,0,Shrubland,AEZ04,Shrubland
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,0,0,0,0,0,0,0,Shrubland,AEZ04,Shrubland
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,GrassShrubLandAEZ04,ShrublandAEZ04,4.8,6.9,4.8,6.9,26,0,0,Shrubland,AEZ04,Shrubland
USA,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,0,0,0,0,0,0,0,UnmanagedForest,AEZ04,Forest
Canada,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,0,0,0,0,0,0,0,UnmanagedForest,AEZ04,Forest
Western Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,0,0,0,0,0,0,0,UnmanagedForest,AEZ04,Forest
Japan,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,0,0,0,0,0,0,0,UnmanagedForest,AEZ04,Forest
Australia_NZ,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,15.9,10.3,15.9,10.3,44,0,0,UnmanagedForest,AEZ04,Forest
Former Soviet Union,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,0,0,0,0,0,0,0,UnmanagedForest,AEZ04,Forest
China,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,14.7,10.2,14.7,10.2,41,0,0,UnmanagedForest,AEZ04,Forest
Middle East,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,0,0,0,0,0,0,0,UnmanagedForest,AEZ04,Forest
Africa,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,16.1,9.8,16.1,9.8,37,0,0,UnmanagedForest,AEZ04,Forest
Latin America,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,17.2,10,17.2,10,40,0,0,UnmanagedForest,AEZ04,Forest
Southeast Asia,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,16.7,9.9,16.7,9.9,38,0,0,UnmanagedForest,AEZ04,Forest
Eastern Europe,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,0,0,0,0,0,0,0,UnmanagedForest,AEZ04,Forest
Korea,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,0,0,0,0,0,0,0,UnmanagedForest,AEZ04,Forest
India,root,AgroForestLandAEZ04,AgroForest_NonPastureAEZ04,AllForestLandAEZ04,UnmanagedForestAEZ04,15.7,9.8,15.7,9.8,37,0,0,UnmanagedForest,AEZ04,Forest
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,0,0,0,0,0,0,0,Grassland,AEZ05,Grassland
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,0,0,0,0,0,0,0,Grassland,AEZ05,Grassland
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,0,0,0,0,0,0,0,Grassland,AEZ05,Grassland
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,0,0,0,0,0,0,0,Grassland,AEZ05,Grassland
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ05,Grassland
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,0,0,0,0,0,0,0,Grassland,AEZ05,Grassland
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ05,Grassland
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,0,0,0,0,0,0,0,Grassland,AEZ05,Grassland
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ05,Grassland
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,2.3,9.7,2.3,9.7,27,0,0,Grassland,AEZ05,Grassland
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,2.5,9.5,2.5,9.5,29,0,0,Grassland,AEZ05,Grassland
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,0,0,0,0,0,0,0,Grassland,AEZ05,Grassland
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,0,0,0,0,0,0,0,Grassland,AEZ05,Grassland
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,GrasslandAEZ05,2.2,9.9,2.2,9.9,26,0,0,Grassland,AEZ05,Grassland
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,OtherArableLandAEZ05,0.3,6,0.3,6,1,0,0,OtherArableLand,AEZ05,Cropland
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,0,0,0,0,0,0,0,Shrubland,AEZ05,Shrubland
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,0,0,0,0,0,0,0,Shrubland,AEZ05,Shrubland
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,0,0,0,0,0,0,0,Shrubland,AEZ05,Shrubland
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,0,0,0,0,0,0,0,Shrubland,AEZ05,Shrubland
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,5.5,6.9,5.5,6.9,18,0,0,Shrubland,AEZ05,Shrubland
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,0,0,0,0,0,0,0,Shrubland,AEZ05,Shrubland
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,5.4,6.9,5.4,6.9,19,0,0,Shrubland,AEZ05,Shrubland
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,0,0,0,0,0,0,0,Shrubland,AEZ05,Shrubland
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,4,6.9,4,6.9,36,0,0,Shrubland,AEZ05,Shrubland
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,5.4,6.9,5.4,6.9,19,0,0,Shrubland,AEZ05,Shrubland
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,5.3,6.9,5.3,6.9,20,0,0,Shrubland,AEZ05,Shrubland
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,0,0,0,0,0,0,0,Shrubland,AEZ05,Shrubland
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,0,0,0,0,0,0,0,Shrubland,AEZ05,Shrubland
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,ShrublandAEZ05,2.7,6.9,2.7,6.9,50,0,0,Shrubland,AEZ05,Shrubland
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,0,0,0,0,0,0,0,UnmanagedForest,AEZ05,Forest
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,0,0,0,0,0,0,0,UnmanagedForest,AEZ05,Forest
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,0,0,0,0,0,0,0,UnmanagedForest,AEZ05,Forest
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,0,0,0,0,0,0,0,UnmanagedForest,AEZ05,Forest
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,20,9.8,20,9.8,40,0,0,UnmanagedForest,AEZ05,Forest
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,0,0,0,0,0,0,0,UnmanagedForest,AEZ05,Forest
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,16.4,10,16.4,10,40,0,0,UnmanagedForest,AEZ05,Forest
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,0,0,0,0,0,0,0,UnmanagedForest,AEZ05,Forest
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,17.6,9.8,17.6,9.8,38,0,0,UnmanagedForest,AEZ05,Forest
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,18.5,9.8,18.5,9.8,39,0,0,UnmanagedForest,AEZ05,Forest
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,17.2,10,17.2,10,40,0,0,UnmanagedForest,AEZ05,Forest
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,0,0,0,0,0,0,0,UnmanagedForest,AEZ05,Forest
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,0,0,0,0,0,0,0,UnmanagedForest,AEZ05,Forest
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,UnmanagedForestAEZ05,18.2,9.9,18.2,9.9,39,0,0,UnmanagedForest,AEZ05,Forest
USA,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,GrasslandAEZ06,0,0,0,0,0,0,0,Grassland,AEZ06,Grassland
Canada,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,GrasslandAEZ06,0,0,0,0,0,0,0,Grassland,AEZ06,Grassland
Western Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,GrasslandAEZ06,0,0,0,0,0,0,0,Grassland,AEZ06,Grassland
