INPUT_TABLE
Variable ID
LN3_LogitShare

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,logit.exponent,default.share.2020,default.share.2025,default.share.2035,ID_AEZ,ID_LN3
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,AllForestLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,AllForestLand
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,CropLandAEZ05,1.75,0.02,0.1,0.25,AEZ05,CropLand
USA,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Canada,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Western Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Japan,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Australia_NZ,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Former Soviet Union,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
China,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Middle East,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Africa,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Latin America,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Southeast Asia,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Eastern Europe,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
Korea,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
India,root,AgroForestLandAEZ05,AgroForest_NonPastureAEZ05,GrassShrubLandAEZ05,0.05,0.02,0.1,0.25,AEZ05,GrassShrubLand
USA,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Canada,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Western Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Japan,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Australia_NZ,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Former Soviet Union,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
China,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Middle East,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Africa,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Latin America,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Southeast Asia,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Eastern Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
Korea,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
India,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,AllForestLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,AllForestLand
USA,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Canada,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Western Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Japan,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Australia_NZ,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Former Soviet Union,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
China,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Middle East,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Africa,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Latin America,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Southeast Asia,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Eastern Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
Korea,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
India,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,CropLandAEZ06,1.75,0.02,0.1,0.25,AEZ06,CropLand
USA,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Canada,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Western Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Japan,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Australia_NZ,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Former Soviet Union,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
China,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Middle East,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Africa,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Latin America,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Southeast Asia,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Eastern Europe,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
Korea,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
India,root,AgroForestLandAEZ06,AgroForest_NonPastureAEZ06,GrassShrubLandAEZ06,0.05,0.02,0.1,0.25,AEZ06,GrassShrubLand
USA,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Canada,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Western Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Japan,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Australia_NZ,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Former Soviet Union,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
China,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Middle East,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Africa,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Latin America,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Southeast Asia,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Eastern Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
Korea,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
India,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,AllForestLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,AllForestLand
USA,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Canada,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Western Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Japan,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Australia_NZ,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Former Soviet Union,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
China,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Middle East,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Africa,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Latin America,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Southeast Asia,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Eastern Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
Korea,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
India,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,0.875,0.02,0.1,0.25,AEZ07,CropLand
USA,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Canada,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Western Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Japan,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Australia_NZ,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Former Soviet Union,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
China,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Middle East,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Africa,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Latin America,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Southeast Asia,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Eastern Europe,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
Korea,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
India,root,AgroForestLandAEZ07,AgroForest_NonPastureAEZ07,GrassShrubLandAEZ07,0.05,0.02,0.1,0.25,AEZ07,GrassShrubLand
USA,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Canada,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Western Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Japan,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Australia_NZ,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Former Soviet Union,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
China,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Middle East,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Africa,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Latin America,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Southeast Asia,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Eastern Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
Korea,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
India,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,AllForestLand
USA,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Canada,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Western Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Japan,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Australia_NZ,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Former Soviet Union,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
China,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Middle East,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Africa,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Latin America,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Southeast Asia,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Eastern Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
Korea,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
India,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,1.75,0.02,0.1,0.25,AEZ08,CropLand
USA,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Canada,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Western Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Japan,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Australia_NZ,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Former Soviet Union,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
China,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Middle East,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Africa,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Latin America,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Southeast Asia,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Eastern Europe,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
Korea,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
India,root,AgroForestLandAEZ08,AgroForest_NonPastureAEZ08,GrassShrubLandAEZ08,0.05,0.02,0.1,0.25,AEZ08,GrassShrubLand
USA,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Canada,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Western Europe,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Japan,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Australia_NZ,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Former Soviet Union,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
China,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Middle East,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Africa,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Latin America,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Southeast Asia,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Eastern Europe,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
Korea,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
India,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,AllForestLand
USA,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,CropLand
Canada,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,CropLand
Western Europe,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,CropLand
Japan,root,AgroForestLandAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,1.75,0.02,0.1,0.25,AEZ09,CropLand
