Food Demand,,,,,,,,,,,,,,,
Energy-final-demand drivers,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
,,,base-service,,,2020 fillout,2020 fillout,,,,,,,,
Japan,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,SugarCropDemand,SugarCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
USA,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,WheatDemand,WheatNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
,,,,,,,,,,,,,,,
Nonfood Demands Subsector scaling,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,
,,,share-weight,interpolation-rule,,,,,,,,,,,
region,supplysector,subsector,1975 fillout,apply-to,from-year,to-year,interpolation-function,,,,,,,,
USA,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Canada,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Western Europe,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Japan,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Australia_NZ,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Former Soviet Union,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
China,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Middle East,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Africa,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Latin America,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Southeast Asia,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Eastern Europe,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
Korea,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
India,FiberCropDemand,FiberCropNonFoodDemand,1,share-weight,2005,2095,fixed,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Efficiency,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
5006,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,minicam-energy-input,,
ALL,CornDemand,CornDemand,CornDemand,1,1,1,1,1,1,1,1,1,Corn,,
ALL,MiscCropDemand,MiscCropDemand,MiscCropDemand,1,1,1,1,1,1,1,1,1,MiscCrop,,
ALL,OilCropDemand,OilCropDemand,OilCropDemand,1,1,1,1,1,1,1,1,1,OilCrop,,
ALL,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,1,1,1,1,1,1,1,1,1,OtherGrain,,
ALL,RiceDemand,RiceDemand,RiceDemand,1,1,1,1,1,1,1,1,1,Rice,,
ALL,SugarCropDemand,SugarCropDemand,SugarCropDemand,1,1,1,1,1,1,1,1,1,SugarCrop,,
ALL,WheatDemand,WheatDemand,WheatDemand,1,1,1,1,1,1,1,1,1,Wheat,,
ALL,CornDemand,CornNonFoodDemand,CornNonFoodDemand,1,1,1,1,1,1,1,1,1,Corn,,
ALL,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,1,1,1,1,1,1,1,1,1,MiscCrop,,
ALL,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,1,1,1,1,1,1,1,1,1,OilCrop,,
ALL,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,1,1,1,1,1,1,1,1,1,OtherGrain,,
ALL,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,1,1,1,1,1,1,1,1,1,Rice,,
ALL,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,1,1,1,1,1,1,1,1,1,SugarCrop,,
ALL,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,1,1,1,1,1,1,1,1,1,Wheat,,
ALL,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,1,1,1,1,1,1,1,1,1,FiberCrop,,
,,,,,,,,,,,,,,,
,,global supply by crop type,,,consumed by animals,,,,,,,,,,
,,1990,2005,,1990,2005,,,,,,,,,
,Corn,1720620442,2537395803,,611500146,1395041616,,,,,,,,,
,MiscCrop,1170999897,1585350533,,129362591,193730034,,,,,,,,,
,OilCrop,974924603,1780605517,,26758435,72882337,,,,,,,,,
,OtherGrain,1214927350,991769721,,407388817,619645668,,,,,,,,,
,Rice,1450998917,1764636622,,18354806,30321345,,,,,,,,,
,SugarCrop,2429856053,2892166415,,53844874,70586153,,,,,,,,,
,Wheat,1978366265,2095353265,,197834479,350776106,,,,,,,,,
,,,,,,,,,,,,,,,
,,global demand from FAO,,,derived consumption by people,,,,,,,,,,
,,1990,2005,,1990,2005,,,,,,,,,
,Corn,783878242,987313693,,1109120297,1142354187,,,,,,,,,
,MiscCrop,988993404,1394877869,,1041637306,1391620499,,,,,,,,,
,OilCrop,934519404,1693565873,,948166168,1707723180,,,,,,,,,
,OtherGrain,552702926,444328194,,807538533,372124053,,,,,,,,,
,Rice,1424861618,1728763137,,1432644112,1734315277,,,,,,,,,
,SugarCrop,2358850199,2818791907,,2376011179,2821580262,,,,,,,,,
,Wheat,1638658006,1781515007,,1780531786,1744577159,,,,,,,,,
,,,,,,,,,,,,,,,
,,check (no need to scale if close to 1),,,,,,,,,,,,,
,Corn,1990,2005,,,,,,,,,,,,
,MiscCrop,1.414913997,1.157032658,,,,,,,,,,,,
,OilCrop,1.053229781,0.997664763,,,,,,,,,,,,
,OtherGrain,1.014602975,1.008359466,,,,,,,,,,,,
,Rice,1.461071572,0.837498178,,,,,,,,,,,,
,SugarCrop,1.00546193,1.003211626,,,,,,,,,,,,
,Wheat,1.007275146,1.000989202,,,,,,,,,,,,
,,1.086579249,0.979266047,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Calibrated demands,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,,
,,,,,calibrated-value,calibrated-value,share-weight,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,CornDemand,CornDemand,CornDemand,Corn,49864956,61682660,1,1,1,1,1,1,1,1,1
Canada,CornDemand,CornDemand,CornDemand,Corn,2793140,5296141,1,1,1,1,1,1,1,1,1
Western Europe,CornDemand,CornDemand,CornDemand,Corn,20286896,22935905,1,1,1,1,1,1,1,1,1
Japan,CornDemand,CornDemand,CornDemand,Corn,6949832,9113208,1,1,1,1,1,1,1,1,1
Australia_NZ,CornDemand,CornDemand,CornDemand,Corn,383875,557496,1,1,1,1,1,1,1,1,1
Former Soviet Union,CornDemand,CornDemand,CornDemand,Corn,389227,1704494,1,1,1,1,1,1,1,1,1
China,CornDemand,CornDemand,CornDemand,Corn,93862853,61077425,1,1,1,1,1,1,1,1,1
Middle East,CornDemand,CornDemand,CornDemand,Corn,2301433,6703694,1,1,1,1,1,1,1,1,1
Africa,CornDemand,CornDemand,CornDemand,Corn,82606511,125046744,1,1,1,1,1,1,1,1,1
Latin America,CornDemand,CornDemand,CornDemand,Corn,77542389,94030565,1,1,1,1,1,1,1,1,1
Southeast Asia,CornDemand,CornDemand,CornDemand,Corn,25520252,39986846,1,1,1,1,1,1,1,1,1
Eastern Europe,CornDemand,CornDemand,CornDemand,Corn,6613586,10831976,1,1,1,1,1,1,1,1,1
Korea,CornDemand,CornDemand,CornDemand,Corn,1518233,2609088,1,1,1,1,1,1,1,1,1
India,CornDemand,CornDemand,CornDemand,Corn,18387293,14291264,1,1,1,1,1,1,1,1,1
USA,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,36461802,46636202,1,1,1,1,1,1,1,1,1
Canada,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,4288529,6452283,1,1,1,1,1,1,1,1,1
Western Europe,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,90676228,97219181,1,1,1,1,1,1,1,1,1
Japan,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,15092662,16673510,1,1,1,1,1,1,1,1,1
Australia_NZ,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,3009354,3405039,1,1,1,1,1,1,1,1,1
Former Soviet Union,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,35943183,45259122,1,1,1,1,1,1,1,1,1
China,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,130690930,263357805,1,1,1,1,1,1,1,1,1
Middle East,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,15616966,25340323,1,1,1,1,1,1,1,1,1
Africa,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,163913246,244793562,1,1,1,1,1,1,1,1,1
Latin America,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,74804163,93812456,1,1,1,1,1,1,1,1,1
Southeast Asia,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,61094814,102153328,1,1,1,1,1,1,1,1,1
Eastern Europe,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,17614862,17857672,1,1,1,1,1,1,1,1,1
Korea,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,5019967,6911513,1,1,1,1,1,1,1,1,1
India,MiscCropDemand,MiscCropDemand,MiscCropDemand,MiscCrop,90357216,128664749,1,1,1,1,1,1,1,1,1
USA,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,76363917,77696965,1,1,1,1,1,1,1,1,1
Canada,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,4593506,6631972,1,1,1,1,1,1,1,1,1
Western Europe,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,72186277,97227359,1,1,1,1,1,1,1,1,1
Japan,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,22714776,30209606,1,1,1,1,1,1,1,1,1
Australia_NZ,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,4036572,6225679,1,1,1,1,1,1,1,1,1
Former Soviet Union,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,1823843,29370273,1,1,1,1,1,1,1,1,1
China,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,122289072,314447024,1,1,1,1,1,1,1,1,1
Middle East,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,16864250,31956055,1,1,1,1,1,1,1,1,1
Africa,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,62431288,104100496,1,1,1,1,1,1,1,1,1
Latin America,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,71632482,93949318,1,1,1,1,1,1,1,1,1
Southeast Asia,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,75495628,104501147,1,1,1,1,1,1,1,1,1
Eastern Europe,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,7300024,13604846,1,1,1,1,1,1,1,1,1
Korea,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,6870051,12653045,1,1,1,1,1,1,1,1,1
India,OilCropDemand,OilCropDemand,OilCropDemand,OilCrop,82501148,153869392,1,1,1,1,1,1,1,1,1
USA,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,13306038,7514717,1,1,1,1,1,1,1,1,1
Canada,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,1028045,1455957,1,1,1,1,1,1,1,1,1
Western Europe,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,22742310,20925429,1,1,1,1,1,1,1,1,1
Japan,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,3439469,3776200,1,1,1,1,1,1,1,1,1
Australia_NZ,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,1404175,961749,1,1,1,1,1,1,1,1,1
Former Soviet Union,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,15366832,17117736,1,1,1,1,1,1,1,1,1
China,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,30003741,22378772,1,1,1,1,1,1,1,1,1
Middle East,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,3296262,6277331,1,1,1,1,1,1,1,1,1
Africa,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,77806107,111328493,1,1,1,1,1,1,1,1,1
Latin America,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,7916761,12123463,1,1,1,1,1,1,1,1,1
Southeast Asia,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,3961544,4982834,1,1,1,1,1,1,1,1,1
Eastern Europe,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,8051638,9632375,1,1,1,1,1,1,1,1,1
Korea,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,1884195,1310488,1,1,1,1,1,1,1,1,1
India,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,OtherGrain,64083505,65403655,1,1,1,1,1,1,1,1,1
USA,RiceDemand,RiceDemand,RiceDemand,Rice,7526288,11234272,1,1,1,1,1,1,1,1,1
Canada,RiceDemand,RiceDemand,RiceDemand,Rice,600824,1176784,1,1,1,1,1,1,1,1,1
Western Europe,RiceDemand,RiceDemand,RiceDemand,Rice,7801638,11517240,1,1,1,1,1,1,1,1,1
Japan,RiceDemand,RiceDemand,RiceDemand,Rice,38876666,34352612,1,1,1,1,1,1,1,1,1
Australia_NZ,RiceDemand,RiceDemand,RiceDemand,Rice,679392,797680,1,1,1,1,1,1,1,1,1
Former Soviet Union,RiceDemand,RiceDemand,RiceDemand,Rice,6716948,5521432,1,1,1,1,1,1,1,1,1
China,RiceDemand,RiceDemand,RiceDemand,Rice,518026964,505602076,1,1,1,1,1,1,1,1,1
Middle East,RiceDemand,RiceDemand,RiceDemand,Rice,17219776,18596904,1,1,1,1,1,1,1,1,1
Africa,RiceDemand,RiceDemand,RiceDemand,Rice,40568206,70035812,1,1,1,1,1,1,1,1,1
Latin America,RiceDemand,RiceDemand,RiceDemand,Rice,44493475,64542660,1,1,1,1,1,1,1,1,1
Southeast Asia,RiceDemand,RiceDemand,RiceDemand,Rice,288890280,378394352,1,1,1,1,1,1,1,1,1
Eastern Europe,RiceDemand,RiceDemand,RiceDemand,Rice,1403586,1647580,1,1,1,1,1,1,1,1,1
Korea,RiceDemand,RiceDemand,RiceDemand,Rice,20337688,17713528,1,1,1,1,1,1,1,1,1
India,RiceDemand,RiceDemand,RiceDemand,Rice,273055160,362589962,1,1,1,1,1,1,1,1,1
USA,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,78560825,88091808,1,1,1,1,1,1,1,1,1
Canada,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,12336436,16387182,1,1,1,1,1,1,1,1,1
Western Europe,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,92117361,93662191,1,1,1,1,1,1,1,1,1
Japan,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,29784713,25680809,1,1,1,1,1,1,1,1,1
Australia_NZ,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,14447349,13992461,1,1,1,1,1,1,1,1,1
Former Soviet Union,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,10,80747625,1,1,1,1,1,1,1,1,1
China,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,138625445,235122909,1,1,1,1,1,1,1,1,1
Middle East,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,26389405,39363702,1,1,1,1,1,1,1,1,1
Africa,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,114552830,185087609,1,1,1,1,1,1,1,1,1
Latin America,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,317441579,385841813,1,1,1,1,1,1,1,1,1
Southeast Asia,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,209678805,296940280,1,1,1,1,1,1,1,1,1
Eastern Europe,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,13336701,20215521,1,1,1,1,1,1,1,1,1
Korea,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,8059024,12521285,1,1,1,1,1,1,1,1,1
India,SugarCropDemand,SugarCropDemand,SugarCropDemand,SugarCrop,422080365,464381351,1,1,1,1,1,1,1,1,1
USA,WheatDemand,WheatDemand,WheatDemand,Wheat,78605731,93912083,1,1,1,1,1,1,1,1,1
Canada,WheatDemand,WheatDemand,WheatDemand,Wheat,6862331,8940412,1,1,1,1,1,1,1,1,1
Western Europe,WheatDemand,WheatDemand,WheatDemand,Wheat,147694771,172496204,1,1,1,1,1,1,1,1,1
Japan,WheatDemand,WheatDemand,WheatDemand,Wheat,19113117,20820558,1,1,1,1,1,1,1,1,1
Australia_NZ,WheatDemand,WheatDemand,WheatDemand,Wheat,1589272,5794900,1,1,1,1,1,1,1,1,1
Former Soviet Union,WheatDemand,WheatDemand,WheatDemand,Wheat,137882133,132114635,1,1,1,1,1,1,1,1,1
China,WheatDemand,WheatDemand,WheatDemand,Wheat,313545005,269958272,1,1,1,1,1,1,1,1,1
Middle East,WheatDemand,WheatDemand,WheatDemand,Wheat,54029310,74626255,1,1,1,1,1,1,1,1,1
Africa,WheatDemand,WheatDemand,WheatDemand,Wheat,92720998,136991904,1,1,1,1,1,1,1,1,1
Latin America,WheatDemand,WheatDemand,WheatDemand,Wheat,62115182,88247743,1,1,1,1,1,1,1,1,1
Southeast Asia,WheatDemand,WheatDemand,WheatDemand,Wheat,76383930,103908936,1,1,1,1,1,1,1,1,1
Eastern Europe,WheatDemand,WheatDemand,WheatDemand,Wheat,55441325,42129491,1,1,1,1,1,1,1,1,1
Korea,WheatDemand,WheatDemand,WheatDemand,Wheat,6753749,9893915,1,1,1,1,1,1,1,1,1
India,WheatDemand,WheatDemand,WheatDemand,Wheat,163464142,228968148,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Calibrated demands: other net use demands,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,,
,,,,,,,share-weight,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,92220140,211235669,1,1,1,1,1,1,1,1,1
Canada,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,7511923,11929646,1,1,1,1,1,1,1,1,1
Western Europe,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,24684686,27690817,1,1,1,1,1,1,1,1,1
Japan,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,14447068,8737808,1,1,1,1,1,1,1,1,1
Australia_NZ,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,74108,751453,1,1,1,1,1,1,1,1,1
Former Soviet Union,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,4768371,10,1,1,1,1,1,1,1,1,1
China,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,106200046,90266102,1,1,1,1,1,1,1,1,1
Middle East,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,4107963,8771162,1,1,1,1,1,1,1,1,1
Africa,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,42924656,60543630,1,1,1,1,1,1,1,1,1
Latin America,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,42533961,60092804,1,1,1,1,1,1,1,1,1
Southeast Asia,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,25934948,21703990,1,1,1,1,1,1,1,1,1
Eastern Europe,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,3862479,9761672,1,1,1,1,1,1,1,1,1
Korea,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,11251899,7069796,1,1,1,1,1,1,1,1,1
India,CornDemand,CornNonFoodDemand,CornNonFoodDemand,Corn,14335518,12891626,1,1,1,1,1,1,1,1,1
USA,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,9186795,10004130,1,1,1,1,1,1,1,1,1
Canada,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,853872,1857337,1,1,1,1,1,1,1,1,1
Western Europe,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,25182021,20410779,1,1,1,1,1,1,1,1,1
Japan,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,3288013,2539371,1,1,1,1,1,1,1,1,1
Australia_NZ,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,387102,2818334,1,1,1,1,1,1,1,1,1
Former Soviet Union,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,6082039,3482289,1,1,1,1,1,1,1,1,1
China,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,46145271,39545277,1,1,1,1,1,1,1,1,1
Middle East,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,3332168,5980434,1,1,1,1,1,1,1,1,1
Africa,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,64735642,135812536,1,1,1,1,1,1,1,1,1
Latin America,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,29556633,30041951,1,1,1,1,1,1,1,1,1
Southeast Asia,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,23512526,22386658,1,1,1,1,1,1,1,1,1
Eastern Europe,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,12319179,215997,1,1,1,1,1,1,1,1,1
Korea,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,2606437,1623886,1,1,1,1,1,1,1,1,1
India,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,MiscCrop,17221784,19622145,1,1,1,1,1,1,1,1,1
USA,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,69288039,148713018,1,1,1,1,1,1,1,1,1
Canada,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,4854120,14200172,1,1,1,1,1,1,1,1,1
Western Europe,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,48572786,103019727,1,1,1,1,1,1,1,1,1
Japan,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,11999687,6154687,1,1,1,1,1,1,1,1,1
Australia_NZ,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,10,1561296,1,1,1,1,1,1,1,1,1
Former Soviet Union,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,580361,25195830,1,1,1,1,1,1,1,1,1
China,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,43633306,72758590,1,1,1,1,1,1,1,1,1
Middle East,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,1489288,7450046,1,1,1,1,1,1,1,1,1
Africa,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,21992079,42576372,1,1,1,1,1,1,1,1,1
Latin America,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,37831329,54349765,1,1,1,1,1,1,1,1,1
Southeast Asia,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,41743410,91666241,1,1,1,1,1,1,1,1,1
Eastern Europe,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,5897992,11526116,1,1,1,1,1,1,1,1,1
Korea,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,2080836,2497052,1,1,1,1,1,1,1,1,1
India,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,OilCrop,17453326,35453784,1,1,1,1,1,1,1,1,1
USA,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,16342374,10,1,1,1,1,1,1,1,1,1
Canada,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,13106718,1376843,1,1,1,1,1,1,1,1,1
Western Europe,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,77254237,28207329,1,1,1,1,1,1,1,1,1
Japan,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,6981565,2868785,1,1,1,1,1,1,1,1,1
Australia_NZ,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,1015880,4834441,1,1,1,1,1,1,1,1,1
