model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD Env-Linkages,SSP4_v5_120504,EST,GDP|PPP,billion US$2005/yr,16,22,22,28,31,35,38,42,46,48,51,52,55,57,59,61,62,64,66,68,70
OECD Env-Linkages,SSP4_v5_120504,ETH,GDP|PPP,billion US$2005/yr,35,47,77,106,142,190,254,342,458,608,797,1028,1300,1618,1986,2403,2866,3372,3922,4519,5167
OECD Env-Linkages,SSP4_v5_120504,FIN,GDP|PPP,billion US$2005/yr,141,161,170,189,205,220,236,251,264,275,286,297,307,319,331,343,356,369,383,396,410
OECD Env-Linkages,SSP4_v5_120504,FJI,GDP|PPP,billion US$2005/yr,3,4,3,4,4,5,6,7,8,9,11,13,15,17,19,21,24,26,28,30,32
OECD Env-Linkages,SSP4_v5_120504,FRA,GDP|PPP,billion US$2005/yr,1720,1859,1922,2069,2248,2442,2655,2876,3090,3298,3497,3700,3912,4126,4334,4535,4746,4967,5192,5413,5622
OECD Env-Linkages,SSP4_v5_120504,GAB,GDP|PPP,billion US$2005/yr,16,18,20,24,28,31,35,40,45,51,57,64,72,82,92,104,118,134,152,173,196
OECD Env-Linkages,SSP4_v5_120504,GBR,GDP|PPP,billion US$2005/yr,1711,1972,2014,2189,2437,2667,2891,3108,3325,3548,3760,3969,4180,4405,4636,4853,5070,5296,5528,5760,5988
OECD Env-Linkages,SSP4_v5_120504,GEO,GDP|PPP,billion US$2005/yr,11,16,20,26,33,41,50,59,69,79,87,95,103,111,119,126,131,136,141,147,152
OECD Env-Linkages,SSP4_v5_120504,GHA,GDP|PPP,billion US$2005/yr,20,26,36,52,68,87,111,142,181,231,294,373,470,590,736,912,1119,1362,1642,1958,2311
OECD Env-Linkages,SSP4_v5_120504,GIN,GDP|PPP,billion US$2005/yr,7,9,10,12,16,21,27,36,50,68,93,127,173,232,309,406,526,672,847,1053,1291
OECD Env-Linkages,SSP4_v5_120504,GMB,GDP|PPP,billion US$2005/yr,2,2,2,3,4,5,7,10,14,19,26,34,44,57,72,91,113,138,167,200,237
OECD Env-Linkages,SSP4_v5_120504,GNB,GDP|PPP,billion US$2005/yr,1,1,2,2,3,3,5,6,9,12,17,22,30,39,51,66,83,104,130,160,195
OECD Env-Linkages,SSP4_v5_120504,GNQ,GDP|PPP,billion US$2005/yr,5,15,22,26,29,33,36,39,41,44,48,52,56,60,66,71,77,83,89,96,103
OECD Env-Linkages,SSP4_v5_120504,GRC,GDP|PPP,billion US$2005/yr,222,270,274,264,294,327,366,404,439,470,500,529,558,587,612,632,652,673,692,710,723
OECD Env-Linkages,SSP4_v5_120504,GTM,GDP|PPP,billion US$2005/yr,44,52,62,72,86,106,132,167,213,273,351,452,581,739,927,1150,1410,1714,2066,2466,2919
OECD Env-Linkages,SSP4_v5_120504,GUY,GDP|PPP,billion US$2005/yr,2,2,2,3,3,4,5,5,7,8,10,12,14,16,18,20,23,25,27,29,31
OECD Env-Linkages,SSP4_v5_120504,HKG,GDP|PPP,billion US$2005/yr,199,243,295,371,433,478,512,541,565,581,592,599,602,609,621,631,641,651,662,674,690
OECD Env-Linkages,SSP4_v5_120504,HND,GDP|PPP,billion US$2005/yr,18,23,27,32,39,48,61,76,96,119,148,183,226,276,335,404,482,572,676,794,927
OECD Env-Linkages,SSP4_v5_120504,HRV,GDP|PPP,billion US$2005/yr,55,68,71,79,89,98,107,114,120,124,127,129,130,131,131,131,130,130,129,129,128
OECD Env-Linkages,SSP4_v5_120504,HTI,GDP|PPP,billion US$2005/yr,10,10,10,14,18,25,35,47,62,82,105,134,169,212,263,322,389,468,560,664,781
OECD Env-Linkages,SSP4_v5_120504,HUN,GDP|PPP,billion US$2005/yr,140,171,170,184,203,223,244,264,281,295,309,322,336,350,362,374,387,400,413,425,436
OECD Env-Linkages,SSP4_v5_120504,IDN,GDP|PPP,billion US$2005/yr,559,705,930,1279,1793,2472,3290,4239,5278,6349,7425,8488,9513,10474,11336,12104,12790,13414,13972,14453,14867
OECD Env-Linkages,SSP4_v5_120504,IND,GDP|PPP,billion US$2005/yr,1769,2432,3653,5335,7795,10925,14721,19126,23925,28903,33856,38604,43012,46983,50353,53076,55371,57221,58668,59722,60452
OECD Env-Linkages,SSP4_v5_120504,IRL,GDP|PPP,billion US$2005/yr,127,162,161,179,197,214,232,249,264,277,291,306,323,341,358,373,389,406,425,444,463
OECD Env-Linkages,SSP4_v5_120504,IRN,GDP|PPP,billion US$2005/yr,490,644,790,950,1119,1300,1524,1784,2057,2309,2519,2691,2850,2998,3114,3186,3227,3264,3308,3350,3378
OECD Env-Linkages,SSP4_v5_120504,IRQ,GDP|PPP,billion US$2005/yr,112,83,102,166,249,306,394,511,614,717,806,882,958,1052,1175,1339,1547,1802,2107,2465,2878
OECD Env-Linkages,SSP4_v5_120504,ISL,GDP|PPP,billion US$2005/yr,8,10,10,12,13,15,16,17,19,20,21,22,24,25,27,28,29,31,32,34,35
OECD Env-Linkages,SSP4_v5_120504,ISR,GDP|PPP,billion US$2005/yr,146,162,198,239,283,335,395,460,528,597,668,745,828,914,1002,1089,1177,1272,1373,1476,1579
OECD Env-Linkages,SSP4_v5_120504,ITA,GDP|PPP,billion US$2005/yr,1578,1657,1641,1685,1744,1807,1888,1979,2072,2169,2273,2382,2492,2601,2702,2799,2909,3029,3152,3273,3401
OECD Env-Linkages,SSP4_v5_120504,JAM,GDP|PPP,billion US$2005/yr,17,19,19,21,24,27,31,35,39,44,48,52,56,59,63,68,72,76,80,84,88
OECD Env-Linkages,SSP4_v5_120504,JOR,GDP|PPP,billion US$2005/yr,17,23,31,37,45,55,70,88,111,139,170,205,245,290,339,393,451,512,579,651,727
OECD Env-Linkages,SSP4_v5_120504,JPN,GDP|PPP,billion US$2005/yr,3630,3873,3899,4172,4550,4958,5313,5564,5703,5800,5854,5897,5920,5909,5867,5795,5727,5674,5632,5587,5533
OECD Env-Linkages,SSP4_v5_120504,KAZ,GDP|PPP,billion US$2005/yr,80,132,178,239,326,443,566,698,824,918,966,988,1013,1052,1089,1114,1136,1160,1189,1218,1240
OECD Env-Linkages,SSP4_v5_120504,KEN,GDP|PPP,billion US$2005/yr,40,48,60,81,108,144,189,249,326,427,555,720,930,1196,1525,1931,2426,3024,3733,4557,5500
OECD Env-Linkages,SSP4_v5_120504,KGZ,GDP|PPP,billion US$2005/yr,7,9,11,14,18,23,30,38,48,60,74,88,104,122,141,159,176,194,211,229,245
OECD Env-Linkages,SSP4_v5_120504,KHM,GDP|PPP,billion US$2005/yr,13,20,27,39,53,68,87,110,138,173,211,256,306,363,424,487,549,612,676,742,806
OECD Env-Linkages,SSP4_v5_120504,KOR,GDP|PPP,billion US$2005/yr,880,1097,1321,1604,1906,2187,2435,2641,2793,2901,2968,3011,3005,2975,2943,2890,2839,2784,2723,2654,2587
OECD Env-Linkages,SSP4_v5_120504,KWT,GDP|PPP,billion US$2005/yr,74,110,125,159,186,213,247,294,348,393,429,452,461,460,452,444,437,434,432,430,427
OECD Env-Linkages,SSP4_v5_120504,LAO,GDP|PPP,billion US$2005/yr,7,10,14,21,29,37,47,60,77,97,122,152,187,228,276,331,391,459,534,619,712
OECD Env-Linkages,SSP4_v5_120504,LBN,GDP|PPP,billion US$2005/yr,32,39,53,63,75,89,104,120,136,150,164,176,186,194,202,208,211,214,216,217,218
OECD Env-Linkages,SSP4_v5_120504,LBR,GDP|PPP,billion US$2005/yr,0,1,2,2,3,4,6,9,13,19,27,39,55,76,105,142,190,250,324,414,521
OECD Env-Linkages,SSP4_v5_120504,LBY,GDP|PPP,billion US$2005/yr,66,81,100,71,81,93,105,118,129,138,145,151,156,159,161,160,158,156,157,165,177
OECD Env-Linkages,SSP4_v5_120504,LCA,GDP|PPP,billion US$2005/yr,1,1,1,2,2,2,2,3,3,4,4,5,6,6,7,7,8,8,9,9,10
OECD Env-Linkages,SSP4_v5_120504,LKA,GDP|PPP,billion US$2005/yr,57,70,95,131,179,240,309,380,445,501,545,582,614,637,648,647,643,640,637,632,625
OECD Env-Linkages,SSP4_v5_120504,LSO,GDP|PPP,billion US$2005/yr,2,2,3,4,5,6,8,10,13,17,22,27,33,40,48,57,66,77,89,102,116
OECD Env-Linkages,SSP4_v5_120504,LTU,GDP|PPP,billion US$2005/yr,33,49,51,62,69,73,77,81,86,90,93,95,97,101,105,108,111,113,116,120,124
OECD Env-Linkages,SSP4_v5_120504,LUX,GDP|PPP,billion US$2005/yr,27,32,35,39,43,47,51,54,56,57,58,59,59,59,59,60,60,61,61,62,62
OECD Env-Linkages,SSP4_v5_120504,LVA,GDP|PPP,billion US$2005/yr,20,30,29,35,40,44,49,53,57,59,60,61,62,63,63,63,63,64,64,64,65
OECD Env-Linkages,SSP4_v5_120504,MAC,GDP|PPP,billion US$2005/yr,10,17,32,41,49,54,58,61,62,63,63,61,60,58,57,55,53,52,50,49,49
OECD Env-Linkages,SSP4_v5_120504,MAR,GDP|PPP,billion US$2005/yr,85,108,137,175,223,282,353,436,523,613,699,779,853,924,987,1041,1091,1137,1183,1231,1280
OECD Env-Linkages,SSP4_v5_120504,MDA,GDP|PPP,billion US$2005/yr,6,8,10,13,16,20,25,32,38,44,49,53,57,61,65,68,70,73,75,77,79
OECD Env-Linkages,SSP4_v5_120504,MDG,GDP|PPP,billion US$2005/yr,14,16,18,22,29,38,53,75,106,151,213,298,414,569,773,1039,1376,1796,2311,2934,3674
OECD Env-Linkages,SSP4_v5_120504,MDV,GDP|PPP,billion US$2005/yr,1,1,2,2,2,3,4,5,6,7,8,10,11,13,14,16,17,18,19,20,21
OECD Env-Linkages,SSP4_v5_120504,MEX,GDP|PPP,billion US$2005/yr,1203,1297,1410,1683,1979,2317,2702,3119,3526,3923,4320,4700,5066,5418,5732,6010,6274,6512,6721,6899,7052
OECD Env-Linkages,SSP4_v5_120504,MKD,GDP|PPP,billion US$2005/yr,15,16,18,22,26,32,38,43,49,53,57,59,61,63,64,65,65,65,65,65,65
OECD Env-Linkages,SSP4_v5_120504,MLI,GDP|PPP,billion US$2005/yr,9,12,15,19,25,33,46,63,88,123,170,233,316,425,563,737,949,1203,1506,1860,2268
OECD Env-Linkages,SSP4_v5_120504,MLT,GDP|PPP,billion US$2005/yr,8,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,24,25,26,27,28
OECD Env-Linkages,SSP4_v5_120504,MMR,GDP|PPP,billion US$2005/yr,26,48,69,91,117,146,182,226,277,337,404,477,557,644,738,835,930,1028,1129,1231,1335
OECD Env-Linkages,SSP4_v5_120504,MNE,GDP|PPP,billion US$2005/yr,4,5,6,7,9,11,12,14,16,17,18,19,20,21,21,21,22,22,22,22,22
OECD Env-Linkages,SSP4_v5_120504,MNG,GDP|PPP,billion US$2005/yr,5,7,10,19,30,42,56,73,91,107,123,137,150,164,178,189,199,209,221,233,245
OECD Env-Linkages,SSP4_v5_120504,MOZ,GDP|PPP,billion US$2005/yr,9,14,20,29,41,57,77,105,142,193,260,348,462,606,784,1001,1260,1565,1915,2311,2749
OECD Env-Linkages,SSP4_v5_120504,MRT,GDP|PPP,billion US$2005/yr,4,5,6,8,10,14,18,24,32,41,51,64,78,96,116,139,165,196,230,269,312
OECD Env-Linkages,SSP4_v5_120504,MUS,GDP|PPP,billion US$2005/yr,11,13,16,19,24,28,33,38,42,46,50,54,56,59,61,63,65,67,69,71,72
OECD Env-Linkages,SSP4_v5_120504,MWI,GDP|PPP,billion US$2005/yr,7,8,12,14,18,23,31,43,62,89,129,185,266,377,531,736,1007,1358,1807,2372,3069
OECD Env-Linkages,SSP4_v5_120504,MYS,GDP|PPP,billion US$2005/yr,239,301,375,480,596,728,878,1041,1212,1392,1579,1772,1966,2152,2327,2495,2661,2819,2966,3097,3216
OECD Env-Linkages,SSP4_v5_120504,NAM,GDP|PPP,billion US$2005/yr,9,11,13,18,22,28,34,41,50,58,68,78,89,100,111,123,136,149,163,178,193
OECD Env-Linkages,SSP4_v5_120504,NER,GDP|PPP,billion US$2005/yr,7,8,10,15,20,28,41,60,89,131,191,276,393,552,761,1032,1377,1807,2336,2974,3730
OECD Env-Linkages,SSP4_v5_120504,NGA,GDP|PPP,billion US$2005/yr,182,245,338,461,613,803,1050,1361,1735,2188,2742,3424,4272,5323,6615,8192,10082,12340,15013,18135,21754
OECD Env-Linkages,SSP4_v5_120504,NIC,GDP|PPP,billion US$2005/yr,11,13,14,17,21,26,33,42,52,65,80,96,114,135,156,178,202,225,249,271,293
OECD Env-Linkages,SSP4_v5_120504,NLD,GDP|PPP,billion US$2005/yr,537,573,615,657,703,742,776,807,837,870,902,934,965,995,1023,1053,1086,1121,1156,1188,1217
OECD Env-Linkages,SSP4_v5_120504,NOR,GDP|PPP,billion US$2005/yr,196,219,228,253,279,297,318,338,350,356,363,375,388,404,422,441,462,483,505,527,548
OECD Env-Linkages,SSP4_v5_120504,NPL,GDP|PPP,billion US$2005/yr,22,26,32,39,47,60,78,103,137,182,239,311,398,504,629,775,941,1129,1341,1578,1842
OECD Env-Linkages,SSP4_v5_120504,NZL,GDP|PPP,billion US$2005/yr,86,103,111,125,139,153,167,182,199,216,233,250,267,284,302,318,333,348,363,377,391
OECD Env-Linkages,SSP4_v5_120504,OMN,GDP|PPP,billion US$2005/yr,43,51,68,83,98,113,130,148,164,179,194,213,233,252,266,278,288,297,305,310,313
OECD Env-Linkages,SSP4_v5_120504,PAK,GDP|PPP,billion US$2005/yr,267,340,420,515,654,851,1123,1479,1924,2451,3055,3733,4497,5355,6302,7320,8383,9508,10711,12014,13406
OECD Env-Linkages,SSP4_v5_120504,PAN,GDP|PPP,billion US$2005/yr,24,30,44,60,78,97,117,138,159,180,202,224,245,265,282,298,312,325,335,342,347
OECD Env-Linkages,SSP4_v5_120504,PER,GDP|PPP,billion US$2005/yr,143,176,249,332,438,562,700,850,1010,1177,1351,1529,1707,1878,2040,2189,2329,2459,2575,2674,2758
OECD Env-Linkages,SSP4_v5_120504,PHL,GDP|PPP,billion US$2005/yr,209,261,332,422,533,675,854,1072,1331,1631,1973,2358,2787,3264,3787,4356,4969,5630,6344,7117,7953
OECD Env-Linkages,SSP4_v5_120504,PNG,GDP|PPP,billion US$2005/yr,10,11,15,22,32,46,65,90,121,159,202,252,309,374,446,529,621,726,846,982,1139
OECD Env-Linkages,SSP4_v5_120504,POL,GDP|PPP,billion US$2005/yr,452,526,660,776,890,992,1091,1184,1257,1304,1334,1355,1376,1400,1419,1426,1429,1431,1436,1444,1455
OECD Env-Linkages,SSP4_v5_120504,PRT,GDP|PPP,billion US$2005/yr,216,225,231,231,247,262,278,293,304,314,323,333,343,352,358,364,370,378,387,395,402
OECD Env-Linkages,SSP4_v5_120504,PRY,GDP|PPP,billion US$2005/yr,20,23,30,38,47,60,77,98,122,149,180,214,253,297,346,400,459,524,595,673,757
OECD Env-Linkages,SSP4_v5_120504,PSE,GDP|PPP,billion US$2005/yr,10,9,11,14,19,26,36,50,66,87,112,140,172,208,251,298,351,410,474,545,621
OECD Env-Linkages,SSP4_v5_120504,QAT,GDP|PPP,billion US$2005/yr,38,57,136,194,233,258,264,260,252,240,229,222,218,215,213,213,213,212,210,206,200
OECD Env-Linkages,SSP4_v5_120504,ROU,GDP|PPP,billion US$2005/yr,154,203,234,277,334,395,460,521,574,619,657,686,715,739,755,765,773,780,787,791,794
OECD Env-Linkages,SSP4_v5_120504,RUS,GDP|PPP,billion US$2005/yr,1260,1697,2010,2453,2974,3552,4211,4862,5389,5715,5844,5891,5984,6092,6149,6139,6123,6136,6186,6251,6298
OECD Env-Linkages,SSP4_v5_120504,RWA,GDP|PPP,billion US$2005/yr,5,8,11,15,21,29,40,55,76,102,136,179,234,301,384,482,596,728,878,1045,1228
OECD Env-Linkages,SSP4_v5_120504,SAU,GDP|PPP,billion US$2005/yr,407,491,559,702,833,964,1145,1354,1596,1835,2047,2234,2425,2647,2907,3203,3526,3885,4291,4747,5241
OECD Env-Linkages,SSP4_v5_120504,SDN,GDP|PPP,billion US$2005/yr,48,62,88,99,120,145,179,227,290,373,479,613,782,995,1257,1577,1957,2404,2926,3530,4217
OECD Env-Linkages,SSP4_v5_120504,SEN,GDP|PPP,billion US$2005/yr,14,18,22,27,35,45,59,77,100,131,171,221,285,365,465,586,732,905,1107,1339,1600
OECD Env-Linkages,SSP4_v5_120504,SGP,GDP|PPP,billion US$2005/yr,153,194,264,328,384,426,455,469,475,475,474,470,460,445,432,422,414,406,398,387,378
OECD Env-Linkages,SSP4_v5_120504,SLB,GDP|PPP,billion US$2005/yr,1,1,1,2,2,3,4,5,6,8,10,13,16,20,25,30,36,44,52,63,75
OECD Env-Linkages,SSP4_v5_120504,SLE,GDP|PPP,billion US$2005/yr,2,3,4,8,11,15,21,29,40,54,71,91,116,145,180,219,262,310,361,415,473
OECD Env-Linkages,SSP4_v5_120504,SLV,GDP|PPP,billion US$2005/yr,31,34,37,44,52,61,72,86,102,120,139,161,183,207,232,257,282,307,331,354,375
OECD Env-Linkages,SSP4_v5_120504,SRB,GDP|PPP,billion US$2005/yr,49,63,74,90,108,127,147,166,182,196,208,218,226,234,238,241,245,247,249,251,251
OECD Env-Linkages,SSP4_v5_120504,STP,GDP|PPP,billion US$2005/yr,0,0,0,0,1,1,2,2,3,4,5,6,8,9,10,12,13,14,16,17,19
OECD Env-Linkages,SSP4_v5_120504,SUR,GDP|PPP,billion US$2005/yr,2,3,4,5,7,10,13,17,20,23,26,28,30,32,33,34,34,35,35,36,36
OECD Env-Linkages,SSP4_v5_120504,SVK,GDP|PPP,billion US$2005/yr,69,87,109,129,148,165,181,196,207,216,222,227,231,236,241,244,246,248,250,253,255
OECD Env-Linkages,SSP4_v5_120504,SVN,GDP|PPP,billion US$2005/yr,39,47,51,55,59,63,68,72,76,78,81,83,86,89,92,94,96,98,100,102,104
OECD Env-Linkages,SSP4_v5_120504,SWE,GDP|PPP,billion US$2005/yr,259,295,317,361,402,439,474,504,534,563,590,614,636,666,694,721,748,775,803,832,862
OECD Env-Linkages,SSP4_v5_120504,SWZ,GDP|PPP,billion US$2005/yr,4,5,5,6,6,8,9,11,14,17,21,26,32,38,45,53,62,72,83,94,106
OECD Env-Linkages,SSP4_v5_120504,SYR,GDP|PPP,billion US$2005/yr,61,76,97,109,134,166,208,262,330,412,509,621,747,891,1052,1230,1421,1627,1847,2086,2343
OECD Env-Linkages,SSP4_v5_120504,TCD,GDP|PPP,billion US$2005/yr,6,13,14,17,20,27,36,50,69,94,126,167,217,277,349,432,527,633,750,877,1012
OECD Env-Linkages,SSP4_v5_120504,TGO,GDP|PPP,billion US$2005/yr,4,5,5,7,9,11,15,20,26,35,46,59,76,96,121,149,182,220,261,307,357
OECD Env-Linkages,SSP4_v5_120504,THA,GDP|PPP,billion US$2005/yr,347,445,530,664,836,1038,1268,1510,1754,1993,2228,2459,2681,2893,3094,3288,3482,3670,3848,4013,4168
OECD Env-Linkages,SSP4_v5_120504,TJK,GDP|PPP,billion US$2005/yr,6,10,13,17,22,30,41,56,76,100,128,160,197,241,290,343,399,459,523,593,668
OECD Env-Linkages,SSP4_v5_120504,TKM,GDP|PPP,billion US$2005/yr,10,23,36,51,70,93,117,142,166,189,208,224,238,251,261,270,276,280,284,287,289
OECD Env-Linkages,SSP4_v5_120504,TON,GDP|PPP,billion US$2005/yr,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,4,4,5,6,7,8
OECD Env-Linkages,SSP4_v5_120504,TTO,GDP|PPP,billion US$2005/yr,18,26,31,35,39,42,46,49,52,54,55,56,58,60,61,61,62,62,63,64,64
OECD Env-Linkages,SSP4_v5_120504,TUN,GDP|PPP,billion US$2005/yr,52,65,81,100,129,162,199,239,278,313,344,370,393,415,433,446,456,464,471,478,485
OECD Env-Linkages,SSP4_v5_120504,TUR,GDP|PPP,billion US$2005/yr,625,781,912,1140,1342,1542,1757,1976,2198,2410,2610,2800,2974,3131,3263,3366,3459,3538,3607,3661,3703
OECD Env-Linkages,SSP4_v5_120504,TZA,GDP|PPP,billion US$2005/yr,29,40,56,78,112,159,226,317,441,607,830,1129,1530,2060,2753,3648,4782,6203,7957,10096,12663
OECD Env-Linkages,SSP4_v5_120504,UGA,GDP|PPP,billion US$2005/yr,19,26,38,52,73,99,134,182,246,332,444,588,770,998,1277,1613,2007,2464,2988,3578,4227
OECD Env-Linkages,SSP4_v5_120504,UKR,GDP|PPP,billion US$2005/yr,182,263,276,343,419,509,611,718,818,905,978,1045,1113,1182,1240,1282,1319,1358,1401,1446,1487
OECD Env-Linkages,SSP4_v5_120504,URY,GDP|PPP,billion US$2005/yr,32,32,43,54,65,77,89,101,111,121,130,138,145,151,156,160,164,168,171,173,175
OECD Env-Linkages,SSP4_v5_120504,USA,GDP|PPP,billion US$2005/yr,11225,12622,13087,14833,16933,18812,20528,22012,23279,24432,25508,26605,27732,28923,30036,31071,32219,33400,34575,35690,36700
OECD Env-Linkages,SSP4_v5_120504,UZB,GDP|PPP,billion US$2005/yr,40,52,79,108,144,187,242,309,390,481,579,680,787,900,1016,1125,1223,1314,1403,1490,1572
OECD Env-Linkages,SSP4_v5_120504,VCT,GDP|PPP,billion US$2005/yr,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,5
OECD Env-Linkages,SSP4_v5_120504,VEN,GDP|PPP,billion US$2005/yr,233,264,312,353,396,441,477,525,582,647,720,802,893,992,1095,1201,1309,1417,1522,1619,1709
OECD Env-Linkages,SSP4_v5_120504,VNM,GDP|PPP,billion US$2005/yr,124,178,250,346,472,614,783,979,1197,1429,1662,1891,2118,2359,2590,2792,2962,3119,3272,3420,3553
OECD Env-Linkages,SSP4_v5_120504,VUT,GDP|PPP,billion US$2005/yr,1,1,1,1,1,2,2,3,3,4,5,7,8,10,12,15,18,22,26,32,38
OECD Env-Linkages,SSP4_v5_120504,WSM,GDP|PPP,billion US$2005/yr,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,5,6,7,9,10,11
OECD Env-Linkages,SSP4_v5_120504,YEM,GDP|PPP,billion US$2005/yr,37,46,57,62,76,96,124,163,215,283,369,477,614,787,1002,1261,1565,1920,2328,2795,3315
OECD Env-Linkages,SSP4_v5_120504,ZAF,GDP|PPP,billion US$2005/yr,336,406,474,567,681,824,986,1156,1319,1471,1611,1740,1862,1974,2071,2157,2235,2306,2368,2422,2471
OECD Env-Linkages,SSP4_v5_120504,ZMB,GDP|PPP,billion US$2005/yr,10,13,18,26,37,53,75,105,145,197,266,358,482,645,860,1142,1507,1979,2583,3345,4296
OECD Env-Linkages,SSP4_v5_120504,ZWE,GDP|PPP,billion US$2005/yr,8,6,5,6,7,9,12,17,25,36,53,75,105,144,193,253,323,404,497,603,719
OECD Env-Linkages,SSP5_v5_120504,AFG,GDP|PPP,billion US$2005/yr,0,22,37,54,91,163,288,487,779,1186,1725,2412,3245,4201,5239,6343,7476,8612,9724,10790,11793
OECD Env-Linkages,SSP5_v5_120504,AGO,GDP|PPP,billion US$2005/yr,37,60,104,145,210,282,372,478,613,796,1045,1375,1797,2325,2969,3738,4635,5671,6830,8086,9434
OECD Env-Linkages,SSP5_v5_120504,ALB,GDP|PPP,billion US$2005/yr,15,19,25,29,36,44,52,61,70,78,84,89,92,93,93,93,92,90,88,85,82
OECD Env-Linkages,SSP5_v5_120504,ARE,GDP|PPP,billion US$2005/yr,145,200,249,302,353,407,484,575,675,774,868,964,1069,1182,1308,1445,1588,1735,1881,2018,2135
OECD Env-Linkages,SSP5_v5_120504,ARG,GDP|PPP,billion US$2005/yr,380,419,580,739,903,1114,1368,1658,1973,2305,2658,3031,3429,3851,4294,4745,5210,5704,6233,6770,7307
OECD Env-Linkages,SSP5_v5_120504,ARM,GDP|PPP,billion US$2005/yr,7,13,15,18,21,25,31,37,43,50,56,62,67,74,80,85,91,97,104,111,119
OECD Env-Linkages,SSP5_v5_120504,AUS,GDP|PPP,billion US$2005/yr,590,696,796,928,1078,1245,1439,1670,1939,2257,2615,3021,3491,4037,4669,5384,6176,7050,8022,9103,10310
OECD Env-Linkages,SSP5_v5_120504,AUT,GDP|PPP,billion US$2005/yr,254,277,297,326,356,388,424,467,516,574,639,712,794,890,1001,1129,1270,1425,1593,1779,1984
OECD Env-Linkages,SSP5_v5_120504,AZE,GDP|PPP,billion US$2005/yr,20,38,81,93,102,105,113,122,134,151,172,198,232,276,326,375,428,485,551,621,691
OECD Env-Linkages,SSP5_v5_120504,BDI,GDP|PPP,billion US$2005/yr,2,3,3,4,5,8,12,20,32,49,75,112,161,225,304,397,503,622,754,895,1043
OECD Env-Linkages,SSP5_v5_120504,BEL,GDP|PPP,billion US$2005/yr,312,337,358,386,417,456,505,565,637,720,815,922,1047,1193,1362,1557,1775,2019,2291,2599,2942
OECD Env-Linkages,SSP5_v5_120504,BEN,GDP|PPP,billion US$2005/yr,9,10,13,16,21,30,45,69,105,158,235,343,489,677,912,1199,1537,1930,2376,2869,3405
OECD Env-Linkages,SSP5_v5_120504,BFA,GDP|PPP,billion US$2005/yr,11,14,19,25,36,58,93,149,234,359,537,781,1105,1514,2010,2592,3261,4022,4877,5816,6832
OECD Env-Linkages,SSP5_v5_120504,BGD,GDP|PPP,billion US$2005/yr,126,164,221,303,437,637,924,1318,1835,2481,3252,4148,5161,6260,7425,8642,9879,11142,12400,13659,14889
OECD Env-Linkages,SSP5_v5_120504,BGR,GDP|PPP,billion US$2005/yr,58,76,87,102,122,142,162,180,196,208,216,222,229,237,241,242,243,246,251,259,267
OECD Env-Linkages,SSP5_v5_120504,BHR,GDP|PPP,billion US$2005/yr,15,20,27,32,39,46,55,64,73,82,93,104,117,130,143,155,168,181,193,204,212
OECD Env-Linkages,SSP5_v5_120504,BHS,GDP|PPP,billion US$2005/yr,8,8,8,9,10,11,12,14,16,18,21,24,27,30,33,37,41,46,50,55,61
OECD Env-Linkages,SSP5_v5_120504,BIH,GDP|PPP,billion US$2005/yr,19,24,28,33,40,49,60,71,83,94,104,112,121,128,135,141,147,153,158,164,169
OECD Env-Linkages,SSP5_v5_120504,BLR,GDP|PPP,billion US$2005/yr,59,83,122,147,181,217,258,301,343,380,411,440,474,511,545,574,601,632,667,704,742
OECD Env-Linkages,SSP5_v5_120504,BLZ,GDP|PPP,billion US$2005/yr,1,2,2,2,3,3,4,5,7,9,12,15,19,24,29,35,42,48,55,62,70
OECD Env-Linkages,SSP5_v5_120504,BOL,GDP|PPP,billion US$2005/yr,30,35,43,54,69,93,128,175,239,323,430,564,725,912,1124,1356,1608,1878,2164,2456,2753
OECD Env-Linkages,SSP5_v5_120504,BRA,GDP|PPP,billion US$2005/yr,1380,1583,1960,2382,2940,3611,4403,5327,6375,7533,8790,10160,11632,13163,14754,16444,18209,20039,21902,23765,25654
OECD Env-Linkages,SSP5_v5_120504,BRB,GDP|PPP,billion US$2005/yr,5,5,5,5,6,8,9,11,12,14,16,17,18,19,21,22,23,24,26,27,28
OECD Env-Linkages,SSP5_v5_120504,BRN,GDP|PPP,billion US$2005/yr,16,18,18,21,23,26,29,32,35,38,41,45,48,51,55,57,61,64,68,71,73
OECD Env-Linkages,SSP5_v5_120504,BTN,GDP|PPP,billion US$2005/yr,2,2,3,5,8,11,16,22,30,38,49,60,72,85,99,113,126,139,152,165,178
OECD Env-Linkages,SSP5_v5_120504,BWA,GDP|PPP,billion US$2005/yr,17,22,25,33,44,57,72,88,106,124,143,163,185,208,233,259,285,313,342,372,402
OECD Env-Linkages,SSP5_v5_120504,CAF,GDP|PPP,billion US$2005/yr,3,3,3,4,6,8,13,21,33,52,80,119,171,239,324,427,543,673,814,963,1118
