Sector 31: Annual Survey of Manufactures: Geographic Area Statistics: Statistics for All Manufacturing by State: 2009 and 2008,,,,
"NOTE: For information on confidentiality protection, sampling error, nonsampling error, and definitions, see Survey Methodology.  For information on the ASM industry groupings, see Comparability. Data in this table represent those available when this report was created. Data may not be available for all NAICS industries or geographies. Detail items may not add to total due to independent rounding.
",,,,
Geographic Area Name,NAICS-based code,Meaning of NAICS-based code,Year,"Total value of shipments ($1,000)"
Florida,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"798,872"
Florida,3328,"Coating, engraving, heat treating, & allied activities",2008,"225,620"
Florida,3329,Other fabricated metal product mfg,2008,"879,098"
Florida,333,Machinery mfg,2008,"5,430,097"
Florida,3331,"Agriculture, construction, & mining machinery mfg",2008,"543,565"
Florida,3332,Industrial machinery mfg,2008,"475,264"
Florida,3333,Commercial & service industry machinery mfg,2008,"1,584,776"
Florida,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"616,440"
Florida,3335,Metalworking machinery mfg,2008,"214,719"
Florida,3339,Other general purpose machinery mfg,2008,"1,526,626"
Florida,334,Computer & electronic product mfg,2008,"15,337,817"
Florida,3341,Computer & peripheral equipment mfg,2008,"867,275"
Florida,3342,Communications equipment mfg,2008,"4,744,325"
Florida,3344,Semiconductor & other electronic component mfg,2008,"3,476,953"
Florida,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"6,045,102"
Florida,335,"Electrical equipment, appliance, & component mfg",2008,"2,303,872"
Florida,3351,Electric lighting equipment mfg,2008,"227,672"
Florida,3353,Electrical equipment mfg,2008,"625,859"
Florida,3359,Other electrical equipment & component mfg,2008,"1,429,433"
Florida,336,Transportation equipment mfg,2008,"8,483,926"
Florida,3362,Motor vehicle body & trailer mfg,2008,"828,455"
Florida,3363,Motor vehicle parts mfg,2008,"823,466"
Florida,3364,Aerospace product & parts mfg,2008,"3,757,013"
Florida,3366,Ship & boat building,2008,"1,892,852"
Florida,337,Furniture & related product mfg,2008,"1,701,753"
Florida,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"887,850"
Florida,3372,Office furniture (including fixtures) mfg,2008,"385,943"
Florida,3379,Other furniture related product mfg,2008,"427,960"
Florida,339,Miscellaneous mfg,2008,"7,582,482"
Florida,3391,Medical equipment & supplies mfg,2008,"5,742,638"
Florida,3399,Other miscellaneous mfg,2008,"1,839,845"
Georgia,31-33,Manufacturing,2008,"143,601,340"
Georgia,311,Food mfg,2008,"26,708,993"
Georgia,3111,Animal food mfg,2008,"2,738,576"
Georgia,3112,Grain & oilseed milling,2008,"3,959,874"
Georgia,3113,Sugar & confectionery product mfg,2008,"1,421,187"
Georgia,3115,Dairy product mfg,2008,"559,187"
Georgia,3116,Animal  slaughtering & processing,2008,"9,623,910"
Georgia,3118,Bakeries & tortilla mfg,2008,"3,120,220"
Georgia,3119,Other food mfg,2008,"4,771,429"
Georgia,312,Beverage & tobacco product mfg,2008,"3,288,669"
Georgia,3121,Beverage mfg,2008,D
Georgia,313,Textile mills,2008,"5,434,930"
Georgia,3131,"Fiber, yarn, & thread mills",2008,"2,688,620"
Georgia,3132,Fabric mills,2008,"2,112,741"
Georgia,3133,Textile & fabric finishing & fabric coating mills,2008,"633,569"
Georgia,314,Textile product mills,2008,"10,009,076"
Georgia,3141,Textile furnishings mills,2008,"9,017,099"
Georgia,3149,Other textile product mills,2008,"991,978"
Georgia,315,Apparel mfg,2008,"179,907"
Georgia,3152,Cut & sew apparel mfg,2008,"161,024"
Georgia,321,Wood product mfg,2008,"4,070,583"
Georgia,3211,Sawmills & wood preservation,2008,"1,770,731"
Georgia,3212,"Veneer, plywood, & engineered wood product mfg",2008,"805,619"
Georgia,3219,Other wood product mfg,2008,"1,494,233"
Georgia,322,Paper mfg,2008,"10,963,035"
Georgia,3221,"Pulp, paper, & paperboard mills",2008,"5,580,592"
Georgia,3222,Converted paper product mfg,2008,"5,382,444"
Georgia,323,Printing & related support activities,2008,"3,009,125"
Georgia,3231,Printing & related support activities,2008,"3,009,125"
Georgia,324,Petroleum & coal products mfg,2008,"1,283,678"
Georgia,3241,Petroleum & coal products mfg,2008,"1,283,678"
Georgia,325,Chemical mfg,2008,"13,790,791"
Georgia,3251,Basic chemical mfg,2008,"3,481,594"
Georgia,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"2,036,611"
Georgia,3253,"Pesticide, fertilizer, & other agricultural chemical mfg",2008,"1,064,569"
Georgia,3254,Pharmaceutical & medicine mfg,2008,"906,948"
Georgia,3255,"Paint, coating, & adhesive mfg",2008,"1,597,550"
Georgia,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"2,442,473"
Georgia,3259,Other chemical product & preparation mfg,2008,"2,261,046"
Georgia,326,Plastics & rubber products mfg,2008,"7,897,437"
Georgia,3261,Plastics product mfg,2008,"5,939,577"
Georgia,3262,Rubber product mfg,2008,"1,957,860"
Georgia,327,Nonmetallic mineral product mfg,2008,"4,573,489"
Georgia,3271,Clay product & refractory mfg,2008,"435,278"
Georgia,3272,Glass & glass product mfg,2008,"743,574"
Georgia,3273,Cement & concrete product mfg,2008,"1,758,321"
Georgia,3279,Other nonmetallic mineral product mfg,2008,"1,368,756"
Georgia,331,Primary metal mfg,2008,"4,884,400"
Georgia,3313,Alumina & aluminum production & processing,2008,"927,042"
Georgia,332,Fabricated metal product mfg,2008,"7,987,432"
Georgia,3321,Forging & stamping,2008,"605,706"
Georgia,3323,Architectural & structural metals mfg,2008,"3,549,602"
Georgia,3324,"Boiler, tank, & shipping container mfg",2008,"1,069,377"
Georgia,3325,Hardware mfg,2008,"330,904"
Georgia,3326,Spring & wire product mfg,2008,"204,726"
Georgia,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"657,315"
Georgia,3328,"Coating, engraving, heat treating, & allied activities",2008,"306,435"
Georgia,3329,Other fabricated metal product mfg,2008,"1,170,809"
Georgia,333,Machinery mfg,2008,"8,482,964"
Georgia,3331,"Agriculture, construction, & mining machinery mfg",2008,"3,674,072"
Georgia,3332,Industrial machinery mfg,2008,"517,751"
Georgia,3333,Commercial & service industry machinery mfg,2008,"245,209"
Georgia,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"1,722,830"
Georgia,3336,"Engine, turbine, & power transmission equipment mfg",2008,"539,155"
Georgia,3339,Other general purpose machinery mfg,2008,"1,627,300"
Georgia,334,Computer & electronic product mfg,2008,"2,762,234"
Georgia,3341,Computer & peripheral equipment mfg,2008,"416,315"
Georgia,3342,Communications equipment mfg,2008,"744,375"
Georgia,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"696,881"
Georgia,335,"Electrical equipment, appliance, & component mfg",2008,"5,991,764"
Georgia,3351,Electric lighting equipment mfg,2008,D
Georgia,3352,Household appliance mfg,2008,D
Georgia,3353,Electrical equipment mfg,2008,"2,318,172"
Georgia,3359,Other electrical equipment & component mfg,2008,"2,648,959"
Georgia,336,Transportation equipment mfg,2008,"17,444,004"
Georgia,3361,Motor vehicle mfg,2008,"2,883,809"
Georgia,3362,Motor vehicle body & trailer mfg,2008,"738,269"
Georgia,3363,Motor vehicle parts mfg,2008,"3,238,024"
Georgia,3364,Aerospace product & parts mfg,2008,"7,084,275"
Georgia,3366,Ship & boat building,2008,"499,007"
Georgia,3369,Other transportation equipment mfg,2008,"2,439,458"
Georgia,337,Furniture & related product mfg,2008,"2,170,431"
Georgia,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"821,583"
Georgia,3372,Office furniture (including fixtures) mfg,2008,"944,393"
Georgia,3379,Other furniture related product mfg,2008,"404,455"
Georgia,339,Miscellaneous mfg,2008,"2,646,612"
Georgia,3391,Medical equipment & supplies mfg,2008,"1,127,423"
Georgia,3399,Other miscellaneous mfg,2008,"1,519,189"
Hawaii,31-33,Manufacturing,2008,"8,528,172"
Hawaii,311,Food mfg,2008,"938,016"
Hawaii,3118,Bakeries & tortilla mfg,2008,"196,484"
Hawaii,323,Printing & related support activities,2008,"156,771"
Hawaii,3231,Printing & related support activities,2008,"156,771"
Hawaii,327,Nonmetallic mineral product mfg,2008,"294,131"
Idaho,31-33,Manufacturing,2008,"19,051,955"
Idaho,311,Food mfg,2008,"6,636,286"
Idaho,3113,Sugar & confectionery product mfg,2008,D
Idaho,3114,Fruit & vegetable preserving & specialty food mfg,2008,"2,075,112"
Idaho,3115,Dairy product mfg,2008,"2,460,461"
Idaho,3116,Animal  slaughtering & processing,2008,"617,054"
Idaho,321,Wood product mfg,2008,"1,353,287"
Idaho,3211,Sawmills & wood preservation,2008,"705,806"
Idaho,3219,Other wood product mfg,2008,"584,359"
Idaho,322,Paper mfg,2008,"818,270"
Idaho,3221,"Pulp, paper, & paperboard mills",2008,D
Idaho,323,Printing & related support activities,2008,"197,517"
Idaho,3231,Printing & related support activities,2008,"197,517"
Idaho,325,Chemical mfg,2008,"1,632,984"
Idaho,326,Plastics & rubber products mfg,2008,"349,265"
Idaho,3261,Plastics product mfg,2008,"343,101"
Idaho,327,Nonmetallic mineral product mfg,2008,"356,078"
Idaho,3273,Cement & concrete product mfg,2008,"324,738"
Idaho,332,Fabricated metal product mfg,2008,"872,016"
Idaho,3323,Architectural & structural metals mfg,2008,"239,125"
Idaho,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"132,683"
Idaho,3329,Other fabricated metal product mfg,2008,"356,224"
Idaho,333,Machinery mfg,2008,"592,236"
Idaho,3331,"Agriculture, construction, & mining machinery mfg",2008,"180,744"
Idaho,334,Computer & electronic product mfg,2008,"4,593,818"
Idaho,3341,Computer & peripheral equipment mfg,2008,D
Idaho,3344,Semiconductor & other electronic component mfg,2008,D
Idaho,335,"Electrical equipment, appliance, & component mfg",2008,"234,942"
Idaho,336,Transportation equipment mfg,2008,"454,634"
Idaho,337,Furniture & related product mfg,2008,"297,584"
Idaho,339,Miscellaneous mfg,2008,D
Illinois,31-33,Manufacturing,2008,"269,513,771"
Illinois,311,Food mfg,2008,"38,601,917"
Illinois,3111,Animal food mfg,2008,"842,061"
Illinois,3112,Grain & oilseed milling,2008,"13,532,533"
Illinois,3113,Sugar & confectionery product mfg,2008,"3,408,709"
Illinois,3114,Fruit & vegetable preserving & specialty food mfg,2008,"2,313,787"
Illinois,3115,Dairy product mfg,2008,"2,891,814"
Illinois,3116,Animal  slaughtering & processing,2008,"8,002,842"
Illinois,3118,Bakeries & tortilla mfg,2008,"3,169,783"
Illinois,3119,Other food mfg,2008,"4,275,646"
Illinois,312,Beverage & tobacco product mfg,2008,"2,725,411"
Illinois,3121,Beverage mfg,2008,D
Illinois,314,Textile product mills,2008,"502,912"
Illinois,3141,Textile furnishings mills,2008,"214,273"
Illinois,3149,Other textile product mills,2008,"288,639"
Illinois,315,Apparel mfg,2008,"417,691"
Illinois,3152,Cut & sew apparel mfg,2008,"366,159"
Illinois,316,Leather & allied product mfg,2008,"229,640"
Illinois,321,Wood product mfg,2008,"1,694,733"
Illinois,3212,"Veneer, plywood, & engineered wood product mfg",2008,"287,177"
Illinois,3219,Other wood product mfg,2008,"1,216,003"
Illinois,322,Paper mfg,2008,"5,829,090"
Illinois,3222,Converted paper product mfg,2008,"5,211,234"
Illinois,323,Printing & related support activities,2008,"7,729,244"
Illinois,3231,Printing & related support activities,2008,"7,729,244"
Illinois,324,Petroleum & coal products mfg,2008,"42,533,332"
Illinois,3241,Petroleum & coal products mfg,2008,"42,533,332"
Illinois,325,Chemical mfg,2008,"35,900,108"
Illinois,3251,Basic chemical mfg,2008,"8,822,289"
Illinois,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"4,548,944"
Illinois,3254,Pharmaceutical & medicine mfg,2008,"11,168,609"
Illinois,3255,"Paint, coating, & adhesive mfg",2008,"3,352,082"
Illinois,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"4,609,912"
Illinois,3259,Other chemical product & preparation mfg,2008,"2,136,603"
Illinois,326,Plastics & rubber products mfg,2008,"13,021,498"
Illinois,3261,Plastics product mfg,2008,"10,887,824"
Illinois,3262,Rubber product mfg,2008,"2,133,674"
Illinois,327,Nonmetallic mineral product mfg,2008,"4,174,232"
Illinois,3272,Glass & glass product mfg,2008,"761,233"
Illinois,3273,Cement & concrete product mfg,2008,"2,236,944"
Illinois,3279,Other nonmetallic mineral product mfg,2008,"840,307"
Illinois,331,Primary metal mfg,2008,"14,401,894"
Illinois,3311,Iron & steel mills & ferroalloy mfg,2008,"6,350,091"
Illinois,3312,Steel product mfg from purchased steel,2008,"2,615,662"
Illinois,3313,Alumina & aluminum production & processing,2008,"1,054,582"
Illinois,3314,Nonferrous metal (except aluminum) production & processing,2008,"2,456,974"
Illinois,3315,Foundries,2008,"1,924,586"
Illinois,332,Fabricated metal product mfg,2008,"23,009,993"
Illinois,3321,Forging & stamping,2008,"3,071,050"
Illinois,3322,Cutlery & handtool mfg,2008,"608,605"
Illinois,3323,Architectural & structural metals mfg,2008,"3,614,200"
Illinois,3324,"Boiler, tank, & shipping container mfg",2008,"2,159,065"
Illinois,3325,Hardware mfg,2008,"695,855"
Illinois,3326,Spring & wire product mfg,2008,"784,721"
Illinois,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"5,251,923"
Illinois,3328,"Coating, engraving, heat treating, & allied activities",2008,"1,761,867"
Illinois,3329,Other fabricated metal product mfg,2008,"5,062,706"
Illinois,333,Machinery mfg,2008,"32,776,864"
Illinois,3331,"Agriculture, construction, & mining machinery mfg",2008,"14,734,273"
Illinois,3332,Industrial machinery mfg,2008,"2,089,974"
Illinois,3333,Commercial & service industry machinery mfg,2008,"1,981,144"
Illinois,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"1,513,517"
Illinois,3335,Metalworking machinery mfg,2008,"2,345,759"
Illinois,3336,"Engine, turbine, & power transmission equipment mfg",2008,"4,663,980"
Illinois,3339,Other general purpose machinery mfg,2008,"5,448,216"
Illinois,334,Computer & electronic product mfg,2008,"12,059,384"
Illinois,3341,Computer & peripheral equipment mfg,2008,"1,195,863"
Illinois,3342,Communications equipment mfg,2008,"4,402,270"
Illinois,3344,Semiconductor & other electronic component mfg,2008,"1,752,854"
Illinois,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"4,330,218"
Illinois,335,"Electrical equipment, appliance, & component mfg",2008,"7,323,162"
Illinois,3351,Electric lighting equipment mfg,2008,"1,242,589"
Illinois,3352,Household appliance mfg,2008,"973,359"
Illinois,3353,Electrical equipment mfg,2008,"2,610,734"
Illinois,3359,Other electrical equipment & component mfg,2008,"2,496,480"
Illinois,336,Transportation equipment mfg,2008,"17,810,802"
Illinois,3361,Motor vehicle mfg,2008,"4,993,500"
Illinois,3362,Motor vehicle body & trailer mfg,2008,"616,469"
Illinois,3363,Motor vehicle parts mfg,2008,"6,674,304"
Illinois,3364,Aerospace product & parts mfg,2008,"2,247,559"
Illinois,3365,Railroad rolling stock mfg,2008,"2,920,458"
Illinois,337,Furniture & related product mfg,2008,"2,657,628"
Illinois,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"1,088,852"
Illinois,3372,Office furniture (including fixtures) mfg,2008,"1,292,928"
Illinois,3379,Other furniture related product mfg,2008,"275,848"
Illinois,339,Miscellaneous mfg,2008,"5,931,197"
Illinois,3391,Medical equipment & supplies mfg,2008,"1,402,435"
Illinois,3399,Other miscellaneous mfg,2008,"4,528,762"
Indiana,31-33,Manufacturing,2008,"220,855,726"
Indiana,311,Food mfg,2008,"18,954,577"
Indiana,3111,Animal food mfg,2008,"1,729,740"
Indiana,3112,Grain & oilseed milling,2008,"6,678,484"
Indiana,3113,Sugar & confectionery product mfg,2008,D
Indiana,3114,Fruit & vegetable preserving & specialty food mfg,2008,"1,132,094"
Indiana,3115,Dairy product mfg,2008,"1,647,115"
Indiana,3116,Animal  slaughtering & processing,2008,"2,850,344"
Indiana,3118,Bakeries & tortilla mfg,2008,"1,992,208"
Indiana,3119,Other food mfg,2008,"2,582,632"
Indiana,312,Beverage & tobacco product mfg,2008,"2,084,762"
Indiana,3121,Beverage mfg,2008,D
Indiana,314,Textile product mills,2008,"313,582"
Indiana,3149,Other textile product mills,2008,"204,449"
Indiana,321,Wood product mfg,2008,"2,822,631"
Indiana,3211,Sawmills & wood preservation,2008,"708,764"
Indiana,3212,"Veneer, plywood, & engineered wood product mfg",2008,"573,980"
Indiana,3219,Other wood product mfg,2008,"1,539,886"
Indiana,322,Paper mfg,2008,"3,776,671"
Indiana,3222,Converted paper product mfg,2008,"3,583,541"
Indiana,323,Printing & related support activities,2008,"3,038,083"
Indiana,3231,Printing & related support activities,2008,"3,038,083"
Indiana,324,Petroleum & coal products mfg,2008,"14,529,435"
Indiana,3241,Petroleum & coal products mfg,2008,"14,529,435"
Indiana,325,Chemical mfg,2008,"26,446,422"
Indiana,3251,Basic chemical mfg,2008,"2,365,844"
Indiana,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"2,464,450"
Indiana,3254,Pharmaceutical & medicine mfg,2008,"18,575,392"
Indiana,3255,"Paint, coating, & adhesive mfg",2008,"588,062"
Indiana,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"1,187,084"
Indiana,3259,Other chemical product & preparation mfg,2008,"1,143,402"
Indiana,326,Plastics & rubber products mfg,2008,"9,342,552"
Indiana,3261,Plastics product mfg,2008,"7,684,519"
Indiana,3262,Rubber product mfg,2008,"1,658,033"
Indiana,327,Nonmetallic mineral product mfg,2008,"3,496,423"
Indiana,3272,Glass & glass product mfg,2008,"1,004,530"
Indiana,3273,Cement & concrete product mfg,2008,"1,230,236"
Indiana,3279,Other nonmetallic mineral product mfg,2008,"782,641"
Indiana,331,Primary metal mfg,2008,"36,320,172"
Indiana,3311,Iron & steel mills & ferroalloy mfg,2008,"25,135,768"
Indiana,3312,Steel product mfg from purchased steel,2008,"1,887,054"
Indiana,3313,Alumina & aluminum production & processing,2008,"4,132,226"
Indiana,3314,Nonferrous metal (except aluminum) production & processing,2008,"2,489,881"
Indiana,3315,Foundries,2008,"2,675,244"
Indiana,332,Fabricated metal product mfg,2008,"14,691,962"
Indiana,3321,Forging & stamping,2008,"1,526,191"
Indiana,3323,Architectural & structural metals mfg,2008,"2,951,074"
Indiana,3324,"Boiler, tank, & shipping container mfg",2008,"987,795"
Indiana,3325,Hardware mfg,2008,"729,977"
Indiana,3326,Spring & wire product mfg,2008,"674,489"
Indiana,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"2,108,814"
Indiana,3328,"Coating, engraving, heat treating, & allied activities",2008,"2,499,219"
Indiana,3329,Other fabricated metal product mfg,2008,"3,059,814"
Indiana,333,Machinery mfg,2008,"13,677,169"
Indiana,3331,"Agriculture, construction, & mining machinery mfg",2008,"1,367,608"
Indiana,3332,Industrial machinery mfg,2008,"688,977"
Indiana,3333,Commercial & service industry machinery mfg,2008,"526,442"
Indiana,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"2,058,193"
Indiana,3335,Metalworking machinery mfg,2008,"921,782"
Indiana,3336,"Engine, turbine, & power transmission equipment mfg",2008,"5,052,503"
Indiana,3339,Other general purpose machinery mfg,2008,"3,061,663"
Indiana,334,Computer & electronic product mfg,2008,"5,768,216"
Indiana,3342,Communications equipment mfg,2008,"1,213,179"
Indiana,3344,Semiconductor & other electronic component mfg,2008,"875,760"
Indiana,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"1,898,326"
Indiana,3346,Mfg & reproducing magnetic & optical media,2008,D
Indiana,335,"Electrical equipment, appliance, & component mfg",2008,"3,351,764"
Indiana,3351,Electric lighting equipment mfg,2008,"287,014"
Indiana,3352,Household appliance mfg,2008,"701,208"
Indiana,3353,Electrical equipment mfg,2008,"837,417"
Indiana,3359,Other electrical equipment & component mfg,2008,"1,526,125"
Indiana,336,Transportation equipment mfg,2008,"50,218,758"
Indiana,3361,Motor vehicle mfg,2008,"17,739,679"
Indiana,3362,Motor vehicle body & trailer mfg,2008,"8,099,923"
Indiana,3363,Motor vehicle parts mfg,2008,"17,789,948"
Indiana,3364,Aerospace product & parts mfg,2008,"2,600,320"
Indiana,3366,Ship & boat building,2008,"1,024,072"
Indiana,3369,Other transportation equipment mfg,2008,D
Indiana,337,Furniture & related product mfg,2008,"4,094,941"
Indiana,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"2,649,981"
Indiana,3372,Office furniture (including fixtures) mfg,2008,"1,219,168"
Indiana,3379,Other furniture related product mfg,2008,"225,793"
Indiana,339,Miscellaneous mfg,2008,"7,476,494"
Indiana,3391,Medical equipment & supplies mfg,2008,"5,959,552"
Indiana,3399,Other miscellaneous mfg,2008,"1,516,943"
Iowa,31-33,Manufacturing,2008,"98,666,330"
Iowa,311,Food mfg,2008,"35,125,059"
Iowa,3111,Animal food mfg,2008,"3,903,875"
Iowa,3112,Grain & oilseed milling,2008,"14,941,176"
Iowa,3114,Fruit & vegetable preserving & specialty food mfg,2008,"930,901"
Iowa,3115,Dairy product mfg,2008,"2,012,905"
Iowa,3116,Animal  slaughtering & processing,2008,"11,018,545"
Iowa,3118,Bakeries & tortilla mfg,2008,"384,472"
Iowa,3119,Other food mfg,2008,"1,871,807"
Iowa,315,Apparel mfg,2008,"114,093"
Iowa,3152,Cut & sew apparel mfg,2008,"78,634"
Iowa,321,Wood product mfg,2008,"1,653,812"
Iowa,3219,Other wood product mfg,2008,"1,432,419"
Iowa,322,Paper mfg,2008,"1,714,137"
Iowa,3222,Converted paper product mfg,2008,D
Iowa,323,Printing & related support activities,2008,"1,440,093"
Iowa,3231,Printing & related support activities,2008,"1,440,093"
Iowa,325,Chemical mfg,2008,"14,165,995"
Iowa,3251,Basic chemical mfg,2008,"7,773,074"
Iowa,3253,"Pesticide, fertilizer, & other agricultural chemical mfg",2008,"1,418,836"
Iowa,3254,Pharmaceutical & medicine mfg,2008,"1,312,768"
Iowa,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,D
Iowa,3259,Other chemical product & preparation mfg,2008,D
Iowa,326,Plastics & rubber products mfg,2008,"3,986,534"
Iowa,3261,Plastics product mfg,2008,"2,352,923"
Iowa,3262,Rubber product mfg,2008,"1,633,611"
Iowa,327,Nonmetallic mineral product mfg,2008,"1,926,093"
Iowa,3273,Cement & concrete product mfg,2008,"894,237"
Iowa,331,Primary metal mfg,2008,"4,330,456"
Iowa,3313,Alumina & aluminum production & processing,2008,D
Iowa,3315,Foundries,2008,"929,683"
Iowa,332,Fabricated metal product mfg,2008,"4,928,933"
Iowa,3321,Forging & stamping,2008,"391,454"
Iowa,3323,Architectural & structural metals mfg,2008,"1,727,102"
Iowa,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"820,362"
Iowa,3329,Other fabricated metal product mfg,2008,"1,020,933"
Iowa,333,Machinery mfg,2008,"16,686,690"
Iowa,3331,"Agriculture, construction, & mining machinery mfg",2008,"11,918,416"
Iowa,3332,Industrial machinery mfg,2008,"421,901"
Iowa,3333,Commercial & service industry machinery mfg,2008,"431,378"
Iowa,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"1,066,610"
Iowa,3335,Metalworking machinery mfg,2008,"281,138"
Iowa,3336,"Engine, turbine, & power transmission equipment mfg",2008,"694,322"
Iowa,3339,Other general purpose machinery mfg,2008,"1,872,925"
Iowa,334,Computer & electronic product mfg,2008,"2,566,237"
Iowa,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"2,311,387"
Iowa,335,"Electrical equipment, appliance, & component mfg",2008,"2,963,088"
Iowa,3352,Household appliance mfg,2008,D
Iowa,3353,Electrical equipment mfg,2008,"520,344"
Iowa,336,Transportation equipment mfg,2008,"3,194,772"
Iowa,3362,Motor vehicle body & trailer mfg,2008,"1,289,963"
Iowa,3363,Motor vehicle parts mfg,2008,"1,311,004"
Iowa,337,Furniture & related product mfg,2008,"1,634,161"
Iowa,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"527,418"
Iowa,3372,Office furniture (including fixtures) mfg,2008,D
Iowa,339,Miscellaneous mfg,2008,"803,515"
Iowa,3391,Medical equipment & supplies mfg,2008,"289,294"
Iowa,3399,Other miscellaneous mfg,2008,"514,221"
Kansas,31-33,Manufacturing,2008,"84,882,652"
Kansas,311,Food mfg,2008,"18,477,363"
Kansas,3111,Animal food mfg,2008,"1,329,041"
Kansas,3112,Grain & oilseed milling,2008,"2,205,973"
Kansas,3113,Sugar & confectionery product mfg,2008,D
Kansas,3114,Fruit & vegetable preserving & specialty food mfg,2008,"474,597"
Kansas,3116,Animal  slaughtering & processing,2008,"11,736,820"
Kansas,3118,Bakeries & tortilla mfg,2008,"941,699"
Kansas,3119,Other food mfg,2008,"1,393,571"
Kansas,321,Wood product mfg,2008,"421,691"
Kansas,3219,Other wood product mfg,2008,"333,539"
Kansas,322,Paper mfg,2008,"713,248"
Kansas,3222,Converted paper product mfg,2008,D
Kansas,323,Printing & related support activities,2008,"1,537,121"
Kansas,3231,Printing & related support activities,2008,"1,537,121"
Kansas,324,Petroleum & coal products mfg,2008,"11,796,584"
Kansas,3241,Petroleum & coal products mfg,2008,"11,796,584"
Kansas,325,Chemical mfg,2008,"6,557,898"
Kansas,3251,Basic chemical mfg,2008,"1,991,015"
Kansas,3254,Pharmaceutical & medicine mfg,2008,"1,341,377"
Kansas,3259,Other chemical product & preparation mfg,2008,"843,534"
Kansas,326,Plastics & rubber products mfg,2008,"3,659,995"
Kansas,3261,Plastics product mfg,2008,"2,975,678"
Kansas,3262,Rubber product mfg,2008,"684,317"
Kansas,327,Nonmetallic mineral product mfg,2008,"1,429,401"
Kansas,3273,Cement & concrete product mfg,2008,"717,543"
Kansas,3279,Other nonmetallic mineral product mfg,2008,"343,206"
Kansas,331,Primary metal mfg,2008,"652,810"
Kansas,3315,Foundries,2008,"385,407"
Kansas,332,Fabricated metal product mfg,2008,"4,501,266"
Kansas,3323,Architectural & structural metals mfg,2008,"1,572,977"
Kansas,3324,"Boiler, tank, & shipping container mfg",2008,"482,662"
Kansas,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"727,907"
Kansas,3329,Other fabricated metal product mfg,2008,"1,176,055"
Kansas,333,Machinery mfg,2008,"5,144,315"
Kansas,3331,"Agriculture, construction, & mining machinery mfg",2008,"2,207,950"
Kansas,3332,Industrial machinery mfg,2008,"456,195"
Kansas,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"744,594"
Kansas,3339,Other general purpose machinery mfg,2008,"1,053,543"
Kansas,334,Computer & electronic product mfg,2008,"4,366,446"
Kansas,3344,Semiconductor & other electronic component mfg,2008,"166,388"
Kansas,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"3,172,218"
Kansas,335,"Electrical equipment, appliance, & component mfg",2008,"1,236,827"
Kansas,3359,Other electrical equipment & component mfg,2008,"831,579"
Kansas,336,Transportation equipment mfg,2008,"22,525,511"
Kansas,3361,Motor vehicle mfg,2008,D
Kansas,3362,Motor vehicle body & trailer mfg,2008,"469,979"
Kansas,3363,Motor vehicle parts mfg,2008,D
Kansas,3364,Aerospace product & parts mfg,2008,"16,812,523"
Kansas,337,Furniture & related product mfg,2008,"680,838"
Kansas,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"467,742"
Kansas,339,Miscellaneous mfg,2008,"623,377"
Kansas,3391,Medical equipment & supplies mfg,2008,"229,987"
Kansas,3399,Other miscellaneous mfg,2008,"393,390"
Kentucky,31-33,Manufacturing,2008,"113,969,931"
Kentucky,311,Food mfg,2008,"9,787,826"
Kentucky,3114,Fruit & vegetable preserving & specialty food mfg,2008,"1,416,216"
Kentucky,3115,Dairy product mfg,2008,"1,367,703"
Kentucky,3116,Animal  slaughtering & processing,2008,"2,333,129"
