# File: WSA_steel_prod_cons_1970_2018.csv
# Title: Crude steel production and consumption by country
# Units: thousand tons
# Description: Crude steel production and apparent steel consumption (crude equivalent) by country (1970-2021)
# Source: World Steel Association Statistical Year Books (1980 1989 1999 2000 2019)
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Metric,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Slovenia,Crude Steel Production,557.7,614.02,647.81,669.84,709.89,729.91,688.61,796.49,865.08,885,910,995,961,1035,1060,1121,1131,1093,1123,1113.39,903.13,544.68,401,355,424,394,314,373,405,405,519,462,481,541,566,583,628,638,642,430,606,648,632,618,615,604,613,648,654,623,585,662
South Africa,Crude Steel Production,4757,4881,5337,5722,5839,6831,7106,7295,7902,8876,9067,9005,8280,7180,7732,8507,8895,8991,8838,9337,8619,9358,9061,8726,8525,8741,7999,8311,7506,7857,8481,8821,9095,9481,9500,9494,9718,9098,8269,7484,7617,7546,6938,7162,6412,6417,6141,6301,6327,6152,3877,5020
South Korea,Crude Steel Production,481,472,586,1157,1947,1994,3515,4347,4969,7610,8558,10753,11758,11915,13034,13539,14555,16782,19118,21873,23125,26001,28055,33026,33745,36772,38903,42554,39896,41042,43107,43852,45390,46310,47521,47820,48455,51517,53625,48572,58914,68519,69073,66061,71543,69670,68576,71030,72464,71412,67079,70418
Spain,Crude Steel Production,7394,8025,9526,10800,11502,11102,10982,11169,11339,12254,12643,12896,13178,13009,13497,14193,11882,11691,11886,12765,12936,12798,12272,12961,13445,13802,12154,13683,14821,14882,15874,16504,16408,16286,17621,17826,18391,18999,18640,14358,16343,15504,13639,14252,14249,14845,13616,14441,14320,13588,10998,14205
Sri Lanka,Crude Steel Production,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Sudan,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Sweden,Crude Steel Production,5497,5271,5257,5663,5988,5611,5139,3968,4325,4733,4237,3770,3900,4210,4705,4813,4710,4595,4779,4692,4455,4252,4358,4591,4967,4953,4910,5148,5168,5066,5227,5518,5754,5707,5978,5723,5466,5673,5198,2804,4846,4867,4326,4404,4539,4557,4817,4926,4654,4721,4409,4678
Switzerland,Crude Steel Production,524,532,543,584,592,420,545,656,784,886,929,934,835,835,978,987,1075,866,988,1064,1105,1111,1238,1254,1098,739,700,789,800,800,1000,1000,1000,1000,1000,1158,1252,1264,1312,934,1320,1400,1450,1530,1475,1475,1500,1450,1500,1325,1175,1291
Syria,Crude Steel Production,,,,,,,,,,,,,,,,,,,,30,76,63,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,10,10,5,5,5,5,5,5,5,5
"Taiwan, China",Crude Steel Production,350,470,540,535,901,1010,1628,1770,3432,3186,3417,3157,4152,5030,5241,5306,5545,5915,8288,9047,9748,10973,10705,11970,11594,11605,12350,15994,16914,15438,16896,17261,18230,18832,19599,18942,20000,20903,19882,15814,19755,20178,20664,22282,23221,21392,21751,22438,23240,21954,20959,23233
Tajikistan,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Tanzania,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,120,145
Thailand,Crude Steel Production,153,170,283,324,326,251,281,309,385,440,450,300,312,244,381,425,450,534,535,689,685,711,929,954,1461,2134,2143,2101,1814,1532,2100,2127,2538,3551,4533,5161,4914,5565,5211,3646,4145,4256,3641,3613,5835,5069,5400,6762,6403,4246,4467,5473
Togo,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Crude Steel Production,,,,,,,,,,,,,,,,,,,,347,371,440,553,519,631,738,695,736,781,729,741,668,817,903,815,712,673,682,489,417,572,603,628,616,487,591,36,,,0,0,0
Tunisia,Crude Steel Production,100,90,133,140,132,130,102,157,150,176,178,173,107,163,166,160,181,188,162,187,177,194,182,183,184,201,187,195,171,231,229,239,200,86,66,115,160,160,150,155,150,150,150,150,150,50,50,50,50,60,78,85
Turkey,Crude Steel Production,1312,1235,1557,1354,1590,1703,1972,1902,2172,2396,2536,2425,3183,3834,4330,4864,5928,7044,8057,7848,9443,9398,10343,11519,12624,13183,13624,14475,14144,14313,14325,14981,16467,18298,20478,20965,23315,25754,26806,25304,29143,34107,35885,34654,34035,31517,33163,37524,37312,33743,35810,40360
Turkmenistan,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Crude Steel Production,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,
Ukraine,Crude Steel Production,41017.82907,42699.44468,44452.2042,46537.67655,48207.96576,50021.95859,51253.70398,51908.51115,53600.74524,52769,52360,52568,52085,53981,54590,54739,56822,57317,57710,56665.95,54662.59,47018.34,41759,32609,24081,22309,22332,25629,24445,27453,31767,33108,34050,36932,38738,38641,40891,42830,37107,29855,33432,35332,32975,32771,27170,22968,24218,21417,21100,20848,20616,21366
United Arab Emirates,Crude Steel Production,,,,,,,,,,,,,,,,,,,,45,45,45,45,45,45,60,90,90,90,90,90,90,90,90,90,90,90,90,90,200,500,2000,2408,2878,2390,3006,3149,3309,3247,3327,2722,2997
United Kingdom,Crude Steel Production,27833,24219,25431,26667,22384,19773,22335,20467,20367,21464,11277,15573,13704,14986,15121,15722,14725,17414,18950,18740,17841,16474,16212,16625,17286,17604,17992,18501,17315,16298,15155,13543,11667,13268,13766,13239,13871,14317,13521,10074,9708,9478,9579,11858,12033,10907,7635,7491,7268,7218,7086,7222
United States,Crude Steel Production,119307,109264,120874,136802,132195,105816,116120,113700,124313,123688,101456,109614,67656,76762,83941,80068,74032,80876,90650,88852,89726,79738,84322,88793,91244,95191,95535,98486,97653,97427,101803,90104,91587,93677,99681,94897,98557,98102,91350,59384,80495,86398,88695,86878,88174,78845,78475,81612,86607,87761,72732,85791
Uruguay,Crude Steel Production,16,15,13,12,14,16,16,19,9,16,18,14,28,46,41,39,31,30,29,37,38,41,55,36,36,40,34,39,52,45,38,31,34,40,58,64,57,71,86,57,65,81,78,91,94,97,61,58,60,62,49,63
Uzbekistan,Crude Steel Production,618.8182743,644.1880827,670.6312087,702.0938295,727.2927615,754.6596881,773.2424987,783.1212917,808.6512968,796,790,793,786,814,824,826,857,865,871,854.89,824.67,709.35,630,573,364,367,444,379,351,344,407,433,450,499,602,595,617,645,682,716,716,733,736,746,723,643,654,654,646,666,939,1050
Venezuela,Crude Steel Production,927,924,1128,1063,1041,1063,936,803,860,1475,1975,2030,2226,2367,2770,3060,3402,3722,3654,3196,3233,3315,3489,3392,3524,3568,3956,3987,3680,3261,3835,3813,4164,3930,4561,4910,4864,5005,4225,3808,2207,2980,2359,2139,1485,1345,553,444,129,51,29,29
Viet Nam,Crude Steel Production,,,,,,,,,,,,,,,,,,,,85,102,183,219,270,301,271,311,314,306,308,306,319,409,544,689,890,1869,2024,2250,2700,4314,4900,5298,5474,5847,5647,7811,11473,15471,17469,19900,23019
Yemen,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Zambia,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Crude Steel Production,374,439,462,500,500,500,500,500,700,740,805,691,538,647,423,731,674,597,602,582,585,581,547,221,154,220,212,214,212,255,258,149,105,152,135,107,24,23,,,,,,,,,,,,,,
Albania,Apparent Steel Consumption (Crude Eq.),77,89,88,120,130,120,115,150,125,119,174,97,144,141,140,140,139,138,137,257,164,49,54,55,50,66,69,144,119,93,141,290,356,406,407,486,349,306,215,622,516,566,648,631,603,328,462,265,245,297,305,338
Algeria,Apparent Steel Consumption (Crude Eq.),736,694,731,834,1589,1404,1233,1973,2450,1973,2127,2412,2472,2588,2907,3138,3131,2835,2828,2490,1907,2003,2335,2157,2693,1880,1582,999,1742,1500,2042,2429,2740,3314,3542,3489,4288,4381,5546,4752,3403,4208,5160,6268,6858,6656,6320,6459,6031,5582,4815,4765
Angola,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,33,10,10,10,9,9,,,,,,,,,,,,,,,1014,679,843,1113,1091,1108,834,318,223,229,534,473,470
Argentina,Apparent Steel Consumption (Crude Eq.),3286,3708,3739,4126,4138,4287,3314,3645,2640,3448,3578,2601,2743,2912,3074,2184,2510,3260,2956,2034,1463,2383,3365,3296,4154,3460,4230,4980,5150,3568,3379,2920,1970,3220,4110,4210,5130,5290,5460,3652,5268,6087,5582,5775,5712,5991,4796,5610,5502,3919,3595,5037
Armenia,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,111,79,80,76,80,72,91,107,143,106,147,77
Australia,Apparent Steel Consumption (Crude Eq.),6138,7212,7850,7057,7483,6298,6550,5131,5108,6455,6271,6683,5850,4811,6054,5740,5925,5853,6527,6831,5511,5294,5120,5757,6326,6256,6104,6631,6547,6600,6100,6000,6800,7000,7500,7419,7419,8172,8424,5916,7716,6672,7152,6376,7142,6967,6477,6025,6091,5500,5100,6230
Austria,Apparent Steel Consumption (Crude Eq.),2940,2727,2788,3251,3363,2153,2704,2521,2716,2837,2907,2550,2436,2371,2399,2264,2510,2203,2531,3050,3210,3260,3440,3200,3720,3890,3560,4100,4150,3998,4163,4279,3926,3921,3759,3965,4682,4725,4599,3540,4002,4440,4171,4066,4111,4453,4366,4661,4767,3980,3649,4491
Azerbaijan,Apparent Steel Consumption (Crude Eq.),425.4133839,445.2110022,467.89915,499.3437882,530.8463142,544.2647,560.2417253,564.7145206,592.1957759,585,580,582,580,608,615,607,623,629,635,623,589,509,385,260,67,84,152,238,777,151,196,217,270,324,324,323,616,700,846,826,934,988,1187,1453,1468,1060,652,617,811,833,752,606
Bahrain,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,42,57,57,106,138,123,109,59,29,38,46,30,44,48,80,62,46,30,50,48,55,46,31,71,97,111,135,146,148,431,270,354,206,237,276,296,302,284,293,298,273,210,247
Bangladesh,Apparent Steel Consumption (Crude Eq.),,,79,187,103,93,102,79,100,383,413,482,223,225,351,494,437,415,461,401,429,514,358,517,411,392,381,585,544,595,694,902,999,1009,897,1069,924,905,817,1784,1982,2138,2467,2616,2907,4353,4310,2929,3433,7828,7761,7450
Belarus,Apparent Steel Consumption (Crude Eq.),659.6669874,690.3661514,725.5475131,774.3071209,823.1564925,843.9637036,868.7384676,875.6742046,918.2879954,907,900,903,900,943,954,940,967,976,984,967,913,789,597,1684,946,1053,1173,1360,1216,1281,1286,616,884,1652,1824,1872,2220,2477,2623,1946,2747,2655,2778,2764,2292,1810,1800,2120,2176,2086,2048,2153
Belgium-Luxembourg,Apparent Steel Consumption (Crude Eq.),4783,4818,4676,4796,5283,3185,4620,3955,4102,4163,3676,3887,3525,3646,4353,3756,3741,3171,4446,4022,3697,4016,3961,3255,4018,5277,3719,4036,5474,4200,6000,5700,4700,5100,5600,4700,5700,5800,5500,4230,4854,5299,4472,4412,4551,4557,4617,4797,4883,3412,2972,4812
Benin,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,120,146,178,127,147,138,123,114,109,,,
Bolivia,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,102,58,135,64,33,60,36,40,83,42,99,62,65,126,132,139,146,153,146,145,178,210,220,178,178,178,178,189,200,211,98,127,130,130,566,673,629,679,578,545,571,313,535
Bosnia-Herzegovina,Apparent Steel Consumption (Crude Eq.),508.49,613.16,575.74,539.52,629.49,787.01,603.21,769.79,801.56,831,852,909,780,787,744,758,791,616,554,713,482,222,261,3,,16,68,72,88,60,159,246,294,242,266,483,788,663,699,473,521,536,512,541,533,516,723,765,819,784,787,808
Brazil,Apparent Steel Consumption (Crude Eq.),6088,7386,7662,9513,12799,11241,10715,11976,11932,12796,14303,12063,10612,8580,10673,11996,14528,14980,11720,14466,11048,11245,10712,12658,13472,14639,15793,18730,17700,15700,17500,18500,19673,17730,20351,18680,20592,24556,26667,20640,29004,28993,29526,31131,28451,23662,20578,21693,23563,20977,21449,26337
Bulgaria,Apparent Steel Consumption (Crude Eq.),2320,2119,1503,1999,2021,2197,2069,2431,2443,2791,2938,3008,3165,3295,2986,3085,3021,4327,5554,2897,1760,919,875,1084,731,903,1046,637,734,770,1120,1020,1330,1565,1533,1604,1689,1753,1961,785,833,1127,1008,1100,1526,1368,1460,1102,1276,1551,1407,1290
Cameroon,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,69,67,149,51,52,35,56,53,59,77,39,118,264,170,121,108,129,161,161,164,181,171,166,249,248,288,288,259,206,233,202,316,333
Canada,Apparent Steel Consumption (Crude Eq.),11085,11753,12842,14153,15458,13178,12570,12828,13524,15383,13306,14118,9418,10771,13089,13185,12077,13037,15663,13985,11222,10688,11160,12714,15324,15047,14555,17722,18780,18200,19800,16900,17671,17233,19314,18014,20132,18248,16799,10591,15656,15746,17305,16445,17527,14372,15014,16812,16889,12975,13693,14470
Chile,Apparent Steel Consumption (Crude Eq.),795,692,800,657,772,565,508,520,590,657,811,724,334,461,655,660,756,823,1027,1115,981,1019,1395,1701,1495,1880,2159,2267,2190,1737,1977,2278,2270,2039,2419,2408,2666,2773,2724,1960,2738,3148,3457,3105,3031,3215,3172,3171,3150,2819,2368,3266
China,Apparent Steel Consumption (Crude Eq.),22504,24003,26092,28989,29816,31684,27033,32544,42706,44863,43005,39046,40770,51834,60104,71428,73965,70646,70348,71030,68279,70181,85939,133056,120882,100242,112422,114616,123755,136181,138086,170648,205720,258580,287312,361950,393400,440130,452850,574420,612063,667941,687609,772340,740380,700350,709400,806080,869750,911890,1006340,952042
Colombia,Apparent Steel Consumption (Crude Eq.),685,633,692,651,815,862,728,685,715,817,977,952,1090,947,1128,1231,1186,1289,1280,1519,1467,1344,1396,1881,2009,2449,2246,2467,2172,1330,2305,1781,1750,1860,2488,2762,3143,3644,3738,2481,3134,3603,3926,4393,4980,5078,4610,4484,4579,3576,2888,4058
Congo,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,114,81,122,153,255,295,160,101,72,40,,,
Costa Rica,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,165,141,94,63,114,145,150,117,49,94,241,208,167,306,253,326,200,211,118,190,464,430,290,329,300,310,320,329,340,360,523,564,659,760,879,877,969,894,918,820,639,505,687
Croatia,Apparent Steel Consumption (Crude Eq.),586.42,707.13,663.98,622.2,725.96,907.62,695.66,887.76,924.4,959,982,1048,900,907,858,875,913,710,639,822,556,256,301,302,359,382,296,246,502,472,585,575,722,848,908,882,877,1108,1198,828,782,702,663,684,675,720,922,947,761,793,779,926
Cuba,Apparent Steel Consumption (Crude Eq.),434,441,557,728,925,1086,1008,1000,1000,968,942,1031,874,968,1023,1155,1156,1159,1206,800,659,310,138,94,143,217,289,456,400,226,248,238,206,149,149,149,149,160,170,109,140,140,150,158,165,160,151,152,155,140,102,113
Cyprus,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,215,176,219,246,534,421,280,233,629,355,232,238,185,306,361,402,381,415,534,528,327,366,248,173,139,115,153,164,265,360,326,293,286
Czech Republic,Apparent Steel Consumption (Crude Eq.),6735.34236,7207.075435,7315.29207,7639.941973,7840.371373,8239.705996,8712.96325,8571.2147,8725.918762,8420,8294,8622,8532,8516,8343,8470,8526,8394,8257,8251,7824,4657,3940,3500,3800,4370,3800,4340,4520,3880,4460,4550,4470,5035,5788,6062,6896,7599,7608,5207,6379,6985,6747,6765,7145,7600,7600,8100,8500,6713,6177,7810
Dem. Rep. of the Congo,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,58,73,62,62,59,85,28,22,16,17,83,61,79,59,47,53,61,73,64,60,47,45,42,51,51,54,63,64,64,93,85,85,109,116,135,170,145,106,110,194,,,
Denmark,Apparent Steel Consumption (Crude Eq.),2162,1932,2207,2329,2322,1814,2273,1814,1884,1629,1615,1565,1936,1213,1553,1797,1796,1585,1734,1843,1869,1826,2032,1556,1696,2094,1786,1985,2275,1805,1951,1956,2166,1933,2014,1854,2203,2187,1920,990,1129,1530,1528,1518,1521,1564,1655,1583,1598,1428,1541,1583
Djibouti,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,146,157,214,128,170,626,723,551,515,,,
Dominican Republic,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,100,105,76,154,81,122,60,72,90,91,317,118,170,251,259,369,288,352,260,187,659,797,567,705,318,340,351,362,373,394,278,360,303,381,412,573,473,484,523,581,580,442,593
Ecuador,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,444,359,380,351,165,304,416,291,192,203,435,414,438,773,555,525,528,514,379,370,350,770,1085,622,454,920,920,1080,1190,1340,1222,1454,2047,1760,2262,1942,1989,1831,2026,2108,1733,1390,1815
Egypt,Apparent Steel Consumption (Crude Eq.),921,949,1040,993,1080,1582,1296,1010,985,1714,2051,2144,2391,2533,2349,3312,5605,3825,4462,3111,3297,3389,2929,3010,3970,3970,4635,5358,6576,4657,4775,5735,5948,5075,4583,7070,6660,7508,8253,9829,9306,8370,10182,9900,10930,11622,12501,10890,11836,10354,9688,10201
El Salvador,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,48,46,54,45,51,64,64,75,52,57,78,81,94,103,113,107,124,143,243,241,384,423,447,354,421,421,432,443,465,492,95,243,290,304,303,341,360,357,338,439,383,314,448
Equatorial Guinea,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,119,112,138,137,115,83,42,23,24,,,
Estonia,Apparent Steel Consumption (Crude Eq.),41.98885347,43.94290411,46.18225376,49.2858804,52.39522063,53.71963273,55.29658587,55.73805657,58.45049217,58,57,57,57,60,61,60,62,62,63,62,58,50,38,37,74,130,191,248,312,217,309,358,371,344,533,361,615,536,429,187,313,375,340,350,365,341,462,506,569,541,469,596
Ethiopia,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,73,33,21,21,60,,,,,,,,,,,,,,,,543,332,490,745,860,895,1112,1091,757,717,925,590,363
Finland,Apparent Steel Consumption (Crude Eq.),1888,1447,1751,2046,1877,2043,1842,1547,1327,1715,2131,1974,2183,1918,2051,1815,1931,1853,2006,2274,2001,1470,1396,1470,1780,2060,1950,2210,2280,2030,2500,2300,2150,2150,2350,2320,2600,2820,2539,1715,1540,1225,2104,1888,1875,1875,1872,2170,2151,1739,1844,2014
France,Apparent Steel Consumption (Crude Eq.),23236,21230,24336,25262,24937,19291,23545,20363,19530,20728,20159,17461,17197,15298,15492,14812,14522,14820,16968,17507,18033,16525,16032,13768,16019,17063,15422,17233,19419,19624,21044,18747,18571,17125,18744,16949,18064,19228,17834,12290,15454,16304,14130,14566,14472,14521,15251,15771,15870,14558,12213,13792
Gabon,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,17,,,,27,21,,,,,,,,,,,,,,,78,106,132,145,150,162,100,70,53,57,,,
Georgia,Apparent Steel Consumption (Crude Eq.),497.2364227,520.3764961,546.8951104,583.6485836,620.4697179,636.1535454,654.8279906,660.0559331,692.176881,684,678,680,678,711,719,709,729,735,742,729,688,595,450,503,,84,52,12,,29,35,109,162,216,216,216,203,283,348,207,215,220,289,148,251,348,419,374,474,360,439,285
Germany,Apparent Steel Consumption (Crude Eq.),49681,44136,48518,48850,43727,39793,46688,42922,42346,47927,44631,42095,37788,39350,39733,39995,39699,38084,43199,45106,40934,39069,38675,31400,38101,40677,34177,38124,39896,38975,42091,39941,37915,38046,38743,38606,42157,46059,44673,29100,40479,45141,40829,41700,43110,42433,42750,43326,41884,35142,31163,35340
Ghana,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,68,65,74,105,92,70,104,89,105,135,139,148,214,167,257,228,374,284,284,509,464,533,852,785,767,841,969,914,772,824,1319,1435,1494
Greece,Apparent Steel Consumption (Crude Eq.),883,1034,1311,1797,1583,1290,1563,1624,1569,1754,1714,1842,1831,2236,1622,1890,1959,2077,2129,1965,1947,2394,1832,1896,1911,2365,2371,2939,2941,2836,3518,3368,3722,3722,3150,3688,4398,4472,3888,2712,2055,1545,1097,1230,1387,1097,1626,1445,1447,1395,1340,1470
Guatemala,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,171,187,139,103,95,98,106,114,86,94,171,228,165,332,288,274,261,241,145,78,494,578,647,458,391,402,413,425,447,473,271,350,358,718,817,1118,1176,1054,1019,970,991,916,1258
Guinea,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,65,71,106,86,123,119,153,119,147,176,,,
Honduras,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,101,79,58,38,59,56,69,52,42,46,105,89,84,88,93,92,97,102,91,92,239,193,202,197,219,219,230,230,241,255,113,92,204,239,184,198,393,356,360,321,305,284,484
"Hong Kong, China",Apparent Steel Consumption (Crude Eq.),647,654,579,651,784,725,1155,1180,1888,1835,1985,2044,2144,1894,1810,1879,2117,2187,2233,1897,2026,2301,2233,4091,4473,3403,1686,5257,4882,5037,5223,5057,4966,4851,5165,4194,3943,3943,2435,1703,1929,1886,1991,2436,2727,3776,2482,2342,2202,2102,2078,2723
Hungary,Apparent Steel Consumption (Crude Eq.),3080,3221,3268,3270,3806,3806,3432,3655,4029,3708,3595,3649,3703,3570,3344,3374,3500,3437,3137,3303,2823,1855,1100,1240,1340,1680,1460,1700,1970,1940,2070,2180,2330,2430,2440,2330,2579,3048,3130,1764,2420,2173,1959,2144,2400,2702,2928,3060,3199,2761,2377,2708
Iceland,Apparent Steel Consumption (Crude Eq.),52,41,35,39,65,42,52,52,52,,,,,,,,,,,45,39,40,39,37,35,34,48,53,59,58,49,36,43,60,94,115,57,123,93,33,36,37,39,111,38,54,65,63,69,66,49,55
India,Apparent Steel Consumption (Crude Eq.),6432,7710,9227,8221,8551,8500,8202,10185,10060,12366,11665,14032,13908,12241,12205,14438,15000,15364,16349,20036,21700,20300,18540,18850,21880,26080,26800,26930,27220,29900,30200,31200,34090,34179,39220,43140,49100,55490,53630,64360,69082,73154,77436,80656,87086,89256,94502,100892,104502,102622,89333,106226
Indonesia,Apparent Steel Consumption (Crude Eq.),597,612,1030,1442,1280,1448,1382,1744,1964,1789,3014,3126,3028,2850,1966,2328,1851,1715,1393,3085,4690,4468,4441,5819,5268,7250,7169,7268,2650,3659,5471,5608,5422,5064,6404,9084,7688,9179,12056,8908,10744,13148,15006,15237,15483,13656,15214,16318,18107,15944,15092,15484
Iran,Apparent Steel Consumption (Crude Eq.),1740,1728,1804,2568,2973,5382,4919,5864,7000,3530,3610,2843,4247,5905,4658,4631,1766,1480,1549,4848,5177,5831,6637,5100,5623,5089,6428,7255,6462,7577,10296,11412,12068,15773,16139,17386,16276,17889,15813,19496,21878,23467,21081,21998,22089,21911,21228,22174,21731,18490,17206,18238
Iraq,Apparent Steel Consumption (Crude Eq.),449,432,468,771,1864,2010,1082,709,1100,2697,1938,1458,1134,1177,878,991,455,614,628,918,312,,2,5,0,4,5,14,3,,,,,,,,,,,2363,2388,2937,3783,4144,3601,3387,3692,3582,3686,3400,3026,3178
Ireland,Apparent Steel Consumption (Crude Eq.),423,425,466,471,554,363,477,479,431,705,478,492,469,386,416,396,360,380,482,523,495,458,444,369,504,621,720,759,818,869,924,853,972,936,936,868,1120,1212,961,382,453,425,436,433,513,605,603,715,759,791,719,795
Israel,Apparent Steel Consumption (Crude Eq.),655,607,722,886,1114,744,676,704,614,784,312,559,589,488,582,563,676,788,767,825,908,1031,1103,1505,1514,1873,1598,1596,1826,1998,1780,1868,1960,1902,1853,1817,1511,1474,1563,1669,1873,2160,2307,2584,2775,3110,3466,3299,3504,3430,3525,4067
Italy,Apparent Steel Consumption (Crude Eq.),21113,18310,20585,22561,23651,17778,21758,20798,18822,24088,26764,20747,21482,18815,21736,21880,22656,23428,26097,27912,28404,26592,25887,21579,25779,31038,24147,29194,31917,31470,32483,32475,31722,33619,34815,33355,38729,38447,34966,21280,27212,28143,22810,23218,23244,25957,25157,26644,27837,24986,20414,26619
Ivory Coast,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,111,78,111,117,124,124,145,126,166,218,88,100,100,138,129,77,104,137,137,189,181,223,205,220,285,322,369,424,441,427,371,552,656
Jamaica,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,99,51,26,62,41,47,104,66,74,86,,,,,,,,,,,68,69,79,125,100,142,158,133,191,159,199,164,264
Japan,Apparent Steel Consumption (Crude Eq.),69882,57699,68888,87181,75753,64736,60176,58243,61507,78163,79007,71136,69504,65614,74367,73377,69941,75751,86844,93278,99032,99151,84040,80589,79333,84340,83612,86002,71187,71000,79600,75200,73600,76400,80500,82900,83300,85800,83200,56000,67400,69600,68800,70800,72900,67852,67469,70125,71256,63210,52630,57410
Jordan,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,479,313,431,376,434,353,284,409,375,337,284,349,380,637,711,608,642,462,466,214,391,422,397,533,577,523,818,1048,1058,1776,1380,1181,1092,1190,1122,1191,1236,1249,1249,1280,806,600,650
Kazakhstan,Apparent Steel Consumption (Crude Eq.),4637.558369,4853.37812,5100.708396,5443.49579,5786.914236,5933.192067,6107.362392,6156.12167,6455.703043,6380,6324,6346,6325,6629,6705,6612,6796,6860,6918,6795,6419,5548,4197,3567,2304,1018,889,419,422,597,1616,1595,1662,2132,2503,2856,2965,3624,2984,2930,2339,2475,3090,3878,3064,2982,2572,2922,2776,2622,2438,2633
Kenya,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,225,219,159,115,190,200,254,173,266,212,223,552,335,251,220,308,403,317,383,300,391,345,400,460,478,547,480,630,627,664,892,867,1306,1028,1409,1436,1835,1608,1465,1519,3380,2528,2404
Kuwait,Apparent Steel Consumption (Crude Eq.),219,221,188,139,422,354,1174,630,441,796,700,718,741,696,1118,356,396,63,147,547,269,74,552,563,553,582,388,489,548,430,361,487,728,686,749,661,628,626,1097,973,1202,1072,1224,1397,1582,1609,1613,1521,1574,1209,980,1531
Kyrgyzstan,Apparent Steel Consumption (Crude Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,134,181,265,321,343,301,288,278,313,369,365,346
Latvia,Apparent Steel Consumption (Crude Eq.),87.29261643,91.35498486,96.01047493,102.4627513,108.926906,111.6802891,114.9586917,115.876486,121.5154969,120,119,119,119,125,126,124,128,129,130,128,121,104,79,168,64,87,134,204,257,145,279,309,276,250,500,407,520,572,456,290,393,622,214,230,344,293,363,261,482,312,276,390
