PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,FKHTBTU8 ,FKCLBTU8 ,FKWTBTU8 ,FKCKBTU8 ,FKMSBTU8 ,DHHTBTU8 ,DHCLBTU8 ,DHWTBTU8 ,DHCKBTU8 ,DHMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
729,2,4,10250,4,3,15,1,1,2,2,2,2,404.15,48,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
730,1,2,3650,2,6,26,1,2,1,2,2,2,2463.5,7,1,139661,0,0,0,0,                  ,                  ,                  ,                  ,                  
731,3,6,1200,2,7,15,1,2,2,2,2,2,1446.07,31,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
732,2,3,11250,4,7,13,1,1,2,2,2,2,864.37,12,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
733,1,2,73000,6,6,2,1,2,2,2,2,2,221.72,9,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
734,3,5,106000,7,8,18,1,1,2,2,2,2,123.91,27,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
736,2,4,12000,4,4,18,1,1,2,2,2,2,1697.96,19,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
737,4,8,6000,3,7,26,1,1,2,1,2,2,869.22,38,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
738,4,8,33500,5,7,23,1,1,2, ,2,2,878.08,37,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
739,4,9,38000,5,7,18,1,1,2,2,2,2,360.63,42,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
740,4,9,58000,6,6,13,1,1,2,2,2,2,242.54,62,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
741,2,4,5000,2,1,13,1,1,2,2,2,2,776.54,19,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
742,3,7,5200,3,4,13,1,1,2,2,2,2,1945.16,36,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
743,3,7,85000,6,7,5,1,2,2,1,2,2,329.6,34,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
744,3,7,500000,8,4,16,1,1,1,2,1,2,11.84,35,2,0,0,0,0,416070,21851392,0,84119225,1176382,0
745,1,2,43000,5,7,12,1,1,2,2,2,2,115.18,4,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
746,1,2,45000,5,7,5,1,1,2,2,2,2,209.53,7,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
748,4,9,44500,5,4,16,1,1,1,2,2,2,181.42,40,1,0,0,0,0,13869,                  ,                  ,                  ,                  ,                  
749,3,7,5300,3,5,2,1,2,2,2,2,2,2226.65,34,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
750,3,7,2200,2,4,6,1,2,2,2,2,2,2544.74,36,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
751,2,3,80000,6,3,2,1,1,2,2,2,2,119.39,11,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
752,2,3,490000,8,4,14,1,1,1,2,2,2,29.19,11,1,0,0,0,0,416,                  ,                  ,                  ,                  ,                  
753,1,2,11500,4,3,13,1,1,2,2,2,2,869.22,7,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
754,1,2,94000,6,4,14,1,2,2,2,2,2,135.43,7,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
755,3,5,7700,3,2,26,1,1,2,2,2,2,2546.83,21,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
756,3,7,25000,4,7,2,1,2,2,2,2,2,807.37,57,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
758,3,5,110000,7,7,14,1,1,1,2,2,2,128.89,28,2,0,0,0,0,48819,                  ,                  ,                  ,                  ,                  
759,2,3,1600000,10,6,16,1,2,1,2,1,2,9.75,124,1,0,0,0,0,134487,1237877000,0,0,0,0
760,3,5,38000,5,6,5,1,1,2,2,2,2,369.79,23,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
761,1,2,91000,6,1,2,1,1,1,2,2,2,82.18,4,2,0,0,0,0,55060,                  ,                  ,                  ,                  ,                  
762,2,3,6400,3,4,91,1,2,2,2,2,2,3538.52,13,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
763,2,3,50000,5,5,14,1,1,2,2,2,2,73.26,12,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
764,4,9,22000,4,8,2,1,2,2,2,2,2,242.54,47,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
765,4,9,3100,2,2,15,1,2,2,1,2,2,1390.68,43,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
766,1,2,1000000,9,5,16,1,1,1,2,1,1,16.88,7,1,0,0,0,0,1248210,230135967,0,42386033,0,0
768,3,5,57000,6,6,6,1,1,2,2,2,2,68.04,22,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
769,1,1,4350,2,5,23,1,1,2, ,2,2,2739.65,2,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
770,2,4,95000,6,8,11,1,2,2,2,2,2,220.48,20,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
772,3,6,81000,6,4,18,1,2,1,1,2,2,156.69,29,2,1788289,0,0,2072841,0,                  ,                  ,                  ,                  ,                  
773,2,4,23750,4,7,17,1,1,2,1,2,2,317.92,18,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
774,2,4,7500,3,1,1,1,1,2,2,2,2,776.54,19,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
775,3,5,315000,8,6,14,1,2,2,1,2,2,126.7,28,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
776,1,2,12750,4,4,13,1,1,1,2,2,2,406.42,5,1,1149340,0,12743,0,0,                  ,                  ,                  ,                  ,                  
777,2,3,17750,4,5,2,1,1,2,2,2,2,780.38,12,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
778,3,5,10000,3,6,26,1,2,2,2,2,2,2544.74,26,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
779,3,5,295000,8,6,16,1,1,1,2,1,1,11.84,28,2,0,0,0,0,484583,58529000,0,0,0,0
781,4,8,255000,8,7,5,1,1,2,1,2,2,121.36,39,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
783,3,7,30500,5,7,14,1,1,2,2,2,2,228.05,49,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
784,2,3,15250,4,5,12,1,1,2,2,2,2,679.47,13,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
785,4,8,5000,2,5,6,1,1,2,2,2,2,2463.5,39,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
787,3,5,67000,6,5,14,1,2,1,2,2,2,121.68,22,1,0,0,0,0,44381,                  ,                  ,                  ,                  ,                  
788,4,9,3500,2,5,18,1,2,2,1,2,2,360.63,41,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
790,4,9,10000,3,4,13,1,1,2,2,2,2,944.4,41,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
793,2,3,120000,7,1,2,1,1,2,2,2,2,93.85,13,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
794,3,7,17250,4,7,15,1,1,2,2,2,2,154.04,36,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
795,1,2,47000,5,4,91,1,1,2,1,2,2,223.98,10,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
796,4,9,700000,9,6,2,1,2,1,2,2,2,31.11,42,2,0,0,0,0,37446,                  ,                  ,                  ,                  ,                  
797,1,2,1350,2,6,26,1,2,2,2,2,2,2463.5,7,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
798,3,7,38000,5,5,23,1,1,2, ,2,2,189.25,33,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
799,1,2,14000,4,1,12,1,2,1,1,2,2,706.3,4,1,478382,0,2577,0,20127,                  ,                  ,                  ,                  ,                  
800,2,3,19750,4,6,26,1,1,2,1,2,2,122.17,16,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
801,4,8,8900,3,6,2,1,1,2,2,2,2,1288.73,37,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
802,4,9,74000,6,6,23,1,1,2, ,2,2,113.77,62,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
803,1,2,6000,3,3,26,1,1,1,2,2,2,2739.65,6,1,0,0,0,0,227174,                  ,                  ,                  ,                  ,                  
804,3,5,104000,7,8,14,1,1,2,2,2,2,195.44,25,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
805,2,4,1800,2,1,25,1,1,2,2,2,2,2447.55,19,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
806,3,6,2400,2,3,12,1,2,2,1,2,2,2314.83,29,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
807,1,2,120000,7,2,14,1,1,1,2,2,2,474.75,6,2,6543810,0,0,0,0,                  ,                  ,                  ,                  ,                  
808,4,9,132000,7,2,14,1,1,2,2,2,2,84.26,42,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
809,3,5,2900,2,5,2,1,2,2,2,2,2,343.4,25,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
810,1,1,126000,7,6,2,1,1,1,2,2,2,238.86,53,2,0,0,0,0,2080,                  ,                  ,                  ,                  ,                  
811,3,7,1700,2,3,2,1,2,2,2,2,2,2544.74,57,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
812,2,4,1300,2,6,26,1,2,2,1,2,2,2447.55,18,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
813,4,9,100000,6,7,91,1,1,2,2,2,2,94.19,40,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
814,2,3,15250,4,2,2,1,1,2,2,2,2,780.38,11,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
815,4,9,2400,2,2,13,1,1,2,2,2,2,2739.65,43,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
816,3,7,50000,5,3,14,1,2,2,2,2,2,318.68,34,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
817,3,5,55000,6,3,5,1,2,2,2,2,2,377.5,52,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
818,4,9,124000,7,7,25,1,1,2,2,2,2,101.62,40,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
819,4,9,4050,2,5,2,1,2,2,2,2,2,2976.63,41,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
820,3,6,36000,5,2,15,1,1,2,2,2,2,121.02,31,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
821,3,6,1400,2,7,8,1,2,2,2,2,2,1446.07,30,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
822,1,2,3950,2,2,7,1,1,1,2,2,2,456.4,5,1,358626,0,145374,0,0,                  ,                  ,                  ,                  ,                  
823,1,2,1900,2,3,18,1,2,2,2,1,2,1926.09,8,2,                  ,                  ,                  ,                  ,                  ,131000,0,0,0,0
824,3,5,71000,6,7,2,1,2,1,2,2,2,75.79,52,2,0,0,0,0,6935,                  ,                  ,                  ,                  ,                  
825,4,9,265000,8,5,2,1,1,2,2,2,2,5.32,98,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
826,3,7,186000,7,5,23,1,1,2, ,2,2,68.04,33,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
827,4,8,5000,2,4,5,1,1,2,1,2,2,2463.5,37,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
828,4,9,9900,3,8,12,1,2,2,2,2,2,1926.09,41,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
831,3,5,5100,3,2,12,1,1,2,2,2,2,2635.59,21,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
832,2,3,20250,4,6,2,1,1,2,2,2,2,864.37,64,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
834,2,4,12000,4,8,5,1,2,2,2,2,2,864.37,20,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
835,3,7,2200,2,1,2,1,1,2,2,2,2,734.43,32,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
836,4,8,41000,5,4,14,1,1,2,2,2,2,360.63,38,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
837,2,3,25000,4,8,12,1,1,2,2,2,2,364.88,64,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
838,3,5,3200,2,5,12,1,1,2,2,2,2,734.43,24,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
839,2,3,126000,7,3,14,1,1,2,2,2,2,121.46,64,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
840,3,7,16250,4,6,16,1,1,2,2,2,2,96.19,33,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
841,3,7,260000,8,7,23,1,2,2, ,2,2,69.29,57,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
845,4,9,8000,3,1,15,1,1,2,2,2,2,456.4,41,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
846,2,3,1200,2,8,5,1,2,2,2,2,2,2447.55,14,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
847,1,2,15000,4,2,12,1,1,2,2,2,2,869.22,5,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
848,2,4,2500,2,1,12,1,1,2,2,2,2,2724.37,18,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
850,1,2,2500,2,1,8,1,1,2,2,2,2,2226.17,4,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
851,3,6,2000,2,7,15,1,1,2,2,2,2,1446.07,31,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
852,3,6,900000,9,4,16,1,1,1,2,2,2,7.02,31,1,0,0,0,0,177523,                  ,                  ,                  ,                  ,                  
853,3,6,80000,6,4,14,1,1,2,2,1,2,442.78,31,2,                  ,                  ,                  ,                  ,                  ,5248000,0,0,0,0
854,3,5,152000,7,6,5,1,1,2,2,2,2,174.68,23,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
855,3,5,55000,6,7,17,1,1,2,2,2,2,115.1,22,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
856,2,3,176000,7,1,2,1,1,2,2,2,2,77.18,13,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
857,4,9,45000,5,7,2,1,2,2,2,2,2,89.9,47,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
858,3,5,140000,7,6,16,1,1,1,2,2,2,158.66,56,2,0,0,0,0,16181,                  ,                  ,                  ,                  ,                  
859,4,9,14500,4,2,2,1,2,2,2,2,2,607.91,44,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
860,2,3,16750,4,4,5,1,2,1,2,2,2,679.47,13,1,34673,0,0,0,0,                  ,                  ,                  ,                  ,                  
862,2,3,40000,5,6,18,1,1,2,2,2,2,214.9,16,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
863,1,1,8800,3,2,12,1,2,1,2,2,2,1926.09,2,1,834788,0,59069,0,0,                  ,                  ,                  ,                  ,                  
864,3,7,12000,4,7,1,1,2,2,2,2,2,3503.79,49,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
865,3,5,68000,6,7,23,1,1,2, ,2,2,343.4,24,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
866,4,8,25000,4,7,12,1,1,2,2,2,2,365.45,38,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
867,1,1,6000,3,4,18,1,1,2,2,2,2,456.4,2,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
868,1,2,27500,5,5,8,1,1,2,2,2,2,406.42,6,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
869,1,2,4800,2,5,15,1,1,2,2,2,2,568.7,10,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
870,3,5,7000,3,1,15,1,1,2,2,2,2,790.57,24,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
871,3,5,15000,4,5,23,1,1,2, ,2,2,808.04,21,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
872,4,8,14500,4,6,14,1,1,2,2,2,2,352.58,37,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
873,1,2,38000,5,4,14,1,1,2,2,2,2,132.45,10,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
875,4,9,33000,5,7,2,1,2,2,2,2,2,444.58,47,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
876,4,9,3150,2,6,14,1,2,2,1,2,2,1701.66,40,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
878,4,9,2900,2,6,14,1,2,2,2,2,2,1701.66,40,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
879,1,2,20000,4,2,5,1,1,2,2,2,2,568.7,51,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
880,1,2,4900,2,1,2,1,2,1,2,2,2,2226.17,4,1,108733,0,0,0,0,                  ,                  ,                  ,                  ,                  
881,1,1,1500,2,6,25,1,2,2,2,2,2,2739.65,2,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
883,3,5,1500000,10,8,24,1,1,2, ,2,2,69.44,56,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
884,3,6,16500,4,6,25,1,1,2,2,2,2,808.04,29,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
885,4,9,43000,5,8,15,1,1,2,2,2,2,444.58,40,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
886,4,8,40000,5,4,23,1,1,2, ,2,2,574.5,39,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
887,3,5,3450,2,1,12,1,2,2,2,2,2,807.37,52,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
888,1,1,420000,8,6,2,1,1,1,2,2,2,2.36,3,1,4428240,0,227722,0,0,                  ,                  ,                  ,                  ,                  
889,3,7,6700,3,5,2,1,1,2,2,2,2,2314.83,33,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
891,3,7,114000,7,5,2,1,2,2,2,2,2,74.65,49,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
892,4,9,13750,4,5,2,1,2,2,2,2,2,706.3,43,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
894,3,6,16000,4,6,12,1,1,2,2,2,2,2314.83,29,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
896,2,4,40000,5,5,2,1,1,1,2,2,2,363.08,19,2,0,0,0,0,20804,                  ,                  ,                  ,                  ,                  
898,2,3,52000,6,4,14,1,1,2,2,2,2,116.76,11,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
899,4,9,46000,5,6,5,1,1,2,2,2,2,945.45,40,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
901,3,5,21000,4,3,15,1,1,2,2,2,2,783.27,26,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
902,2,3,66000,6,7,2,1,2,2,2,2,2,199.06,16,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
903,3,5,60000,6,7,15,1,1,2,2,2,2,678.14,24,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
905,2,4,21500,4,4,12,1,1,2,2,2,2,776.54,19,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
906,2,3,4500,2,1,25,1,1,2,2,2,2,780.38,11,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
907,4,9,600000,9,7,16,1,1,1,1,2,2,11.26,41,2,90786,0,0,0,131118,                  ,                  ,                  ,                  ,                  
908,2,4,4550,2,2,2,1,1,2,2,2,2,2447.55,18,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
910,3,6,154000,7,6,23,1,1,2, ,2,2,187.34,30,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
911,4,8,1400,2,4,2,1,1,2,2,2,2,2739.65,38,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
912,1,1,300000,8,5,8,1,1,2,2,1,2,38.15,58,2,                  ,                  ,                  ,                  ,                  ,8010477,1000403,166120,0,0
913,2,4,9700,3,7,5,1,2,2,2,2,2,2447.55,18,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
914,1,2,38000,5,7,17,1,1,2,2,2,2,132.45,8,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
915,3,6,40000,5,7,25,1,1,2,2,2,2,1964.99,30,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
916,3,5,1500000,10,5,2,1,2,1,2,1,2,3.88,23,1,0,0,0,0,277380,54574857,0,15343273,643870,0
917,2,3,275000,8,7,2,1,1,1,2,2,2,25.66,11,1,0,0,0,0,110120,                  ,                  ,                  ,                  ,                  
918,4,8,1001,2,3,7,1,2,2,2,2,2,1701.66,37,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
919,4,9,1600000,10,6,2,1,2,1,2,2,2,30.62,76,1,0,0,0,0,55476,                  ,                  ,                  ,                  ,                  
921,3,7,100000,6,5,23,1,2,2, ,2,2,190.78,49,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
922,3,7,10500,4,6,26,1,1,2,2,2,2,2314.83,32,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
923,2,3,13500,4,1,12,1,2,1,2,2,2,679.47,13,1,580054,0,0,0,0,                  ,                  ,                  ,                  ,                  
924,2,3,25000,4,6,18,1,1,2,2,2,2,317.92,15,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
925,1,2,20000,4,3,7,1,1,1,2,2,2,456.4,5,1,0,0,0,0,34673,                  ,                  ,                  ,                  ,                  
926,3,5,54000,6,8,14,1,1,1,2,2,2,223.94,22,1,0,0,0,0,41330,                  ,                  ,                  ,                  ,                  
927,4,9,1200,2,7,5,1,1,2,2,2,2,2976.63,41,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
928,2,3,20500,4,5,12,1,1,2,2,2,2,73.78,64,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
929,4,8,8500,3,7,14,1,2,2,2,2,2,1926.09,38,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
930,1,1,10250,4,4,23,1,1,2, ,2,2,570.48,2,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
931,3,5,50000,5,6,14,1,2,2,2,2,1,130.72,22,1,                  ,                  ,                  ,                  ,                  ,3184000,0,0,0,0
932,3,5,35000,5,7,14,1,1,2,2,2,2,377.81,21,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
933,1,1,9000,3,2,25,1,1,2,2,2,2,2739.65,3,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
934,2,3,17000,4,5,23,1,1,2, ,2,2,148.9,15,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
935,3,5,2000,2,7,13,1,2,2,1,2,2,2314.83,25,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
936,2,4,1800,2,3,7,1,2,2,1,2,2,1697.96,18,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
937,2,3,51000,6,8,2,1,1,2,2,2,2,148.9,12,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
939,3,5,600000,9,2,2,1,2,1,2,1,2,6.04,23,1,0,0,0,0,235773,26930610,0,1040390,0,0
940,3,5,11500,4,6,14,1,2,2,2,2,2,460.92,26,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
942,1,2,110000,7,6,2,1,1,2,2,2,2,238.86,9,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
943,1,2,100000,6,7,5,1,1,2,2,2,2,221.72,5,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
944,2,3,2000,2,4,26,1,1,2,2,2,2,510.58,11,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
945,3,5,3050,2,8,6,1,2,2,2,2,2,2544.74,26,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
946,1,2,31500,5,7,26,1,1,2,2,2,2,869.22,6,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
947,2,3,2800,2,7,15,1,1,2,2,2,2,1701.91,13,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
948,3,7,800000,9,6,16,1,1,1,2,2,2,5.49,33,2,0,0,0,0,34673,                  ,                  ,                  ,                  ,                  
950,2,4,9600,3,2,26,1,1,2,2,2,2,404.15,18,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
