Global CO2 market name that has the constraint and wil be linked to,,,,,,,,,,,,,,,,,,
CO2_TOTAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Proportional tax rate,,,,,,,,,,,,,,,,,,
region,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Pakistan,CO2,2060,1,,,22,10,,,,,,,,,,,
Russia,CO2,2060,0,,,23,10,,,,,,,,,,,
South Africa,CO2,2060,1,,,24,10,,,,,,,,,,,
South America_Northern,CO2,2060,1,,,25,10,,,,,,,,,,,
South America_Southern,CO2,2060,1,,,26,10,,,,,,,,,,,
South Asia,CO2,2060,1,,,27,10,,,,,,,,,,,
South Korea,CO2,2060,1,,,28,10,,,,,,,,,,,
Southeast Asia,CO2,2060,1,,,29,10,,,,,,,,,,,
Taiwan,CO2,2060,1,,,30,10,,,,,,,,,,,
Argentina,CO2,2060,1,,,31,10,,,,,,,,,,,
Colombia,CO2,2060,1,,,32,10,,,,,,,,,,,
USA,CO2,2065,1,,,1,11,,,,,,,,,,,
Africa_Eastern,CO2,2065,1,,,2,11,,,,,,,,,,,
Africa_Northern,CO2,2065,1,,,3,11,,,,,,,,,,,
Africa_Southern,CO2,2065,1,,,4,11,,,,,,,,,,,
Africa_Western,CO2,2065,1,,,5,11,,,,,,,,,,,
Australia_NZ,CO2,2065,1,,,6,11,,,,,,,,,,,
Brazil,CO2,2065,1,,,7,11,,,,,,,,,,,
Canada,CO2,2065,1,,,8,11,,,,,,,,,,,
Central America and Caribbean,CO2,2065,1,,,9,11,,,,,,,,,,,
Central Asia,CO2,2065,1,,,10,11,,,,,,,,,,,
China,CO2,2065,1,,,11,11,,,,,,,,,,,
EU-12,CO2,2065,1,,,12,11,,,,,,,,,,,
EU-15,CO2,2065,1,,,13,11,,,,,,,,,,,
Europe_Eastern,CO2,2065,1,,,14,11,,,,,,,,,,,
Europe_Non_EU,CO2,2065,1,,,15,11,,,,,,,,,,,
European Free Trade Association,CO2,2065,1,,,16,11,,,,,,,,,,,
India,CO2,2065,1,,,17,11,,,,,,,,,,,
Indonesia,CO2,2065,1,,,18,11,,,,,,,,,,,
Japan,CO2,2065,1,,,19,11,,,,,,,,,,,
Mexico,CO2,2065,1,,,20,11,,,,,,,,,,,
Middle East,CO2,2065,0,,,21,11,,,,,,,,,,,
Pakistan,CO2,2065,1,,,22,11,,,,,,,,,,,
Russia,CO2,2065,0,,,23,11,,,,,,,,,,,
South Africa,CO2,2065,1,,,24,11,,,,,,,,,,,
South America_Northern,CO2,2065,1,,,25,11,,,,,,,,,,,
South America_Southern,CO2,2065,1,,,26,11,,,,,,,,,,,
South Asia,CO2,2065,1,,,27,11,,,,,,,,,,,
South Korea,CO2,2065,1,,,28,11,,,,,,,,,,,
Southeast Asia,CO2,2065,1,,,29,11,,,,,,,,,,,
Taiwan,CO2,2065,1,,,30,11,,,,,,,,,,,
Argentina,CO2,2065,1,,,31,11,,,,,,,,,,,
Colombia,CO2,2065,1,,,32,11,,,,,,,,,,,
USA,CO2,2070,1,,,1,12,,,,,,,,,,,
Africa_Eastern,CO2,2070,1,,,2,12,,,,,,,,,,,
Africa_Northern,CO2,2070,1,,,3,12,,,,,,,,,,,
Africa_Southern,CO2,2070,1,,,4,12,,,,,,,,,,,
Africa_Western,CO2,2070,1,,,5,12,,,,,,,,,,,
Australia_NZ,CO2,2070,1,,,6,12,,,,,,,,,,,
Brazil,CO2,2070,1,,,7,12,,,,,,,,,,,
Canada,CO2,2070,1,,,8,12,,,,,,,,,,,
Central America and Caribbean,CO2,2070,1,,,9,12,,,,,,,,,,,
Central Asia,CO2,2070,1,,,10,12,,,,,,,,,,,
China,CO2,2070,1,,,11,12,,,,,,,,,,,
EU-12,CO2,2070,1,,,12,12,,,,,,,,,,,
EU-15,CO2,2070,1,,,13,12,,,,,,,,,,,
Europe_Eastern,CO2,2070,1,,,14,12,,,,,,,,,,,
Europe_Non_EU,CO2,2070,1,,,15,12,,,,,,,,,,,
European Free Trade Association,CO2,2070,1,,,16,12,,,,,,,,,,,
India,CO2,2070,1,,,17,12,,,,,,,,,,,
Indonesia,CO2,2070,1,,,18,12,,,,,,,,,,,
Japan,CO2,2070,1,,,19,12,,,,,,,,,,,
Mexico,CO2,2070,1,,,20,12,,,,,,,,,,,
Middle East,CO2,2070,0,,,21,12,,,,,,,,,,,
Pakistan,CO2,2070,1,,,22,12,,,,,,,,,,,
Russia,CO2,2070,0,,,23,12,,,,,,,,,,,
South Africa,CO2,2070,1,,,24,12,,,,,,,,,,,
South America_Northern,CO2,2070,1,,,25,12,,,,,,,,,,,
South America_Southern,CO2,2070,1,,,26,12,,,,,,,,,,,
South Asia,CO2,2070,1,,,27,12,,,,,,,,,,,
South Korea,CO2,2070,1,,,28,12,,,,,,,,,,,
Southeast Asia,CO2,2070,1,,,29,12,,,,,,,,,,,
Taiwan,CO2,2070,1,,,30,12,,,,,,,,,,,
Argentina,CO2,2070,1,,,31,12,,,,,,,,,,,
Colombia,CO2,2070,1,,,32,12,,,,,,,,,,,
USA,CO2,2075,1,,,1,13,,,,,,,,,,,
Africa_Eastern,CO2,2075,1,,,2,13,,,,,,,,,,,
Africa_Northern,CO2,2075,1,,,3,13,,,,,,,,,,,
Africa_Southern,CO2,2075,1,,,4,13,,,,,,,,,,,
Africa_Western,CO2,2075,1,,,5,13,,,,,,,,,,,
Australia_NZ,CO2,2075,1,,,6,13,,,,,,,,,,,
Brazil,CO2,2075,1,,,7,13,,,,,,,,,,,
Canada,CO2,2075,1,,,8,13,,,,,,,,,,,
Central America and Caribbean,CO2,2075,1,,,9,13,,,,,,,,,,,
Central Asia,CO2,2075,1,,,10,13,,,,,,,,,,,
China,CO2,2075,1,,,11,13,,,,,,,,,,,
EU-12,CO2,2075,1,,,12,13,,,,,,,,,,,
EU-15,CO2,2075,1,,,13,13,,,,,,,,,,,
Europe_Eastern,CO2,2075,1,,,14,13,,,,,,,,,,,
Europe_Non_EU,CO2,2075,1,,,15,13,,,,,,,,,,,
European Free Trade Association,CO2,2075,1,,,16,13,,,,,,,,,,,
India,CO2,2075,1,,,17,13,,,,,,,,,,,
Indonesia,CO2,2075,1,,,18,13,,,,,,,,,,,
Japan,CO2,2075,1,,,19,13,,,,,,,,,,,
Mexico,CO2,2075,1,,,20,13,,,,,,,,,,,
Middle East,CO2,2075,0,,,21,13,,,,,,,,,,,
Pakistan,CO2,2075,1,,,22,13,,,,,,,,,,,
Russia,CO2,2075,0,,,23,13,,,,,,,,,,,
South Africa,CO2,2075,1,,,24,13,,,,,,,,,,,
South America_Northern,CO2,2075,1,,,25,13,,,,,,,,,,,
South America_Southern,CO2,2075,1,,,26,13,,,,,,,,,,,
South Asia,CO2,2075,1,,,27,13,,,,,,,,,,,
South Korea,CO2,2075,1,,,28,13,,,,,,,,,,,
Southeast Asia,CO2,2075,1,,,29,13,,,,,,,,,,,
Taiwan,CO2,2075,1,,,30,13,,,,,,,,,,,
Argentina,CO2,2075,1,,,31,13,,,,,,,,,,,
Colombia,CO2,2075,1,,,32,13,,,,,,,,,,,
USA,CO2,2080,1,,,1,14,,,,,,,,,,,
Africa_Eastern,CO2,2080,1,,,2,14,,,,,,,,,,,
Africa_Northern,CO2,2080,1,,,3,14,,,,,,,,,,,
Africa_Southern,CO2,2080,1,,,4,14,,,,,,,,,,,
Africa_Western,CO2,2080,1,,,5,14,,,,,,,,,,,
Australia_NZ,CO2,2080,1,,,6,14,,,,,,,,,,,
Brazil,CO2,2080,1,,,7,14,,,,,,,,,,,
Canada,CO2,2080,1,,,8,14,,,,,,,,,,,
Central America and Caribbean,CO2,2080,1,,,9,14,,,,,,,,,,,
Central Asia,CO2,2080,1,,,10,14,,,,,,,,,,,
China,CO2,2080,1,,,11,14,,,,,,,,,,,
EU-12,CO2,2080,1,,,12,14,,,,,,,,,,,
EU-15,CO2,2080,1,,,13,14,,,,,,,,,,,
Europe_Eastern,CO2,2080,1,,,14,14,,,,,,,,,,,
Europe_Non_EU,CO2,2080,1,,,15,14,,,,,,,,,,,
European Free Trade Association,CO2,2080,1,,,16,14,,,,,,,,,,,
India,CO2,2080,1,,,17,14,,,,,,,,,,,
Indonesia,CO2,2080,1,,,18,14,,,,,,,,,,,
Japan,CO2,2080,1,,,19,14,,,,,,,,,,,
Mexico,CO2,2080,1,,,20,14,,,,,,,,,,,
Middle East,CO2,2080,0,,,21,14,,,,,,,,,,,
Pakistan,CO2,2080,1,,,22,14,,,,,,,,,,,
Russia,CO2,2080,0,,,23,14,,,,,,,,,,,
South Africa,CO2,2080,1,,,24,14,,,,,,,,,,,
South America_Northern,CO2,2080,1,,,25,14,,,,,,,,,,,
South America_Southern,CO2,2080,1,,,26,14,,,,,,,,,,,
South Asia,CO2,2080,1,,,27,14,,,,,,,,,,,
South Korea,CO2,2080,1,,,28,14,,,,,,,,,,,
Southeast Asia,CO2,2080,1,,,29,14,,,,,,,,,,,
Taiwan,CO2,2080,1,,,30,14,,,,,,,,,,,
Argentina,CO2,2080,1,,,31,14,,,,,,,,,,,
Colombia,CO2,2080,1,,,32,14,,,,,,,,,,,
USA,CO2,2085,1,,,1,15,,,,,,,,,,,
Africa_Eastern,CO2,2085,1,,,2,15,,,,,,,,,,,
Africa_Northern,CO2,2085,1,,,3,15,,,,,,,,,,,
Africa_Southern,CO2,2085,1,,,4,15,,,,,,,,,,,
Africa_Western,CO2,2085,1,,,5,15,,,,,,,,,,,
Australia_NZ,CO2,2085,1,,,6,15,,,,,,,,,,,
Brazil,CO2,2085,1,,,7,15,,,,,,,,,,,
Canada,CO2,2085,1,,,8,15,,,,,,,,,,,
Central America and Caribbean,CO2,2085,1,,,9,15,,,,,,,,,,,
Central Asia,CO2,2085,1,,,10,15,,,,,,,,,,,
China,CO2,2085,1,,,11,15,,,,,,,,,,,
EU-12,CO2,2085,1,,,12,15,,,,,,,,,,,
EU-15,CO2,2085,1,,,13,15,,,,,,,,,,,
Europe_Eastern,CO2,2085,1,,,14,15,,,,,,,,,,,
Europe_Non_EU,CO2,2085,1,,,15,15,,,,,,,,,,,
European Free Trade Association,CO2,2085,1,,,16,15,,,,,,,,,,,
India,CO2,2085,1,,,17,15,,,,,,,,,,,
Indonesia,CO2,2085,1,,,18,15,,,,,,,,,,,
Japan,CO2,2085,1,,,19,15,,,,,,,,,,,
Mexico,CO2,2085,1,,,20,15,,,,,,,,,,,
Middle East,CO2,2085,0,,,21,15,,,,,,,,,,,
Pakistan,CO2,2085,1,,,22,15,,,,,,,,,,,
Russia,CO2,2085,0,,,23,15,,,,,,,,,,,
South Africa,CO2,2085,1,,,24,15,,,,,,,,,,,
South America_Northern,CO2,2085,1,,,25,15,,,,,,,,,,,
South America_Southern,CO2,2085,1,,,26,15,,,,,,,,,,,
South Asia,CO2,2085,1,,,27,15,,,,,,,,,,,
South Korea,CO2,2085,1,,,28,15,,,,,,,,,,,
Southeast Asia,CO2,2085,1,,,29,15,,,,,,,,,,,
Taiwan,CO2,2085,1,,,30,15,,,,,,,,,,,
Argentina,CO2,2085,1,,,31,15,,,,,,,,,,,
Colombia,CO2,2085,1,,,32,15,,,,,,,,,,,
USA,CO2,2090,1,,,1,16,,,,,,,,,,,
Africa_Eastern,CO2,2090,1,,,2,16,,,,,,,,,,,
Africa_Northern,CO2,2090,1,,,3,16,,,,,,,,,,,
Africa_Southern,CO2,2090,1,,,4,16,,,,,,,,,,,
Africa_Western,CO2,2090,1,,,5,16,,,,,,,,,,,
Australia_NZ,CO2,2090,1,,,6,16,,,,,,,,,,,
Brazil,CO2,2090,1,,,7,16,,,,,,,,,,,
Canada,CO2,2090,1,,,8,16,,,,,,,,,,,
Central America and Caribbean,CO2,2090,1,,,9,16,,,,,,,,,,,
Central Asia,CO2,2090,1,,,10,16,,,,,,,,,,,
China,CO2,2090,1,,,11,16,,,,,,,,,,,
EU-12,CO2,2090,1,,,12,16,,,,,,,,,,,
EU-15,CO2,2090,1,,,13,16,,,,,,,,,,,
Europe_Eastern,CO2,2090,1,,,14,16,,,,,,,,,,,
Europe_Non_EU,CO2,2090,1,,,15,16,,,,,,,,,,,
European Free Trade Association,CO2,2090,1,,,16,16,,,,,,,,,,,
India,CO2,2090,1,,,17,16,,,,,,,,,,,
Indonesia,CO2,2090,1,,,18,16,,,,,,,,,,,
Japan,CO2,2090,1,,,19,16,,,,,,,,,,,
Mexico,CO2,2090,1,,,20,16,,,,,,,,,,,
Middle East,CO2,2090,0,,,21,16,,,,,,,,,,,
Pakistan,CO2,2090,1,,,22,16,,,,,,,,,,,
Russia,CO2,2090,0,,,23,16,,,,,,,,,,,
South Africa,CO2,2090,1,,,24,16,,,,,,,,,,,
South America_Northern,CO2,2090,1,,,25,16,,,,,,,,,,,
South America_Southern,CO2,2090,1,,,26,16,,,,,,,,,,,
South Asia,CO2,2090,1,,,27,16,,,,,,,,,,,
South Korea,CO2,2090,1,,,28,16,,,,,,,,,,,
Southeast Asia,CO2,2090,1,,,29,16,,,,,,,,,,,
Taiwan,CO2,2090,1,,,30,16,,,,,,,,,,,
Argentina,CO2,2090,1,,,31,16,,,,,,,,,,,
Colombia,CO2,2090,1,,,32,16,,,,,,,,,,,
USA,CO2,2095,1,,,1,17,,,,,,,,,,,
Africa_Eastern,CO2,2095,1,,,2,17,,,,,,,,,,,
Africa_Northern,CO2,2095,1,,,3,17,,,,,,,,,,,
Africa_Southern,CO2,2095,1,,,4,17,,,,,,,,,,,
Africa_Western,CO2,2095,1,,,5,17,,,,,,,,,,,
Australia_NZ,CO2,2095,1,,,6,17,,,,,,,,,,,
Brazil,CO2,2095,1,,,7,17,,,,,,,,,,,
Canada,CO2,2095,1,,,8,17,,,,,,,,,,,
Central America and Caribbean,CO2,2095,1,,,9,17,,,,,,,,,,,
Central Asia,CO2,2095,1,,,10,17,,,,,,,,,,,
China,CO2,2095,1,,,11,17,,,,,,,,,,,
EU-12,CO2,2095,1,,,12,17,,,,,,,,,,,
EU-15,CO2,2095,1,,,13,17,,,,,,,,,,,
Europe_Eastern,CO2,2095,1,,,14,17,,,,,,,,,,,
Europe_Non_EU,CO2,2095,1,,,15,17,,,,,,,,,,,
European Free Trade Association,CO2,2095,1,,,16,17,,,,,,,,,,,
India,CO2,2095,1,,,17,17,,,,,,,,,,,
Indonesia,CO2,2095,1,,,18,17,,,,,,,,,,,
Japan,CO2,2095,1,,,19,17,,,,,,,,,,,
Mexico,CO2,2095,1,,,20,17,,,,,,,,,,,
Middle East,CO2,2095,0,,,21,17,,,,,,,,,,,
Pakistan,CO2,2095,1,,,22,17,,,,,,,,,,,
Russia,CO2,2095,0,,,23,17,,,,,,,,,,,
South Africa,CO2,2095,1,,,24,17,,,,,,,,,,,
South America_Northern,CO2,2095,1,,,25,17,,,,,,,,,,,
South America_Southern,CO2,2095,1,,,26,17,,,,,,,,,,,
South Asia,CO2,2095,1,,,27,17,,,,,,,,,,,
South Korea,CO2,2095,1,,,28,17,,,,,,,,,,,
Southeast Asia,CO2,2095,1,,,29,17,,,,,,,,,,,
Taiwan,CO2,2095,1,,,30,17,,,,,,,,,,,
Argentina,CO2,2095,1,,,31,17,,,,,,,,,,,
Colombia,CO2,2095,1,,,32,17,,,,,,,,,,,
USA,CO2,2100,1,,,1,18,,,,,,,,,,,
Africa_Eastern,CO2,2100,1,,,2,18,,,,,,,,,,,
Africa_Northern,CO2,2100,1,,,3,18,,,,,,,,,,,
Africa_Southern,CO2,2100,1,,,4,18,,,,,,,,,,,
Africa_Western,CO2,2100,1,,,5,18,,,,,,,,,,,
Australia_NZ,CO2,2100,1,,,6,18,,,,,,,,,,,
Brazil,CO2,2100,1,,,7,18,,,,,,,,,,,
Canada,CO2,2100,1,,,8,18,,,,,,,,,,,
Central America and Caribbean,CO2,2100,1,,,9,18,,,,,,,,,,,
Central Asia,CO2,2100,1,,,10,18,,,,,,,,,,,
China,CO2,2100,1,,,11,18,,,,,,,,,,,
EU-12,CO2,2100,1,,,12,18,,,,,,,,,,,
EU-15,CO2,2100,1,,,13,18,,,,,,,,,,,
Europe_Eastern,CO2,2100,1,,,14,18,,,,,,,,,,,
Europe_Non_EU,CO2,2100,1,,,15,18,,,,,,,,,,,
European Free Trade Association,CO2,2100,1,,,16,18,,,,,,,,,,,
India,CO2,2100,1,,,17,18,,,,,,,,,,,
Indonesia,CO2,2100,1,,,18,18,,,,,,,,,,,
Japan,CO2,2100,1,,,19,18,,,,,,,,,,,
Mexico,CO2,2100,1,,,20,18,,,,,,,,,,,
Middle East,CO2,2100,0,,,21,18,,,,,,,,,,,
Pakistan,CO2,2100,1,,,22,18,,,,,,,,,,,
Russia,CO2,2100,0,,,23,18,,,,,,,,,,,
South Africa,CO2,2100,1,,,24,18,,,,,,,,,,,
South America_Northern,CO2,2100,1,,,25,18,,,,,,,,,,,
South America_Southern,CO2,2100,1,,,26,18,,,,,,,,,,,
South Asia,CO2,2100,1,,,27,18,,,,,,,,,,,
South Korea,CO2,2100,1,,,28,18,,,,,,,,,,,
Southeast Asia,CO2,2100,1,,,29,18,,,,,,,,,,,
Taiwan,CO2,2100,1,,,30,18,,,,,,,,,,,
Argentina,CO2,2100,1,,,31,18,,,,,,,,,,,
Colombia,CO2,2100,1,,,32,18,,,,,,,,,,,
